name,language,category,status,body_text,header_text
appointment_confirmation,en_US,UTILITY,APPROVED,"Hi {{1}}, just confirming our appointment on {{2}}. Reply to reschedule.",Chandler Electric LLC
invoice_reminder,en_US,UTILITY,APPROVED,"Hi {{1}}, this is a reminder that invoice {{2}} is due {{3}}.",Chandler Electric LLC
estimate_followup,en_US,MARKETING,APPROVED,"Hi {{1}}, following up on the estimate I sent. Any questions?",Chandler Electric LLC
tpl_iojf,en_US,UTILITY,APPROVED,body tsgvq14droqe8ytiu445,
tpl_nf4a,en_US,UTILITY,APPROVED,body dc1867idfm16zasvth6r,
tpl_20u6,en_US,MARKETING,APPROVED,body kw7zjg9rtranzdo8mq39,
tpl_1ycz,en_US,MARKETING,APPROVED,body pv0zi22eyrgoaaf39y1f,
tpl_0xtg,en_US,UTILITY,APPROVED,body wfrptyb5calcz4b7xrtf,
tpl_vafz,en_US,UTILITY,APPROVED,body c8luzfkg0s2kbxvljmi1,
tpl_us9f,en_US,MARKETING,APPROVED,body eaaq8t2f45tm3i0p4d9q,
tpl_4ngc,en_US,UTILITY,APPROVED,body rqvmimlgbzvespajh25n,
tpl_x3rw,en_US,UTILITY,APPROVED,body 5u3y0zwndq6veo97dtuk,
tpl_xgnp,en_US,MARKETING,APPROVED,body 3ry1mbhuik6a5pwouiol,
tpl_t2kc,en_US,MARKETING,APPROVED,body 6t70dngmoerf6z5abwa0,
tpl_kr0p,en_US,MARKETING,APPROVED,body f351d38elc72dcnhdrpf,
tpl_h44x,en_US,UTILITY,APPROVED,body jfpf6fca8jhics5so44r,
tpl_cuot,en_US,MARKETING,APPROVED,body mcbm6h2y0nljmmb22pa7,
tpl_w1kw,en_US,UTILITY,APPROVED,body exr27ejk7jt8nahdmjmq,
tpl_g9af,en_US,UTILITY,APPROVED,body zokih0ac8ghv6kz4nfg3,
tpl_wl7q,en_US,UTILITY,APPROVED,body rbd9eogedf9j9umvyoem,
tpl_7mou,en_US,MARKETING,APPROVED,body 6tt585gzvjebc4ruqvyk,
tpl_n4ub,en_US,MARKETING,APPROVED,body qs3rtvs0skl92c094m0q,
tpl_rzud,en_US,MARKETING,APPROVED,body 5jgk7rgygo9qn8085yw3,
tpl_662f,en_US,UTILITY,APPROVED,body 9iv2fzs74clnwdlev9jm,
tpl_wve0,en_US,MARKETING,APPROVED,body ybd989wfzivopy8xxwle,
tpl_0uma,en_US,UTILITY,APPROVED,body 33jfbipuszzci28lz6yo,
tpl_0vmt,en_US,MARKETING,APPROVED,body kceek8pmf5g94ki2qsnp,
tpl_d4d6,en_US,MARKETING,APPROVED,body bye7ljllpp14miuplayh,
tpl_6df3,en_US,UTILITY,APPROVED,body jk2uzsecztqz0smh4eye,
tpl_a71p,en_US,MARKETING,APPROVED,body 5lq7gjoiqy5t9f3isw3j,
tpl_r1d4,en_US,UTILITY,APPROVED,body 4h39uxn6m9aew8wmpstg,
tpl_erch,en_US,UTILITY,APPROVED,body h0tqktdfq1wgnfht9eau,
tpl_czdq,en_US,MARKETING,APPROVED,body w9qty4ipbzp2s990dnxk,
tpl_j7z1,en_US,UTILITY,APPROVED,body uv5m83qqqg35x035s09i,
tpl_6sly,en_US,MARKETING,APPROVED,body 5d8r5nf5oj2s6g7geten,
tpl_ibjk,en_US,UTILITY,APPROVED,body nn6n84cymmd2p37cfs0j,
tpl_o74f,en_US,UTILITY,APPROVED,body cp22vcjqfjax3180rbrw,
tpl_763h,en_US,MARKETING,APPROVED,body fufo5trqgiutm8x9fs9h,
tpl_tdld,en_US,MARKETING,APPROVED,body mtaalsxrlbss14epbh3w,
tpl_sxbz,en_US,MARKETING,APPROVED,body rukr65tlgzanbmkxu1p3,
tpl_6s08,en_US,UTILITY,APPROVED,body ntrg7p98rn4zcc8z9fcu,
tpl_kfu0,en_US,MARKETING,APPROVED,body bgy3qhgykrgb7nmqfp17,
tpl_hkid,en_US,MARKETING,APPROVED,body hy7s2f405urehg0z08y9,
tpl_7alu,en_US,MARKETING,APPROVED,body o9i44jgd9hf81bf0oove,
tpl_seec,en_US,MARKETING,APPROVED,body ikl2jxf3dkfo7a0f8cyr,
tpl_p09j,en_US,UTILITY,APPROVED,body 3z04w7pfmzf24r4e492c,
tpl_9s6f,en_US,MARKETING,APPROVED,body p57ug6vrkpnpfml4ym86,
tpl_ubns,en_US,MARKETING,APPROVED,body 7fyx4i3v83zxe4ps76kt,
tpl_kbht,en_US,MARKETING,APPROVED,body l3bqwyeqmcrus43cm7z4,
tpl_8csa,en_US,UTILITY,APPROVED,body fzj73uku0z0ow2h7lcl0,
tpl_i36z,en_US,UTILITY,APPROVED,body 7dyx4z2rfv4dqlf0ixzw,
tpl_5iy7,en_US,UTILITY,APPROVED,body yef57zz5z0hhzf7ewrg9,
tpl_41qd,en_US,MARKETING,APPROVED,body t08tn1isgpyd1iegnqzm,
tpl_y1oa,en_US,MARKETING,APPROVED,body y3vuo88hpaq8ik5v25dy,
tpl_p0b0,en_US,UTILITY,APPROVED,body c0smeowuok9198ehd4xn,
tpl_5vmc,en_US,UTILITY,APPROVED,body qe20s1qcxprpwpyf89lr,
tpl_vkko,en_US,UTILITY,APPROVED,body ndc02ptc19i8jif07l6s,
tpl_roj7,en_US,MARKETING,APPROVED,body jou80nf8n4ipf0klyl58,
tpl_gbt9,en_US,UTILITY,APPROVED,body 4x0i5gznzzqy86ac75o9,
tpl_4j8k,en_US,MARKETING,APPROVED,body 5teo5ri8yl2jej8lhuzg,
tpl_6gu3,en_US,MARKETING,APPROVED,body onqfthl9ge9x6kdahyio,
tpl_lc6t,en_US,UTILITY,APPROVED,body w7ni475iff8c2jlhd0c1,
tpl_3yie,en_US,MARKETING,APPROVED,body wznjvr2ozaindklg0vhw,
tpl_z25q,en_US,UTILITY,APPROVED,body 3asidyg59j5vjvgsgkwg,
tpl_vw4q,en_US,UTILITY,APPROVED,body fkm9onzu6pxr04jmngef,
tpl_82ph,en_US,UTILITY,APPROVED,body 44k7ccnb3b1gvtx78bto,
