Date	Category	Description	Contractor / Provider	Cost	Next Service Due
03/15/2023	HVAC	Spring HVAC tune-up and filter replacement	Desert Air Comfort LLC	189.00	09/2023
04/28/2023	Pool	Pool equipment inspection and filter clean	Sonoran Pool Care	145.00	07/2023
05/10/2023	Pest Control	Quarterly perimeter treatment and scorpion barrier	Truly Nolen Scottsdale	112.00	08/2023
06/02/2023	Landscaping	Desert landscaping trim and weed control	Verde Landscaping AZ	225.00	09/2023
07/18/2023	Pool	Pool pump bearing replacement and chemical rebalance	Sonoran Pool Care	387.00	10/2023
08/14/2023	Pest Control	Quarterly perimeter treatment	Truly Nolen Scottsdale	112.00	11/2023
09/12/2023	HVAC	Fall HVAC inspection and coil cleaning	Desert Air Comfort LLC	215.00	03/2024
09/20/2023	Landscaping	Desert landscaping trim and gravel reset	Verde Landscaping AZ	225.00	12/2023
10/05/2023	Garage Door	Garage door spring replacement and lubrication	Scottsdale Door Systems	298.00	10/2025
11/08/2023	Pest Control	Quarterly perimeter treatment	Truly Nolen Scottsdale	112.00	02/2024
12/14/2023	Plumbing	Kitchen faucet cartridge replacement and dishwasher connection check	Desert Valley Plumbing	185.00	As needed
01/22/2024	Appliances	Refrigerator ice maker line flush and filter change	Scottsdale Appliance Repair	95.00	07/2024
02/19/2024	Pest Control	Quarterly perimeter treatment and bait station refresh	Truly Nolen Scottsdale	112.00	05/2024
03/11/2024	HVAC	Spring HVAC tune-up and new filter set (4-inch media)	Desert Air Comfort LLC	195.00	09/2024
04/08/2024	Pool	Pool pump motor replacement	Sonoran Pool Care	542.00	10/2024
04/08/2024	Roof	Annual roof inspection - no issues found	AZ Roof Pros	150.00	04/2025
05/13/2024	Pest Control	Quarterly perimeter treatment	Truly Nolen Scottsdale	112.00	08/2024
06/18/2024	Landscaping	Desert landscaping trim, weed control, drip irrigation check	Verde Landscaping AZ	275.00	09/2024
07/09/2024	Pool	Pool heater element test and chemical adjustment	Sonoran Pool Care	165.00	10/2024
08/26/2024	Pest Control	Quarterly perimeter treatment and scorpion blacklight inspection	Truly Nolen Scottsdale	112.00	11/2024
09/09/2024	HVAC	Fall HVAC inspection, filter change, capacitor replacement	Desert Air Comfort LLC	312.00	03/2025
09/24/2024	Landscaping	Desert landscaping trim and gravel top-up (front)	Verde Landscaping AZ	275.00	12/2024
10/14/2024	Windows	Exterior window cleaning - all 14 windows	Crystal Clear Window Service	180.00	04/2025
10/14/2024	Exterior	Patio concrete cleaning and reseal	Scottsdale Power Wash	245.00	10/2026
11/18/2024	Pest Control	Quarterly perimeter treatment	Truly Nolen Scottsdale	112.00	02/2025
12/09/2024	Plumbing	Guest bath shower valve rebuild	Desert Valley Plumbing	225.00	As needed
01/27/2025	Appliances	Washer drum bearing inspection - no replacement needed	Scottsdale Appliance Repair	85.00	01/2027
02/17/2025	Pest Control	Quarterly perimeter treatment and bait station refresh	Truly Nolen Scottsdale	112.00	05/2025
03/10/2025	HVAC	Spring HVAC tune-up and filter replacement	Desert Air Comfort LLC	195.00	09/2025
04/07/2025	Roof	Annual roof inspection - minor flashing seal touched up	AZ Roof Pros	185.00	10/2026
04/21/2025	Pool	Spring pool equipment check and leak test	Sonoran Pool Care	145.00	10/2025
05/12/2025	Pest Control	Quarterly perimeter treatment	Truly Nolen Scottsdale	112.00	08/2025
06/16/2025	Landscaping	Desert landscaping trim, weed control, drip line valve replacement	Verde Landscaping AZ	310.00	09/2025
08/11/2025	Pest Control	Quarterly perimeter treatment	Truly Nolen Scottsdale	112.00	11/2025
09/15/2025	HVAC	Fall HVAC inspection and UV light bulb replacement	Desert Air Comfort LLC	235.00	10/2026
09/22/2025	Landscaping	Desert landscaping trim and gravel reset (back patio)	Verde Landscaping AZ	275.00	12/2025
10/13/2025	Windows	Exterior window cleaning - all 14 windows	Crystal Clear Window Service	180.00	10/2026
11/17/2025	Pest Control	Quarterly perimeter treatment	Truly Nolen Scottsdale	112.00	02/2026
12/08/2025	Plumbing	Water softener salt refill and bypass valve service	Desert Valley Plumbing	155.00	10/2026
