column_id,board_id,title,type,position
status,board-1,Status,status,0
owner,board-1,Owner,person,1
date,board-1,Date,date,2
notes,board-1,Notes,long-text,3
priority,board-1,Priority,status,4
hours,board-1,Hours,numbers,5
status,board-2,Status,status,0
owner,board-2,Owner,person,1
date,board-2,Date,date,2
notes,board-2,Notes,long-text,3
priority,board-2,Priority,status,4
room,board-2,Room,text,5
hours,board-2,Hours,numbers,6
status,board-3,Status,status,0
owner,board-3,Owner,person,1
date,board-3,Date,date,2
notes,board-3,Notes,long-text,3
material_cost,board-3,Material cost,numbers,4
status,board-4,Status,status,0
owner,board-4,Owner,person,1
date,board-4,Date,date,2
notes,board-4,Notes,long-text,3
fixtures,board-4,Fixtures,numbers,4
