group_id,board_id,title,color,position
todo_b1,board-1,Todo,#A0A0A0,0
in_progress_b1,board-1,In progress,#FDAB3D,1
inspection_b1,board-1,Inspection,#0086C0,2
done_b1,board-1,Done,#00C875,3
materials_b1,board-1,Materials,#A25DDC,4
todo_b2,board-2,Todo,#A0A0A0,0
in_progress_b2,board-2,In progress,#FDAB3D,1
inspection_b2,board-2,Inspection,#0086C0,2
done_b2,board-2,Done,#00C875,3
materials_b2,board-2,Materials,#A25DDC,4
punch_list_b2,board-2,Punch list,#E2445C,5
todo_b3,board-3,Todo,#A0A0A0,0
in_progress_b3,board-3,In progress,#FDAB3D,1
inspection_b3,board-3,Inspection,#0086C0,2
done_b3,board-3,Done,#00C875,3
materials_b3,board-3,Materials,#A25DDC,4
todo_b4,board-4,Todo,#A0A0A0,0
in_progress_b4,board-4,In progress,#FDAB3D,1
inspection_b4,board-4,Inspection,#0086C0,2
done_b4,board-4,Done,#00C875,3
materials_b4,board-4,Materials,#A25DDC,4
