tracking_number,service_type,service_name,ship_date,origin_zip,dest_zip,weight_lb,currency,net_charge,label_url
FDX29595612,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX71357907,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX81008733,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX46827845,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX62605220,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX59416749,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX96434128,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX23271459,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX43027468,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX14413839,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX98666555,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX55852946,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX34126313,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX19814135,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX74590556,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX37567178,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX78545005,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
FDX39398479,FEDEX_GROUND,FedEx Ground,2026-05-20,38116,10001,5.0,USD,18.45,https://fedex.example/labels/794612035840.pdf
