tracking_number,status_code,status_description,carrier_code,service_name,ship_date,estimated_delivery,latest_event,latest_event_location,latest_event_time
FDX29595612,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX71357907,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX81008733,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX46827845,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX62605220,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX59416749,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX96434128,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX23271459,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX43027468,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX14413839,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX98666555,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX55852946,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX34126313,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX19814135,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX74590556,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX37567178,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX78545005,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX39398479,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX68880692,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
FDX93888595,DL,Delivered,FDXG,FedEx Ground,2026-05-20,2026-05-24,Delivered,"New York, NY",2026-05-24T13:42:00Z
794688991234,DL,Delivered,FDXG,FedEx Ground,2026-09-23,2026-09-26,Delivered,"Claremore, OK",2026-09-26T15:10:00Z
FDX60000021,DL,Delivered,FDXG,FedEx Ground,2026-03-20,2026-01-13,Delivered,"Muskogee, OK",2026-08-05T18:52:00Z
FDX60000022,DL,Delivered,FDXG,FedEx Ground,2026-01-09,2026-05-16,Delivered,"Edmond, OK",2026-04-24T20:35:00Z
FDX60000023,DL,Delivered,FDXG,FedEx Ground,2026-07-12,2026-04-15,Delivered,"Bixby, OK",2026-05-09T07:33:00Z
FDX60000024,DL,Delivered,FDXG,FedEx Ground,2026-02-08,2026-03-26,Delivered,"Muskogee, OK",2026-08-10T05:06:00Z
FDX60000025,DL,Delivered,FDXG,FedEx Ground,2026-06-08,2026-04-28,Delivered,"Tulsa, OK",2026-08-08T07:25:00Z
FDX60000026,DL,Delivered,FDXG,FedEx Ground,2026-07-14,2026-09-02,Delivered,"Edmond, OK",2026-02-19T23:54:00Z
FDX60000027,DL,Delivered,FDXG,FedEx Ground,2026-06-26,2026-03-14,Delivered,"Jenks, OK",2026-08-15T01:43:00Z
FDX60000028,DL,Delivered,FDXG,FedEx Ground,2026-01-01,2026-07-08,Delivered,"Tulsa, OK",2026-03-07T18:37:00Z
FDX60000029,DL,Delivered,FDXG,FedEx Ground,2026-04-18,2026-01-19,Delivered,"Edmond, OK",2026-09-11T22:07:00Z
FDX60000030,DL,Delivered,FDXG,FedEx Ground,2026-09-02,2026-04-22,Delivered,"Muskogee, OK",2026-03-16T01:17:00Z
FDX60000031,DL,Delivered,FDXG,FedEx Ground,2026-05-12,2026-01-09,Delivered,"Muskogee, OK",2026-07-09T03:49:00Z
FDX60000032,DL,Delivered,FDXG,FedEx Ground,2026-02-17,2026-04-12,Delivered,"Sand Springs, OK",2026-07-07T17:25:00Z
FDX60000033,DL,Delivered,FDXG,FedEx Ground,2026-07-25,2026-05-28,Delivered,"Bixby, OK",2026-01-06T20:17:00Z
FDX60000034,DL,Delivered,FDXG,FedEx Ground,2026-04-01,2026-03-25,Delivered,"Owasso, OK",2026-05-11T04:43:00Z
FDX60000035,DL,Delivered,FDXG,FedEx Ground,2026-09-21,2026-09-08,Delivered,"Owasso, OK",2026-03-13T22:12:00Z
FDX60000036,DL,Delivered,FDXG,FedEx Ground,2026-04-05,2026-03-10,Delivered,"Edmond, OK",2026-05-21T07:50:00Z
FDX60000037,DL,Delivered,FDXG,FedEx Ground,2026-02-08,2026-02-11,Delivered,"Norman, OK",2026-03-15T10:54:00Z
FDX60000038,DL,Delivered,FDXG,FedEx Ground,2026-08-13,2026-02-14,Delivered,"Muskogee, OK",2026-05-11T00:21:00Z
FDX60000039,DL,Delivered,FDXG,FedEx Ground,2026-09-02,2026-09-20,Delivered,"Norman, OK",2026-04-06T13:08:00Z
FDX60000040,DL,Delivered,FDXG,FedEx Ground,2026-06-02,2026-04-23,Delivered,"Stillwater, OK",2026-07-04T12:35:00Z
FDX60000041,DL,Delivered,FDXG,FedEx Ground,2026-05-14,2026-07-28,Delivered,"Owasso, OK",2026-08-05T14:33:00Z
FDX60000042,DL,Delivered,FDXG,FedEx Ground,2026-04-21,2026-08-09,Delivered,"Muskogee, OK",2026-07-08T04:12:00Z
FDX60000043,DL,Delivered,FDXG,FedEx Ground,2026-07-09,2026-09-15,Delivered,"Muskogee, OK",2026-09-19T18:45:00Z
FDX60000044,DL,Delivered,FDXG,FedEx Ground,2026-04-23,2026-03-21,Delivered,"Owasso, OK",2026-04-24T17:37:00Z
FDX60000045,DL,Delivered,FDXG,FedEx Ground,2026-03-24,2026-03-05,Delivered,"Broken Arrow, OK",2026-02-04T18:51:00Z
FDX60000046,DL,Delivered,FDXG,FedEx Ground,2026-09-27,2026-03-05,Delivered,"Sand Springs, OK",2026-05-03T13:26:00Z
FDX60000047,DL,Delivered,FDXG,FedEx Ground,2026-09-21,2026-03-07,Delivered,"Sand Springs, OK",2026-06-05T16:07:00Z
FDX60000048,DL,Delivered,FDXG,FedEx Ground,2026-04-26,2026-09-07,Delivered,"Norman, OK",2026-05-14T14:53:00Z
FDX60000049,DL,Delivered,FDXG,FedEx Ground,2026-05-06,2026-02-20,Delivered,"Broken Arrow, OK",2026-02-04T23:39:00Z
FDX60000050,DL,Delivered,FDXG,FedEx Ground,2026-09-15,2026-05-23,Delivered,"Sand Springs, OK",2026-02-13T18:37:00Z
FDX60000051,DL,Delivered,FDXG,FedEx Ground,2026-01-14,2026-01-07,Delivered,"Broken Arrow, OK",2026-04-28T13:20:00Z
FDX60000052,DL,Delivered,FDXG,FedEx Ground,2026-02-26,2026-06-18,Delivered,"Broken Arrow, OK",2026-08-03T07:02:00Z
FDX60000053,DL,Delivered,FDXG,FedEx Ground,2026-06-19,2026-09-03,Delivered,"Muskogee, OK",2026-08-10T13:40:00Z
FDX60000054,DL,Delivered,FDXG,FedEx Ground,2026-04-07,2026-09-24,Delivered,"Bixby, OK",2026-08-21T02:31:00Z
FDX60000055,DL,Delivered,FDXG,FedEx Ground,2026-01-17,2026-01-21,Delivered,"Jenks, OK",2026-05-21T22:25:00Z
FDX60000056,DL,Delivered,FDXG,FedEx Ground,2026-03-02,2026-05-26,Delivered,"Norman, OK",2026-06-09T00:31:00Z
FDX60000057,DL,Delivered,FDXG,FedEx Ground,2026-08-11,2026-01-28,Delivered,"Sand Springs, OK",2026-09-11T17:42:00Z
FDX60000058,DL,Delivered,FDXG,FedEx Ground,2026-09-14,2026-07-02,Delivered,"Tulsa, OK",2026-03-09T20:58:00Z
