zpid,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,home_type,list_price,zestimate,rent_zestimate,status,days_on_zillow,listing_agent_id
001,"12 Ranch Road, Browning MT",,,,,,3,2,,,1962,Ranch/Farm,485000,485000,,active,,
002,"Highway 2 East, Browning MT",,,,,,2,1,,,1978,Ranch/Farm,325000,325000,,active,,
003,"1018 Highway Rd, East Glacier MT",,,,,,2,3,,,1981,Single Family,207955,207955,,pending,,
004,"1133 Creek Dr, Browning MT",,,,,,4,3,,,1972,Land,656107,656107,,pending,,
005,"4917 Highway Rd, Cut Bank MT",,,,,,2,1,,,1944,Land,417760,417760,,pending,,
006,"5776 Creek Dr, East Glacier MT",,,,,,5,2,,,1992,Single Family,314799,314799,,active,,
007,"4639 Valley Rd, Browning MT",,,,,,1,1,,,2003,Single Family,529023,529023,,active,,
008,"4203 Creek Dr, Cut Bank MT",,,,,,4,3,,,2003,Ranch/Farm,646029,646029,,sold,,
009,"6997 Creek Rd, East Glacier MT",,,,,,5,3,,,1950,Land,447056,447056,,active,,
010,"4482 Creek Dr, Browning MT",,,,,,5,1,,,1998,Single Family,210465,210465,,active,,
011,"9638 Creek Rd, Cut Bank MT",,,,,,1,1,,,1949,Single Family,286555,286555,,active,,
012,"7822 Creek Dr, East Glacier MT",,,,,,2,2,,,1980,Ranch/Farm,392530,392530,,pending,,
013,"7275 Highway Rd, Browning MT",,,,,,4,2,,,1997,Single Family,381938,381938,,pending,,
014,"3004 Valley Dr, Cut Bank MT",,,,,,1,2,,,1978,Single Family,286410,286410,,sold,,
015,"7629 Highway Rd, East Glacier MT",,,,,,2,3,,,1955,Ranch/Farm,694358,694358,,pending,,
016,"4974 Ranch Dr, Browning MT",,,,,,4,3,,,1971,Land,511306,511306,,pending,,
017,"1901 Mountain Rd, Cut Bank MT",,,,,,2,2,,,1963,Land,474001,474001,,sold,,
018,"3567 Mountain Dr, East Glacier MT",,,,,,5,3,,,1999,Single Family,201698,201698,,sold,,
019,"8189 Valley Rd, Browning MT",,,,,,2,3,,,2018,Ranch/Farm,213425,213425,,sold,,
020,"4851 Creek Dr, Cut Bank MT",,,,,,1,2,,,1972,Land,622714,622714,,sold,,
021,"9810 Highway Rd, East Glacier MT",,,,,,1,1,,,1987,Ranch/Farm,540556,540556,,pending,,
022,"9013 Ranch Dr, Browning MT",,,,,,3,1,,,1947,Single Family,348749,348749,,active,,
023,"8097 Mountain Rd, Cut Bank MT",,,,,,5,2,,,1975,Land,287155,287155,,sold,,
024,"3812 Mountain Dr, East Glacier MT",,,,,,2,1,,,1981,Land,480420,480420,,pending,,
025,"8074 Creek Rd, Browning MT",,,,,,1,3,,,1966,Ranch/Farm,192926,192926,,pending,,
026,"9416 Creek Dr, Cut Bank MT",,,,,,4,1,,,1971,Single Family,433444,433444,,pending,,
027,"9453 Ranch Rd, East Glacier MT",,,,,,4,3,,,1962,Ranch/Farm,521695,521695,,sold,,
028,"6168 Valley Dr, Browning MT",,,,,,2,3,,,1962,Ranch/Farm,556753,556753,,sold,,
029,"2993 Valley Rd, Cut Bank MT",,,,,,3,1,,,1975,Single Family,442596,442596,,pending,,
030,"8443 Valley Dr, East Glacier MT",,,,,,3,3,,,2018,Ranch/Farm,743517,743517,,sold,,
033,6475 Main St,Cut Bank,MT,59417,48.2218,-113.4200,5,3,2583,51211,1958,SingleFamily,217935,197787,1307,ForSale,103,
034,8636 3rd Dr,Browning,MT,59417,48.2860,-113.4664,3,2.5,2598,10615,1975,SingleFamily,351661,358660,2109,ForSale,158,
035,2876 Main Rd,Cut Bank,MT,59417,48.6697,-113.0945,2,1.5,1155,149670,2001,SingleFamily,265140,249248,1590,ForSale,18,
036,1577 Glacier Rd,Great Falls,MT,59417,48.9297,-112.9251,4,2,1932,123644,1974,SingleFamily,318424,303210,1910,ForSale,130,
037,1844 Glacier St,Shelby,MT,59417,48.8761,-112.6869,4,2,1279,425972,2015,SingleFamily,215105,218327,1290,ForSale,97,
038,9326 Elm Ave,East Glacier,MT,59417,48.0676,-112.8663,5,2.5,912,257691,1964,SingleFamily,215171,236438,1291,ForSale,81,
039,6857 Pine Dr,Shelby,MT,59417,48.6737,-112.6789,2,2,1816,155622,1961,SingleFamily,289154,264635,1734,ForSale,122,
040,5242 Pine Ave,Shelby,MT,59417,48.7354,-112.6273,4,1.5,1578,266619,1975,SingleFamily,203134,191221,1218,ForSale,64,
041,5933 1st St,Browning,MT,59417,48.8480,-113.1288,2,2.5,827,405684,2019,SingleFamily,102158,98386,612,RecentlySold,126,
042,3096 Glacier Rd,Heart Butte,MT,59417,48.4783,-112.9592,3,3,1325,33389,2017,SingleFamily,301866,302015,1811,ForSale,176,
043,2963 Elm St,Great Falls,MT,59417,48.5810,-113.1746,5,2,834,11197,1976,SingleFamily,278929,285220,1673,RecentlySold,48,
044,9087 3rd Ave,East Glacier,MT,59417,48.4239,-113.0809,5,3,2205,196849,1973,SingleFamily,341499,358723,2048,RecentlySold,103,
045,4681 Elm Ave,Shelby,MT,59417,48.8041,-112.9447,3,3,1736,431870,1962,SingleFamily,221531,237317,1329,ForSale,38,
046,2550 Elm St,Cut Bank,MT,59417,48.7206,-112.7147,5,2.5,1350,473330,2016,SingleFamily,359960,345564,2159,ForSale,102,
047,1721 1st St,Cut Bank,MT,59417,48.3610,-112.9396,4,2.5,1194,240853,1992,SingleFamily,216193,234865,1297,RecentlySold,89,
048,424 Oak St,East Glacier,MT,59417,48.3251,-112.9896,3,3,1514,414106,1986,SingleFamily,266179,280805,1597,ForSale,21,
049,6343 Mountain Rd,Heart Butte,MT,59417,48.0791,-113.1564,3,1.5,2181,226153,2001,SingleFamily,117404,113024,704,RecentlySold,69,
050,6579 3rd Ln,East Glacier,MT,59417,48.7278,-112.8380,5,2.5,1485,101409,1952,SingleFamily,145556,158377,873,ForSale,54,
051,2834 Oak St,Browning,MT,59417,48.7650,-113.4167,2,2.5,1020,18822,2000,SingleFamily,354717,337864,2128,ForSale,22,
052,6487 3rd Ave,Cut Bank,MT,59417,48.0286,-112.8365,4,2.5,1317,73827,2017,SingleFamily,169447,181659,1016,RecentlySold,122,
053,7754 Glacier Rd,Shelby,MT,59417,48.4350,-112.8602,5,1.5,1525,314765,2008,SingleFamily,375690,378228,2254,RecentlySold,124,
054,8941 2nd St,Heart Butte,MT,59417,48.0106,-112.9767,4,2,2488,141213,1969,SingleFamily,239159,251513,1434,ForSale,89,
055,4798 Elm Dr,Browning,MT,59417,48.5970,-112.7032,5,2.5,2027,9788,2005,SingleFamily,233575,235827,1401,ForSale,106,
056,9284 Oak Ln,Cut Bank,MT,59417,48.4222,-113.2604,3,2.5,2349,120653,1983,SingleFamily,121528,127957,729,RecentlySold,73,
057,8815 3rd Ln,Cut Bank,MT,59417,48.6177,-113.2279,2,1.5,1359,156831,1964,SingleFamily,318730,326555,1912,ForSale,83,
058,417 1st St,Shelby,MT,59417,48.7152,-112.7729,2,1.5,1218,152909,1984,SingleFamily,145556,137777,873,ForSale,4,
059,8186 2nd Rd,Heart Butte,MT,59417,48.0802,-112.7494,4,2.5,2321,248104,1954,SingleFamily,253145,235226,1518,RecentlySold,101,
