zpid,event_date,event,price,price_per_sqft,source
011,2027-02-17,Sold,148354,56,Zillow
062,2027-03-07,Sold,287260,120,Zillow
026,2027-03-20,Price Change,354856,112,Zillow
010,2027-02-25,Sold,249560,107,Zillow
074,2027-01-04,Price Change,296836,85,Zillow
045,2027-01-11,Sold,391362,76,Zillow
040,2027-01-12,Price Change,311845,189,Zillow
057,2027-01-27,Listed,184692,72,Zillow
020,2027-03-28,Listed,138915,158,Zillow
032,2027-03-05,Sold,87200,58,Zillow
015,2027-02-15,Sold,91926,57,Zillow
069,2027-01-07,Price Change,354342,73,Zillow
071,2027-02-20,Price Change,154106,105,Zillow
003,2027-02-19,Price Change,356194,109,Zillow
022,2027-01-10,Listed,222229,179,Zillow
