SKU	Wine	Region	Cases	Unit_Cost	Extended_Value
WHF-CAB-22	Whitfield Estate Cabernet 2022	Napa	528	45.00	23760.00
WHF-RSV-21	Whitfield Reserve Cabernet 2021	Napa	110	80.00	8800.00
WHF-SVB-24	Whitfield Sauvignon Blanc 2024	Napa	300	19.00	5700.00
RDG-PIN-23	Ridgeview Pinot Noir 2023	Willamette	640	28.00	17920.00
STC-CHD-23	Stonecreek Chardonnay 2023	Sonoma	720	19.00	13680.00
PSO-SYR-22	Paso Sierra Syrah 2022	Paso Robles	410	22.00	9020.00
COA-SVB-24	Coastal Oak Sauvignon Blanc 2024	Sonoma	850	14.00	11900.00
VLM-ZIN-22	Vista Loma Zinfandel 2022	Napa	380	24.00	9120.00
WLB-PIN-23	Willowbank Pinot Noir 2023	Willamette	300	31.00	9300.00
BLR-CHD-23	Bell Ridge Chardonnay 2023	Sonoma	460	17.00	7820.00
PSO-GSM-21	Paso Stone GSM 2021	Paso Robles	240	26.00	6240.00
NPV-CAB-21	North Peak Cabernet 2021	Napa	290	38.00	11020.00
	TOTAL INVENTORY VALUE				134280.00
