Date	Location	Water Body	Conditions	Species	Count	Avg Length In	Largest Lbs	Keeper Released	Notes
Jan 18 2025	Davis Bayou Dock	Davis Bayou Biloxi	Overcast 58F calm	Speckled Trout	4	14	1.8	Released all	Slow morning picked up after 9 AM
Feb 15 2025	Deer Island shoreline	Mississippi Sound	Sunny 64F light chop	Redfish	2	18	3.4	1 keeper 1 released	Caught on live shrimp under float
Mar 8 2025	Davis Bayou Dock	Davis Bayou Biloxi	Partly cloudy 68F no wind	Speckled Trout	7	15	2.1	5 keeper 2 released	Best trout day of the year
Mar 8 2025	Davis Bayou Dock	Davis Bayou Biloxi	Partly cloudy 68F no wind	Flounder	1	13	1.2	Released	Came up on the trout rig
Apr 5 2025	Ocean Springs Harbor	Back Bay Biloxi	Sunny 75F calm	Redfish	3	20	4.1	2 keeper 1 released	Skeeter came along
Apr 5 2025	Ocean Springs Harbor	Back Bay Biloxi	Sunny 75F calm	Black Drum	1	16	2.5	Released	Too small to keep
May 17 2025	Deer Island east side	Mississippi Sound	Overcast 80F light SE wind	Speckled Trout	5	16	2.4	3 keeper 2 released	Water clarity good
Jun 28 2025	Davis Bayou Dock	Davis Bayou Biloxi	Sunny 92F hot and humid	Redfish	2	22	5.8	1 keeper 1 released	Only went early -- too hot by 9
Aug 9 2025	Deer Island shoreline	Mississippi Sound	Partly cloudy 88F SE wind	Speckled Trout	3	14	1.6	Released all	Slow -- water too warm
Oct 4 2025	Davis Bayou Dock	Davis Bayou Biloxi	Overcast 72F calm	Speckled Trout	6	16	2.9	4 keeper 2 released	Curtis drove over -- great day
Oct 4 2025	Davis Bayou Dock	Davis Bayou Biloxi	Overcast 72F calm	Sheepshead	2	11	1.8	Released both	Ate the shrimp off the hook
Nov 22 2025	Ocean Springs Harbor	Back Bay Biloxi	Sunny 60F NW wind	Redfish	4	21	4.8	3 keeper 1 released	Late fall -- fish active and fat
Dec 13 2025	Davis Bayou Dock	Davis Bayou Biloxi	Cloudy 52F cold front	Speckled Trout	2	15	2.0	Released both	Short trip cold hands
Jan 10 2026	Davis Bayou Dock	Davis Bayou Biloxi	Sunny 56F calm	Speckled Trout	5	16	2.6	3 keeper 2 released	Good start to 2026
Feb 7 2026	Deer Island east side	Mississippi Sound	Partly cloudy 62F light S wind	Redfish	3	19	3.9	2 keeper 1 released	Keeper redfish limit reached
