Date	Store	Item	Brand	Qty	Unit	Price USD	Price Per Unit	Notes
Jan 4 2025	Winn-Dixie	Roma Tomatoes	Produce	2	lb	2.98	1.49/lb	Good condition
Jan 4 2025	Winn-Dixie	Chicken Thighs bone-in	Store brand	5	lb	8.45	1.69/lb	Sale week
Jan 4 2025	Winn-Dixie	Long Grain White Rice	Mahatma	5	lb bag	3.99	0.80/lb	
Jan 4 2025	Winn-Dixie	Andouille Sausage	Conecuh	1	lb	6.49	6.49/lb	Doreen's choice
Jan 18 2025	Walmart	Collard Greens	Produce	2	bunch	3.96	1.98/bunch	
Jan 18 2025	Walmart	Cornmeal (fine)	Martha White	5	lb bag	3.88	0.78/lb	
Jan 18 2025	Walmart	Vegetable Oil	Great Value	48	oz	4.48	0.09/oz	Bulk buy
Feb 8 2025	Winn-Dixie	Roma Tomatoes	Produce	2	lb	3.18	1.59/lb	Slightly higher
Feb 8 2025	Winn-Dixie	Pork Spare Ribs	Store brand	4	lb	11.96	2.99/lb	Not on sale
Mar 1 2025	Winn-Dixie	Chicken Thighs bone-in	Store brand	5	lb	9.95	1.99/lb	Price went up
Apr 5 2025	Walmart	Sweet Potatoes	Produce	3	lb	2.85	0.95/lb	Good size
Apr 5 2025	Walmart	Evaporated Milk 12oz	Carnation	2	can	3.96	1.98/can	
May 3 2025	Winn-Dixie	Okra fresh	Produce	1	lb	2.49	2.49/lb	Pre-garden season
Jun 7 2025	Winn-Dixie	Roma Tomatoes	Produce	2	lb	2.58	1.29/lb	Peak season drop
Jul 12 2025	Winn-Dixie	Okra fresh	Garden own	0	lb	0.00	0.00/lb	From garden -- no purchase needed
Aug 2 2025	Walmart	Cornmeal (fine)	Martha White	5	lb bag	4.12	0.82/lb	Slight increase
Sep 6 2025	Winn-Dixie	Chicken Thighs bone-in	Store brand	5	lb	8.95	1.79/lb	Back on sale
Oct 4 2025	Walmart	Vegetable Oil	Great Value	48	oz	4.88	0.10/oz	Up from Jan
Nov 22 2025	Winn-Dixie	Whole Turkey 18lb	Butterball	1	each	35.82	1.99/lb	Thanksgiving
Nov 22 2025	Winn-Dixie	Pork Spare Ribs	Store brand	4	lb	13.16	3.29/lb	Veterans Day prep
Dec 20 2025	Walmart	Roma Tomatoes	Produce	2	lb	3.56	1.78/lb	Winter premium
Jan 3 2026	Winn-Dixie	Chicken Thighs bone-in	Store brand	5	lb	9.45	1.89/lb	
Feb 7 2026	Walmart	Sweet Potatoes	Produce	3	lb	3.15	1.05/lb	Higher than 2025
