id,name,id_board,pos,closed
lst_001,To Do,brd_001,false,1
lst_002,In Progress,brd_001,false,2
lst_003,Done,brd_001,false,3
lst_004,To Do,brd_002,false,1
lst_005,Done,brd_002,false,2
lst_006,Q4 Goals,brd_003,false,1
lst_007,Q4 Goals,brd_004,true,1
lst_008,In Progress,brd_005,true,2
lst_009,In Progress,brd_006,true,3
lst_010,Q4 Goals,brd_007,true,2
lst_011,Q4 Goals,brd_008,false,3
lst_012,Done,brd_009,true,1
lst_013,Done,brd_010,false,3
lst_014,To Do,brd_011,false,3
lst_015,Q4 Goals,brd_012,false,2
lst_016,Q4 Goals,brd_013,false,2
lst_017,Done,brd_014,false,1
lst_018,In Progress,brd_015,false,2
lst_019,To Do,brd_016,false,2
lst_020,Done,brd_017,true,1
lst_021,Done,brd_018,false,3
lst_022,Q4 Goals,brd_019,false,3
lst_023,In Progress,brd_020,false,3
lst_024,Done,brd_021,false,2
lst_025,To Do,brd_022,false,2
lst_026,To Do,brd_023,true,3
lst_027,Done,brd_024,false,1
lst_028,Q4 Goals,brd_025,false,2
lst_029,Q4 Goals,brd_026,false,1
lst_030,Q4 Goals,brd_027,false,2
lst_031,To Do,brd_028,false,1
lst_032,To Do,brd_029,true,1
lst_033,In Progress,brd_030,false,3
lst_034,To Do,brd_031,true,2
lst_035,To Do,brd_032,false,1
lst_036,To Do,brd_033,true,3
lst_037,Q4 Goals,brd_034,true,2
lst_038,Q4 Goals,brd_035,false,3
lst_039,In Progress,brd_036,false,1
lst_040,In Progress,brd_037,false,2
lst_041,Done,brd_038,true,1
lst_042,Q4 Goals,brd_039,true,1
lst_043,Q4 Goals,brd_040,true,1
lst_044,Done,brd_041,false,1
lst_045,To Do,brd_042,false,3
lst_046,In Progress,brd_043,false,2
lst_047,Done,brd_044,false,1
lst_048,Done,brd_045,true,2
lst_049,Done,brd_046,false,2
lst_050,In Progress,brd_047,false,3
lst_051,To Do,brd_048,false,1
lst_052,Q4 Goals,brd_049,false,3
lst_053,Q4 Goals,brd_050,false,3
lst_054,In Progress,brd_051,false,2
lst_055,Done,brd_052,false,3
lst_056,To Do,brd_053,false,1
lst_057,In Progress,brd_054,false,2
lst_058,Done,brd_055,false,3
lst_059,Q4 Goals,brd_056,false,2
lst_060,In Progress,brd_057,true,2
lst_061,To Do,brd_058,false,2
lst_062,Q4 Goals,brd_059,true,3
lst_063,Q4 Goals,brd_060,false,1
lst_064,Done,brd_061,true,2
lst_065,To Do,brd_062,false,1
lst_066,To Do,brd_063,false,3
lst_067,To Do,brd_064,true,2
lst_068,To Do,brd_065,false,3
lst_069,Done,brd_066,true,2
lst_070,Q4 Goals,brd_067,false,3
lst_071,To Do,brd_068,false,1
lst_072,In Progress,brd_069,true,2
lst_073,Q4 Goals,brd_070,false,1
lst_074,Done,brd_071,false,1
lst_075,Done,brd_072,true,1
lst_076,Q4 Goals,brd_073,true,2
lst_077,To Do,brd_074,true,3
lst_078,Done,brd_075,false,1
lst_079,Done,brd_076,true,3
lst_080,To Do,brd_077,false,1
lst_081,Done,brd_078,false,1
lst_082,Q4 Goals,brd_079,false,3
lst_083,Done,brd_080,false,3
lst_084,In Progress,brd_081,false,3
lst_085,In Progress,brd_082,false,1
lst_086,To Do,brd_083,true,3
lst_087,Done,brd_084,false,2
lst_088,Q4 Goals,brd_085,false,1
lst_089,In Progress,brd_086,false,2
lst_090,Q4 Goals,brd_087,false,1
lst_091,In Progress,brd_088,false,2
lst_092,In Progress,brd_089,true,3
lst_093,Q4 Goals,brd_090,false,1
lst_094,Done,brd_091,false,2
lst_095,To Do,brd_092,false,3
lst_096,Q4 Goals,brd_093,false,3
lst_097,To Do,brd_094,true,3
lst_098,Done,brd_095,false,3
lst_099,Q4 Goals,brd_096,false,2
lst_100,Q4 Goals,brd_097,false,1
lst_101,In Progress,brd_098,false,1
lst_102,Q4 Goals,brd_099,false,1
lst_103,Q4 Goals,brd_100,false,3
lst_104,In Progress,brd_101,false,1
lst_105,Done,brd_102,true,3
lst_106,Done,brd_103,false,2
lst_107,Q4 Goals,brd_104,false,1
lst_108,In Progress,brd_105,false,3
lst_109,Q4 Goals,brd_106,false,2
lst_110,Q4 Goals,brd_107,false,2
lst_111,Q4 Goals,brd_108,false,2
lst_112,To Do,brd_109,false,2
lst_113,Q4 Goals,brd_110,false,1
lst_114,Q4 Goals,brd_111,true,2
lst_115,To Do,brd_112,false,3
lst_116,In Progress,brd_113,false,1
lst_117,Q4 Goals,brd_114,false,1
lst_118,In Progress,brd_115,true,1
lst_119,Done,brd_116,true,2
lst_120,In Progress,brd_117,false,3
lst_121,In Progress,brd_118,false,1
lst_122,In Progress,brd_119,false,3
lst_123,Done,brd_120,false,2
lst_124,Q4 Goals,brd_121,false,3
lst_125,In Progress,brd_122,false,2
lst_126,To Do,brd_123,false,3
lst_127,To Do,brd_124,false,2
lst_128,In Progress,brd_125,false,3
lst_129,Q4 Goals,brd_126,true,2
lst_130,Q4 Goals,brd_127,false,1
lst_131,In Progress,brd_128,true,2
lst_132,In Progress,brd_129,false,3
lst_133,Done,brd_130,false,1
lst_134,Q4 Goals,brd_131,true,3
lst_135,In Progress,brd_132,true,3
lst_136,Done,brd_133,false,3
