uuid,owner,event_type,name,status,start_time,end_time,location_type,location,created_at,canceled_reason
cev_3000,jason.porter@Finthesiss.ai,et_pickup,Festival pickup slot,active,2026-10-10T15:00:00-05:00,2026-10-10T15:20:00-05:00,physical,Riverbank booth 42,2026-09-20T12:00:00-05:00,
cev_3001,jason.porter@Finthesiss.ai,et_pickup,Festival pickup slot,active,2026-10-10T16:00:00-05:00,2026-10-10T16:20:00-05:00,physical,Riverbank booth 42,2026-09-20T12:00:00-05:00,
cev_3002,jason.porter@Finthesiss.ai,et_pickup,Festival pickup slot,active,2026-10-10T17:00:00-05:00,2026-10-10T17:20:00-05:00,physical,Riverbank booth 42,2026-09-20T12:00:00-05:00,
cev_3003,jason.porter@Finthesiss.ai,et_pickup,Festival pickup slot,active,2026-10-10T18:00:00-05:00,2026-10-10T18:20:00-05:00,physical,Riverbank booth 42,2026-09-20T12:00:00-05:00,
cev_3004,jason.porter@Finthesiss.ai,et_pickup,Festival pickup slot,active,2026-10-10T19:00:00-05:00,2026-10-10T19:20:00-05:00,physical,Riverbank booth 42,2026-09-20T12:00:00-05:00,
cev_3005,jason.porter@Finthesiss.ai,et_pickup,Festival pickup slot,active,2026-10-10T20:00:00-05:00,2026-10-10T20:20:00-05:00,physical,Riverbank booth 42,2026-09-20T12:00:00-05:00,
cev_3006,jason.porter@Finthesiss.ai,et_pickup,Festival pickup slot,active,2026-10-10T15:00:00-05:00,2026-10-10T15:20:00-05:00,physical,Riverbank booth 42,2026-09-20T12:00:00-05:00,
cev_3100,jason.porter@Finthesiss.ai,et_custom,Custom order consult,active,2026-09-05T18:00:00-05:00,2026-09-05T18:00:00-05:00,zoom,https://zoom.us/j/consult,2026-09-01T12:00:00-05:00,
cev_3101,jason.porter@Finthesiss.ai,et_custom,Custom order consult,active,2026-10-05T18:00:00-05:00,2026-10-05T18:00:00-05:00,zoom,https://zoom.us/j/consult,2026-09-01T12:00:00-05:00,
cev_3102,jason.porter@Finthesiss.ai,et_custom,Custom order consult,active,2026-10-07T18:00:00-05:00,2026-10-07T18:00:00-05:00,zoom,https://zoom.us/j/consult,2026-09-01T12:00:00-05:00,
cev_3103,jason.porter@Finthesiss.ai,et_custom,Custom order consult,active,2026-09-03T18:00:00-05:00,2026-09-03T18:00:00-05:00,zoom,https://zoom.us/j/consult,2026-09-01T12:00:00-05:00,
cev_3104,jason.porter@Finthesiss.ai,et_custom,Custom order consult,active,2026-09-28T18:00:00-05:00,2026-09-28T18:00:00-05:00,zoom,https://zoom.us/j/consult,2026-09-01T12:00:00-05:00,
cev_3105,jason.porter@Finthesiss.ai,et_custom,Custom order consult,active,2026-09-17T18:00:00-05:00,2026-09-17T18:00:00-05:00,zoom,https://zoom.us/j/consult,2026-09-01T12:00:00-05:00,
cev_3106,jason.porter@Finthesiss.ai,et_custom,Custom order consult,active,2026-09-02T18:00:00-05:00,2026-09-02T18:00:00-05:00,zoom,https://zoom.us/j/consult,2026-09-01T12:00:00-05:00,
cev_3107,jason.porter@Finthesiss.ai,et_custom,Custom order consult,active,2026-10-12T18:00:00-05:00,2026-10-12T18:00:00-05:00,zoom,https://zoom.us/j/consult,2026-09-01T12:00:00-05:00,
cev_3108,jason.porter@Finthesiss.ai,et_custom,Custom order consult,active,2026-09-24T18:00:00-05:00,2026-09-24T18:00:00-05:00,zoom,https://zoom.us/j/consult,2026-09-01T12:00:00-05:00,
cev_3109,jason.porter@Finthesiss.ai,et_custom,Custom order consult,active,2026-10-08T18:00:00-05:00,2026-10-08T18:00:00-05:00,zoom,https://zoom.us/j/consult,2026-09-01T12:00:00-05:00,
cev_3110,jason.porter@Finthesiss.ai,et_custom,Custom order consult,active,2026-09-27T18:00:00-05:00,2026-09-27T18:00:00-05:00,zoom,https://zoom.us/j/consult,2026-09-01T12:00:00-05:00,
cev_3111,jason.porter@Finthesiss.ai,et_custom,Custom order consult,active,2026-10-12T18:00:00-05:00,2026-10-12T18:00:00-05:00,zoom,https://zoom.us/j/consult,2026-09-01T12:00:00-05:00,
