id,client_order_id,symbol,qty,filled_qty,side,type,time_in_force,limit_price,status,filled_avg_price,submitted_at,filled_at
ord_pa_0001,cli-ord_pa_0001,AAPL,10,10,buy,market,day,,filled,189.4,2026-03-04T14:31:00Z,2026-03-04T14:31:02Z
ord_pa_0002,cli-ord_pa_0002,NVDA,5,5,buy,market,day,,filled,121.1,2026-05-19T15:02:00Z,2026-05-19T15:02:01Z
ord_pa_0003,cli-ord_pa_0003,TSLA,3,3,buy,limit,day,,filled,244.55,2026-07-22T16:10:00Z,2026-07-22T16:12:44Z
ord_pa_0004,cli-ord_pa_0004,TSLA,3,3,sell,market,day,,filled,268.3,2026-09-30T17:44:00Z,2026-09-30T17:44:03Z
ord_pa_0005,cli-ord_pa_0005,VTI,4,4,buy,market,day,,filled,268.0,2026-10-12T14:35:00Z,2026-10-12T14:35:01Z
ord_pa_0006,cli-ord_pa_0006,MSFT,7,7,buy,market,day,,filled,260.95,2026-01-08T00:00:00Z,2026-01-08T00:02:05Z
ord_pa_0007,cli-ord_pa_0007,ADBE,11,11,buy,market,day,,filled,308.57,2026-01-10T00:00:00Z,2026-01-10T00:00:09Z
ord_pa_0008,cli-ord_pa_0008,KO,4,4,buy,market,day,,filled,261.81,2026-01-10T00:00:00Z,2026-01-10T00:02:16Z
ord_pa_0009,cli-ord_pa_0009,PLTR,10,10,buy,market,day,,filled,186.51,2026-01-12T00:00:00Z,2026-01-12T00:02:43Z
ord_pa_0010,cli-ord_pa_0010,XOM,12,12,buy,limit,day,,filled,146.94,2026-01-12T00:00:00Z,2026-01-12T00:00:56Z
ord_pa_0011,cli-ord_pa_0011,MU,11,11,buy,market,day,,filled,451.68,2026-01-14T00:00:00Z,2026-01-14T00:02:37Z
ord_pa_0012,cli-ord_pa_0012,JPM,8,8,buy,limit,day,,filled,506.4,2026-01-14T00:00:00Z,2026-01-14T00:00:23Z
ord_pa_0013,cli-ord_pa_0013,XOM,3,3,sell,market,day,,filled,159.68,2026-01-15T00:00:00Z,2026-01-15T00:02:01Z
ord_pa_0014,cli-ord_pa_0014,CAT,4,4,buy,market,day,,filled,285.47,2026-01-15T00:00:00Z,2026-01-15T00:00:24Z
ord_pa_0015,cli-ord_pa_0015,SCHD,6,6,buy,market,day,,filled,39.1,2026-01-17T00:00:00Z,2026-01-17T00:03:00Z
ord_pa_0016,cli-ord_pa_0016,ABNB,4,4,buy,market,day,,filled,55.38,2026-01-17T00:00:00Z,2026-01-17T00:01:30Z
ord_pa_0017,cli-ord_pa_0017,ORCL,5,5,buy,limit,day,,filled,92.61,2026-01-18T00:00:00Z,2026-01-18T00:01:25Z
ord_pa_0018,cli-ord_pa_0018,CAT,12,12,buy,market,day,,filled,323.25,2026-01-23T00:00:00Z,2026-01-23T00:00:53Z
