asset_id,symbol,qty,avg_entry_price,current_price,side,market_value,cost_basis,unrealized_pl
asset-0001,AAPL,10,189.4,204.32,long,2043.2,1894.0,149.2
asset-0002,NVDA,5,121.1,148.51,long,742.55,605.5,137.05
asset-0003,VTI,4,268.0,274.08,long,1096.32,1072.0,24.32
asset-0004,ABNB,20,53.04,52.24,long,1044.8,1060.81,-16.01
asset-0005,ADBE,24,364.25,329.18,long,7900.32,8741.91,-841.59
asset-0006,AMD,19,228.27,261.14,long,4961.66,4337.07,624.59
asset-0007,AMZN,41,279.93,295.02,long,12095.82,11476.94,618.88
asset-0008,BA,40,120.44,126.17,long,5046.8,4817.4,229.4
asset-0009,BAC,28,480.1,552.93,long,15482.04,13442.78,2039.26
asset-0010,CAT,23,296.58,347.71,long,7997.33,6821.32,1176.01
asset-0011,CRM,25,150.81,159.38,long,3984.5,3770.18,214.32
asset-0012,CVX,22,318.65,280.98,long,6181.56,7010.34,-828.78
asset-0013,DIS,7,50.45,49.61,long,347.27,353.16,-5.89
asset-0014,F,10,330.8,307.39,long,3073.9,3308.0,-234.1
asset-0015,GM,44,235.87,263.50,long,11594.0,10378.24,1215.76
asset-0016,GOOGL,20,147.89,157.15,long,3143.0,2957.79,185.21
asset-0017,HD,12,232.77,280.70,long,3368.4,2793.25,575.15
asset-0018,INTC,32,165.75,184.85,long,5915.2,5304.01,611.19
asset-0019,JNJ,21,278.65,259.35,long,5446.35,5851.72,-405.37
asset-0020,JPM,21,513.23,499.20,long,10483.2,10777.84,-294.64
asset-0021,KO,9,265.85,287.92,long,2591.28,2392.61,198.67
asset-0022,LOW,15,220.29,213.36,long,3200.4,3304.37,-103.97
asset-0023,MA,21,402.58,426.64,long,8959.44,8454.08,505.36
asset-0024,META,31,441.67,477.11,long,14790.41,13691.68,1098.73
asset-0025,MSFT,20,267.96,298.79,long,5975.8,5359.27,616.53
asset-0026,MU,18,465.24,584.61,long,10522.98,8374.33,2148.65
asset-0027,NFLX,69,500.69,549.55,long,37918.95,34547.56,3371.39
asset-0028,NKE,6,362.43,390.71,long,2344.26,2174.58,169.68
asset-0029,ORCL,13,87.88,91.81,long,1193.53,1142.43,51.1
asset-0030,PEP,6,176.27,236.48,long,1418.88,1057.64,361.24
asset-0031,PFE,22,374.93,419.70,long,9233.4,8248.41,984.99
asset-0032,PLTR,58,174.84,196.91,long,11420.78,10140.92,1279.86
asset-0033,QCOM,14,463.42,517.20,long,7240.8,6487.84,752.96
asset-0034,QQQ,1,567.68,601.66,long,601.66,567.68,33.98
asset-0035,SBUX,6,76.29,70.58,long,423.48,457.71,-34.23
asset-0036,SCHD,2,36.71,44.53,long,89.06,73.42,15.64
asset-0037,SOFI,7,353.23,337.53,long,2362.71,2472.63,-109.92
asset-0038,SPY,29,112.35,124.18,long,3601.22,3258.21,343.01
asset-0039,T,14,366.08,390.11,long,5461.54,5125.18,336.36
asset-0040,TGT,19,92.5,110.53,long,2100.07,1757.53,342.54
asset-0041,TXN,10,210.57,256.53,long,2565.3,2105.74,459.56
asset-0042,UBER,8,239.66,254.33,long,2034.64,1917.28,117.36
asset-0043,V,13,315.25,305.18,long,3967.34,4098.29,-130.95
asset-0044,VOO,16,98.06,81.87,long,1309.92,1568.96,-259.04
asset-0045,VZ,19,383.7,390.72,long,7423.68,7290.33,133.35
asset-0046,WMT,14,403.56,407.78,long,5708.92,5649.83,59.09
asset-0047,XOM,23,157.2,153.44,long,3529.12,3615.56,-86.44
