carrier,tracking_number,status,status_detail,location_city,location_state,status_time
usps,525340895781,TRANSIT,Delivered to mailbox,Tulsa,OK,2026-09-20T12:00:00-05:00
ups,697993733685,DELIVERED,Delivered to mailbox,Norman,OK,2026-08-14T12:00:00-05:00
fedex,745188179323,DELIVERED,Delivered to mailbox,Broken Arrow,OK,2026-07-08T12:00:00-05:00
ups,945554528914,TRANSIT,Delivered to mailbox,Owasso,OK,2026-08-24T12:00:00-05:00
ups,588549637461,TRANSIT,Delivered to mailbox,Bixby,OK,2026-08-13T12:00:00-05:00
fedex,288535405552,DELIVERED,Delivered to mailbox,Jenks,OK,2026-09-09T12:00:00-05:00
usps,453157201203,DELIVERED,Delivered to mailbox,Tulsa,OK,2026-08-18T12:00:00-05:00
usps,404048188889,TRANSIT,Delivered to mailbox,Sand Springs,OK,2026-07-05T12:00:00-05:00
ups,414483571433,TRANSIT,Delivered to mailbox,Claremore,OK,2026-09-27T12:00:00-05:00
fedex,488084418610,DELIVERED,Delivered to mailbox,Sapulpa,OK,2026-08-26T12:00:00-05:00
ups,519872428678,TRANSIT,Delivered to mailbox,Muskogee,OK,2026-07-04T12:00:00-05:00
fedex,274093353871,DELIVERED,Delivered to mailbox,Tulsa,OK,2026-08-14T12:00:00-05:00
ups,127903102996,DELIVERED,Delivered to mailbox,Stillwater,OK,2026-07-24T12:00:00-05:00
fedex,465134394382,DELIVERED,Delivered to mailbox,Tulsa,OK,2026-09-08T12:00:00-05:00
ups,864432810801,TRANSIT,Delivered to mailbox,Coweta,OK,2026-07-23T12:00:00-05:00
ups,337609820182,DELIVERED,Delivered to mailbox,Wagoner,OK,2026-09-25T12:00:00-05:00
usps,422080121176,TRANSIT,Delivered to mailbox,Tulsa,OK,2026-09-26T12:00:00-05:00
ups,683536036433,TRANSIT,Delivered to mailbox,Glenpool,OK,2026-08-08T12:00:00-05:00
fedex,506865395583,DELIVERED,Delivered to mailbox,Catoosa,OK,2026-09-19T12:00:00-05:00
ups,169540934301,DELIVERED,Delivered to mailbox,Tulsa,OK,2026-09-23T12:00:00-05:00
usps,998214828468,TRANSIT,Delivered to mailbox,Tulsa,OK,2026-07-02T12:00:00-05:00
usps,784478814464,DELIVERED,Delivered to mailbox,Norman,OK,2026-09-17T12:00:00-05:00
usps,871751453485,TRANSIT,Delivered to mailbox,Broken Arrow,OK,2026-07-08T12:00:00-05:00
ups,802893592957,TRANSIT,Delivered to mailbox,Owasso,OK,2026-08-02T12:00:00-05:00
usps,300101796863,TRANSIT,Delivered to mailbox,Bixby,OK,2026-08-17T12:00:00-05:00
ups,472140792096,TRANSIT,Delivered to mailbox,Jenks,OK,2026-09-10T12:00:00-05:00
usps,901918359662,TRANSIT,Delivered to mailbox,Tulsa,OK,2026-07-07T12:00:00-05:00
ups,983577217393,TRANSIT,Delivered to mailbox,Sand Springs,OK,2026-09-20T12:00:00-05:00
ups,732992855960,TRANSIT,Delivered to mailbox,Claremore,OK,2026-09-27T12:00:00-05:00
usps,515992448825,TRANSIT,Delivered to mailbox,Sapulpa,OK,2026-07-11T12:00:00-05:00
usps,323043764110,TRANSIT,Delivered to mailbox,Muskogee,OK,2026-09-16T12:00:00-05:00
usps,839655028478,TRANSIT,Delivered to mailbox,Tulsa,OK,2026-09-12T12:00:00-05:00
usps,627315070967,DELIVERED,Delivered to mailbox,Stillwater,OK,2026-07-14T12:00:00-05:00
usps,377959113267,DELIVERED,Delivered to mailbox,Tulsa,OK,2026-08-22T12:00:00-05:00
fedex,746581163267,TRANSIT,Delivered to mailbox,Coweta,OK,2026-09-22T12:00:00-05:00
usps,785082182850,DELIVERED,Delivered to mailbox,Wagoner,OK,2026-07-09T12:00:00-05:00
usps,841484179670,DELIVERED,Delivered to mailbox,Tulsa,OK,2026-09-25T12:00:00-05:00
ups,173881628032,DELIVERED,Delivered to mailbox,Glenpool,OK,2026-09-21T12:00:00-05:00
ups,255614651987,DELIVERED,Delivered to mailbox,Catoosa,OK,2026-08-08T12:00:00-05:00
usps,780491665198,DELIVERED,Delivered to mailbox,Tulsa,OK,2026-08-13T12:00:00-05:00
ups,946850595326,DELIVERED,Delivered to mailbox,Tulsa,OK,2026-08-02T12:00:00-05:00
ups,155753493101,DELIVERED,Delivered to mailbox,Norman,OK,2026-09-22T12:00:00-05:00
ups,637408837878,DELIVERED,Delivered to mailbox,Broken Arrow,OK,2026-07-19T12:00:00-05:00
ups,603115201375,DELIVERED,Delivered to mailbox,Owasso,OK,2026-08-08T12:00:00-05:00
ups,783887390409,TRANSIT,Delivered to mailbox,Bixby,OK,2026-07-18T12:00:00-05:00
fedex,620057872682,TRANSIT,Delivered to mailbox,Jenks,OK,2026-07-27T12:00:00-05:00
usps,518664131138,TRANSIT,Delivered to mailbox,Tulsa,OK,2026-07-02T12:00:00-05:00
fedex,878954835341,DELIVERED,Delivered to mailbox,Sand Springs,OK,2026-09-09T12:00:00-05:00
fedex,775034608456,TRANSIT,Delivered to mailbox,Claremore,OK,2026-09-12T12:00:00-05:00
usps,526270236007,DELIVERED,Delivered to mailbox,Sapulpa,OK,2026-09-10T12:00:00-05:00
fedex,628958406959,TRANSIT,Delivered to mailbox,Muskogee,OK,2026-08-21T12:00:00-05:00
usps,399768384975,DELIVERED,Delivered to mailbox,Tulsa,OK,2026-08-21T12:00:00-05:00
usps,552823722434,DELIVERED,Delivered to mailbox,Stillwater,OK,2026-09-02T12:00:00-05:00
fedex,449285245945,TRANSIT,Delivered to mailbox,Tulsa,OK,2026-07-04T12:00:00-05:00
fedex,984993534824,DELIVERED,Delivered to mailbox,Coweta,OK,2026-07-05T12:00:00-05:00
fedex,811138291394,TRANSIT,Delivered to mailbox,Wagoner,OK,2026-07-22T12:00:00-05:00
usps,599834905175,DELIVERED,Delivered to mailbox,Tulsa,OK,2026-07-08T12:00:00-05:00
ups,224419100084,DELIVERED,Delivered to mailbox,Glenpool,OK,2026-08-11T12:00:00-05:00
ups,442171114793,TRANSIT,Delivered to mailbox,Catoosa,OK,2026-07-11T12:00:00-05:00
ups,214175155717,DELIVERED,Delivered to mailbox,Tulsa,OK,2026-07-17T12:00:00-05:00
fedex,794688991234,DELIVERED,Delivered front porch,Claremore,OK,2026-09-29T12:00:00-05:00
