object_id,address_from,address_to,parcel,status,created_time
shp_900000,addr_from_porter,addr_900000,pcl_900000,SUCCESS,2026-08-20T12:00:00-05:00
shp_900001,addr_from_porter,addr_900001,pcl_900001,SUCCESS,2026-07-20T12:00:00-05:00
shp_900002,addr_from_porter,addr_900002,pcl_900002,SUCCESS,2026-07-03T12:00:00-05:00
shp_900003,addr_from_porter,addr_900003,pcl_900003,SUCCESS,2026-08-15T12:00:00-05:00
shp_900004,addr_from_porter,addr_900004,pcl_900004,SUCCESS,2026-08-02T12:00:00-05:00
shp_900005,addr_from_porter,addr_900005,pcl_900005,SUCCESS,2026-09-27T12:00:00-05:00
shp_900006,addr_from_porter,addr_900006,pcl_900006,SUCCESS,2026-07-03T12:00:00-05:00
shp_900007,addr_from_porter,addr_900007,pcl_900007,SUCCESS,2026-09-03T12:00:00-05:00
shp_900008,addr_from_porter,addr_900008,pcl_900008,SUCCESS,2026-08-14T12:00:00-05:00
shp_900009,addr_from_porter,addr_900009,pcl_900009,SUCCESS,2026-07-08T12:00:00-05:00
shp_900010,addr_from_porter,addr_900010,pcl_900010,SUCCESS,2026-08-25T12:00:00-05:00
shp_900011,addr_from_porter,addr_900011,pcl_900011,SUCCESS,2026-07-20T12:00:00-05:00
shp_900012,addr_from_porter,addr_900012,pcl_900012,SUCCESS,2026-07-13T12:00:00-05:00
shp_900013,addr_from_porter,addr_900013,pcl_900013,SUCCESS,2026-07-17T12:00:00-05:00
shp_900014,addr_from_porter,addr_900014,pcl_900014,SUCCESS,2026-08-07T12:00:00-05:00
shp_900015,addr_from_porter,addr_900015,pcl_900015,SUCCESS,2026-08-28T12:00:00-05:00
shp_900016,addr_from_porter,addr_900016,pcl_900016,SUCCESS,2026-08-22T12:00:00-05:00
shp_900017,addr_from_porter,addr_900017,pcl_900017,SUCCESS,2026-07-07T12:00:00-05:00
shp_900018,addr_from_porter,addr_900018,pcl_900018,SUCCESS,2026-07-26T12:00:00-05:00
shp_900019,addr_from_porter,addr_900019,pcl_900019,SUCCESS,2026-09-11T12:00:00-05:00
shp_900020,addr_from_porter,addr_900020,pcl_900020,SUCCESS,2026-08-07T12:00:00-05:00
shp_900021,addr_from_porter,addr_900021,pcl_900021,SUCCESS,2026-09-21T12:00:00-05:00
shp_900022,addr_from_porter,addr_900022,pcl_900022,SUCCESS,2026-08-26T12:00:00-05:00
shp_900023,addr_from_porter,addr_900023,pcl_900023,SUCCESS,2026-07-26T12:00:00-05:00
shp_900024,addr_from_porter,addr_900024,pcl_900024,SUCCESS,2026-09-28T12:00:00-05:00
shp_900025,addr_from_porter,addr_900025,pcl_900025,SUCCESS,2026-07-25T12:00:00-05:00
shp_900026,addr_from_porter,addr_900026,pcl_900026,SUCCESS,2026-08-18T12:00:00-05:00
shp_900027,addr_from_porter,addr_900027,pcl_900027,SUCCESS,2026-09-16T12:00:00-05:00
shp_900028,addr_from_porter,addr_900028,pcl_900028,SUCCESS,2026-09-26T12:00:00-05:00
shp_900029,addr_from_porter,addr_900029,pcl_900029,SUCCESS,2026-09-11T12:00:00-05:00
shp_900030,addr_from_porter,addr_900030,pcl_900030,SUCCESS,2026-07-02T12:00:00-05:00
shp_900031,addr_from_porter,addr_900031,pcl_900031,SUCCESS,2026-08-18T12:00:00-05:00
shp_900032,addr_from_porter,addr_900032,pcl_900032,SUCCESS,2026-09-13T12:00:00-05:00
shp_900033,addr_from_porter,addr_900033,pcl_900033,SUCCESS,2026-07-16T12:00:00-05:00
shp_900034,addr_from_porter,addr_900034,pcl_900034,SUCCESS,2026-08-19T12:00:00-05:00
shp_900035,addr_from_porter,addr_900035,pcl_900035,SUCCESS,2026-08-07T12:00:00-05:00
shp_900036,addr_from_porter,addr_900036,pcl_900036,SUCCESS,2026-09-25T12:00:00-05:00
shp_900037,addr_from_porter,addr_900037,pcl_900037,SUCCESS,2026-08-01T12:00:00-05:00
shp_900038,addr_from_porter,addr_900038,pcl_900038,SUCCESS,2026-07-18T12:00:00-05:00
shp_900039,addr_from_porter,addr_900039,pcl_900039,SUCCESS,2026-08-01T12:00:00-05:00
shp_900040,addr_from_porter,addr_900040,pcl_900040,SUCCESS,2026-08-23T12:00:00-05:00
shp_900041,addr_from_porter,addr_900041,pcl_900041,SUCCESS,2026-07-08T12:00:00-05:00
shp_900042,addr_from_porter,addr_900042,pcl_900042,SUCCESS,2026-09-03T12:00:00-05:00
shp_900043,addr_from_porter,addr_900043,pcl_900043,SUCCESS,2026-09-03T12:00:00-05:00
shp_900044,addr_from_porter,addr_900044,pcl_900044,SUCCESS,2026-08-13T12:00:00-05:00
shp_900045,addr_from_porter,addr_900045,pcl_900045,SUCCESS,2026-09-20T12:00:00-05:00
shp_900046,addr_from_porter,addr_900046,pcl_900046,SUCCESS,2026-07-11T12:00:00-05:00
shp_900047,addr_from_porter,addr_900047,pcl_900047,SUCCESS,2026-09-22T12:00:00-05:00
shp_900048,addr_from_porter,addr_900048,pcl_900048,SUCCESS,2026-07-27T12:00:00-05:00
shp_900049,addr_from_porter,addr_900049,pcl_900049,SUCCESS,2026-09-21T12:00:00-05:00
shp_900050,addr_from_porter,addr_900050,pcl_900050,SUCCESS,2026-07-23T12:00:00-05:00
shp_900051,addr_from_porter,addr_900051,pcl_900051,SUCCESS,2026-09-03T12:00:00-05:00
shp_900052,addr_from_porter,addr_900052,pcl_900052,SUCCESS,2026-08-23T12:00:00-05:00
shp_900053,addr_from_porter,addr_900053,pcl_900053,SUCCESS,2026-07-20T12:00:00-05:00
shp_900054,addr_from_porter,addr_900054,pcl_900054,SUCCESS,2026-08-18T12:00:00-05:00
shp_900055,addr_from_porter,addr_900055,pcl_900055,SUCCESS,2026-07-12T12:00:00-05:00
shp_900056,addr_from_porter,addr_900056,pcl_900056,SUCCESS,2026-08-27T12:00:00-05:00
shp_900057,addr_from_porter,addr_900057,pcl_900057,SUCCESS,2026-09-10T12:00:00-05:00
shp_900058,addr_from_porter,addr_900058,pcl_900058,SUCCESS,2026-07-14T12:00:00-05:00
shp_900059,addr_from_porter,addr_900059,pcl_900059,SUCCESS,2026-09-13T12:00:00-05:00
shp_900060,addr_from_porter,addr_900060,pcl_900060,SUCCESS,2026-09-23T15:00:00-05:00
shp_1800061,addr_from_porter,addr_1800061,pcl_1800061,SUCCESS,2026-07-05T12:00:00-05:00
shp_1800062,addr_from_porter,addr_1800062,pcl_1800062,SUCCESS,2026-09-21T12:00:00-05:00
shp_1800063,addr_from_porter,addr_1800063,pcl_1800063,SUCCESS,2026-08-13T12:00:00-05:00
shp_1800064,addr_from_porter,addr_1800064,pcl_1800064,SUCCESS,2026-08-12T12:00:00-05:00
shp_1800065,addr_from_porter,addr_1800065,pcl_1800065,SUCCESS,2026-09-05T12:00:00-05:00
shp_1800066,addr_from_porter,addr_1800066,pcl_1800066,SUCCESS,2026-08-11T12:00:00-05:00
shp_1800067,addr_from_porter,addr_1800067,pcl_1800067,SUCCESS,2026-09-09T12:00:00-05:00
shp_1800068,addr_from_porter,addr_1800068,pcl_1800068,SUCCESS,2026-07-02T12:00:00-05:00
shp_1800069,addr_from_porter,addr_1800069,pcl_1800069,SUCCESS,2026-08-14T12:00:00-05:00
shp_1800070,addr_from_porter,addr_1800070,pcl_1800070,SUCCESS,2026-09-19T12:00:00-05:00
shp_1800071,addr_from_porter,addr_1800071,pcl_1800071,SUCCESS,2026-08-19T12:00:00-05:00
shp_1800072,addr_from_porter,addr_1800072,pcl_1800072,SUCCESS,2026-07-17T12:00:00-05:00
shp_1800073,addr_from_porter,addr_1800073,pcl_1800073,SUCCESS,2026-08-06T12:00:00-05:00
shp_1800074,addr_from_porter,addr_1800074,pcl_1800074,SUCCESS,2026-08-04T12:00:00-05:00
shp_1800075,addr_from_porter,addr_1800075,pcl_1800075,SUCCESS,2026-08-14T12:00:00-05:00
shp_1800076,addr_from_porter,addr_1800076,pcl_1800076,SUCCESS,2026-08-26T12:00:00-05:00
shp_1800077,addr_from_porter,addr_1800077,pcl_1800077,SUCCESS,2026-07-27T12:00:00-05:00
shp_1800078,addr_from_porter,addr_1800078,pcl_1800078,SUCCESS,2026-07-09T12:00:00-05:00
shp_1800079,addr_from_porter,addr_1800079,pcl_1800079,SUCCESS,2026-08-29T12:00:00-05:00
shp_1800080,addr_from_porter,addr_1800080,pcl_1800080,SUCCESS,2026-09-19T12:00:00-05:00
shp_1800081,addr_from_porter,addr_1800081,pcl_1800081,SUCCESS,2026-09-27T12:00:00-05:00
shp_1800082,addr_from_porter,addr_1800082,pcl_1800082,SUCCESS,2026-09-21T12:00:00-05:00
shp_1800083,addr_from_porter,addr_1800083,pcl_1800083,SUCCESS,2026-07-16T12:00:00-05:00
shp_1800084,addr_from_porter,addr_1800084,pcl_1800084,SUCCESS,2026-09-16T12:00:00-05:00
shp_1800085,addr_from_porter,addr_1800085,pcl_1800085,SUCCESS,2026-09-10T12:00:00-05:00
shp_1800086,addr_from_porter,addr_1800086,pcl_1800086,SUCCESS,2026-07-23T12:00:00-05:00
shp_1800087,addr_from_porter,addr_1800087,pcl_1800087,SUCCESS,2026-07-23T12:00:00-05:00
shp_1800088,addr_from_porter,addr_1800088,pcl_1800088,SUCCESS,2026-09-02T12:00:00-05:00
shp_1800089,addr_from_porter,addr_1800089,pcl_1800089,SUCCESS,2026-09-17T12:00:00-05:00
shp_1800090,addr_from_porter,addr_1800090,pcl_1800090,SUCCESS,2026-09-14T12:00:00-05:00
shp_1800091,addr_from_porter,addr_1800091,pcl_1800091,SUCCESS,2026-09-07T12:00:00-05:00
shp_1800092,addr_from_porter,addr_1800092,pcl_1800092,SUCCESS,2026-09-17T12:00:00-05:00
shp_1800093,addr_from_porter,addr_1800093,pcl_1800093,SUCCESS,2026-07-05T12:00:00-05:00
shp_1800094,addr_from_porter,addr_1800094,pcl_1800094,SUCCESS,2026-07-07T12:00:00-05:00
shp_1800095,addr_from_porter,addr_1800095,pcl_1800095,SUCCESS,2026-07-14T12:00:00-05:00
shp_1800096,addr_from_porter,addr_1800096,pcl_1800096,SUCCESS,2026-08-07T12:00:00-05:00
shp_1800097,addr_from_porter,addr_1800097,pcl_1800097,SUCCESS,2026-09-17T12:00:00-05:00
shp_1800098,addr_from_porter,addr_1800098,pcl_1800098,SUCCESS,2026-08-03T12:00:00-05:00
shp_1800099,addr_from_porter,addr_1800099,pcl_1800099,SUCCESS,2026-07-24T12:00:00-05:00
shp_1800100,addr_from_porter,addr_1800100,pcl_1800100,SUCCESS,2026-07-14T12:00:00-05:00
shp_1800101,addr_from_porter,addr_1800101,pcl_1800101,SUCCESS,2026-07-12T12:00:00-05:00
shp_1800102,addr_from_porter,addr_1800102,pcl_1800102,SUCCESS,2026-09-05T12:00:00-05:00
shp_1800103,addr_from_porter,addr_1800103,pcl_1800103,SUCCESS,2026-07-20T12:00:00-05:00
shp_1800104,addr_from_porter,addr_1800104,pcl_1800104,SUCCESS,2026-09-16T12:00:00-05:00
shp_1800105,addr_from_porter,addr_1800105,pcl_1800105,SUCCESS,2026-07-27T12:00:00-05:00
shp_1800106,addr_from_porter,addr_1800106,pcl_1800106,SUCCESS,2026-07-22T12:00:00-05:00
shp_1800107,addr_from_porter,addr_1800107,pcl_1800107,SUCCESS,2026-08-11T12:00:00-05:00
shp_1800108,addr_from_porter,addr_1800108,pcl_1800108,SUCCESS,2026-09-23T12:00:00-05:00
shp_1800109,addr_from_porter,addr_1800109,pcl_1800109,SUCCESS,2026-09-12T12:00:00-05:00
