object_id,shipment,provider,servicelevel_token,servicelevel_name,amount,currency,estimated_days
rate_900000,shp_900000,usps,usps_priority,Priority Mail,7.96,USD,4
rate_900001,shp_900001,ups,usps_priority,Priority Mail,12.61,USD,3
rate_900002,shp_900002,fedex,usps_priority,Priority Mail,6.80,USD,3
rate_900003,shp_900003,ups,usps_priority,Priority Mail,7.43,USD,4
rate_900004,shp_900004,ups,usps_priority,Priority Mail,9.07,USD,5
rate_900005,shp_900005,fedex,usps_priority,Priority Mail,11.91,USD,4
rate_900006,shp_900006,usps,usps_priority,Priority Mail,10.99,USD,2
rate_900007,shp_900007,usps,usps_priority,Priority Mail,14.56,USD,4
rate_900008,shp_900008,ups,usps_priority,Priority Mail,12.53,USD,2
rate_900009,shp_900009,fedex,usps_priority,Priority Mail,13.23,USD,5
rate_900010,shp_900010,ups,usps_priority,Priority Mail,12.89,USD,5
rate_900011,shp_900011,fedex,usps_priority,Priority Mail,6.62,USD,4
rate_900012,shp_900012,ups,usps_priority,Priority Mail,7.99,USD,2
rate_900013,shp_900013,fedex,usps_priority,Priority Mail,9.94,USD,3
rate_900014,shp_900014,ups,usps_priority,Priority Mail,12.16,USD,2
rate_900015,shp_900015,ups,usps_priority,Priority Mail,12.73,USD,5
rate_900016,shp_900016,usps,usps_priority,Priority Mail,10.51,USD,2
rate_900017,shp_900017,ups,usps_priority,Priority Mail,10.11,USD,3
rate_900018,shp_900018,fedex,usps_priority,Priority Mail,14.72,USD,2
rate_900019,shp_900019,ups,usps_priority,Priority Mail,10.40,USD,2
rate_900020,shp_900020,usps,usps_priority,Priority Mail,14.98,USD,4
rate_900021,shp_900021,usps,usps_priority,Priority Mail,10.79,USD,3
rate_900022,shp_900022,usps,usps_priority,Priority Mail,11.74,USD,5
rate_900023,shp_900023,ups,usps_priority,Priority Mail,8.16,USD,4
rate_900024,shp_900024,usps,usps_priority,Priority Mail,13.99,USD,3
rate_900025,shp_900025,ups,usps_priority,Priority Mail,13.80,USD,3
rate_900026,shp_900026,usps,usps_priority,Priority Mail,11.93,USD,3
rate_900027,shp_900027,ups,usps_priority,Priority Mail,12.31,USD,3
rate_900028,shp_900028,ups,usps_priority,Priority Mail,14.85,USD,4
rate_900029,shp_900029,usps,usps_priority,Priority Mail,11.19,USD,4
rate_900030,shp_900030,usps,usps_priority,Priority Mail,14.43,USD,5
rate_900031,shp_900031,usps,usps_priority,Priority Mail,13.60,USD,3
rate_900032,shp_900032,usps,usps_priority,Priority Mail,7.31,USD,3
rate_900033,shp_900033,usps,usps_priority,Priority Mail,12.80,USD,2
rate_900034,shp_900034,fedex,usps_priority,Priority Mail,9.37,USD,3
rate_900035,shp_900035,usps,usps_priority,Priority Mail,13.43,USD,2
rate_900036,shp_900036,usps,usps_priority,Priority Mail,12.70,USD,2
rate_900037,shp_900037,ups,usps_priority,Priority Mail,12.26,USD,4
rate_900038,shp_900038,ups,usps_priority,Priority Mail,9.30,USD,2
rate_900039,shp_900039,usps,usps_priority,Priority Mail,14.47,USD,3
rate_900040,shp_900040,ups,usps_priority,Priority Mail,12.32,USD,3
rate_900041,shp_900041,ups,usps_priority,Priority Mail,12.89,USD,2
rate_900042,shp_900042,ups,usps_priority,Priority Mail,8.04,USD,3
rate_900043,shp_900043,ups,usps_priority,Priority Mail,8.62,USD,4
rate_900044,shp_900044,ups,usps_priority,Priority Mail,14.13,USD,2
rate_900045,shp_900045,fedex,usps_priority,Priority Mail,6.66,USD,3
rate_900046,shp_900046,usps,usps_priority,Priority Mail,11.36,USD,4
rate_900047,shp_900047,fedex,usps_priority,Priority Mail,14.71,USD,3
rate_900048,shp_900048,fedex,usps_priority,Priority Mail,11.90,USD,3
rate_900049,shp_900049,usps,usps_priority,Priority Mail,10.26,USD,4
rate_900050,shp_900050,fedex,usps_priority,Priority Mail,7.82,USD,3
rate_900051,shp_900051,usps,usps_priority,Priority Mail,11.38,USD,3
rate_900052,shp_900052,usps,usps_priority,Priority Mail,9.06,USD,2
rate_900053,shp_900053,fedex,usps_priority,Priority Mail,6.68,USD,4
rate_900054,shp_900054,fedex,usps_priority,Priority Mail,12.29,USD,3
rate_900055,shp_900055,fedex,usps_priority,Priority Mail,11.73,USD,4
rate_900056,shp_900056,usps,usps_priority,Priority Mail,9.48,USD,4
rate_900057,shp_900057,ups,usps_priority,Priority Mail,8.41,USD,2
rate_900058,shp_900058,ups,usps_priority,Priority Mail,6.89,USD,3
rate_900059,shp_900059,ups,usps_priority,Priority Mail,8.84,USD,4
rate_900060,shp_900060,fedex,fedex_ground,FedEx Ground,21.35,USD,4
