group_id,board_id,title,color,position
grp-routines,monday-aw-showcase-nov14,Routines,red,1
grp-costumes,monday-aw-showcase-nov14,Costumes,orange,2
grp-music,monday-aw-showcase-nov14,Music Tracks,yellow,3
grp-rehearsals,monday-aw-showcase-nov14,Rehearsal Slots,green,4
grp-ticket-release,monday-aw-showcase-nov14,Ticket Release,blue,5
grp-venue,monday-aw-showcase-nov14,Venue Coordination,purple,6
grp-routines-e001,monday-aw-showcase-nov14-e001,Routines,red,1
grp-costumes-e001,monday-aw-showcase-nov14-e001,Costumes,orange,2
grp-music-e001,monday-aw-showcase-nov14-e001,Music Tracks,yellow,3
grp-rehearsals-e001,monday-aw-showcase-nov14-e001,Rehearsal Slots,green,4
grp-ticket-release-e001,monday-aw-showcase-nov14-e001,Ticket Release,blue,5
grp-venue-e001,monday-aw-showcase-nov14-e001,Venue Coordination,purple,6
grp-routines-e002,monday-aw-showcase-nov14-e002,Routines,red,1
grp-costumes-e002,monday-aw-showcase-nov14-e002,Costumes,orange,2
grp-music-e002,monday-aw-showcase-nov14-e002,Music Tracks,yellow,3
grp-rehearsals-e002,monday-aw-showcase-nov14-e002,Rehearsal Slots,green,4
grp-ticket-release-e002,monday-aw-showcase-nov14-e002,Ticket Release,blue,5
grp-venue-e002,monday-aw-showcase-nov14-e002,Venue Coordination,purple,6
grp-routines-e003,monday-aw-showcase-nov14-e003,Routines,red,1
grp-costumes-e003,monday-aw-showcase-nov14-e003,Costumes,orange,2
grp-music-e003,monday-aw-showcase-nov14-e003,Music Tracks,yellow,3
grp-rehearsals-e003,monday-aw-showcase-nov14-e003,Rehearsal Slots,green,4
grp-ticket-release-e003,monday-aw-showcase-nov14-e003,Ticket Release,blue,5
grp-venue-e003,monday-aw-showcase-nov14-e003,Venue Coordination,purple,6
grp-routines-e004,monday-aw-showcase-nov14-e004,Routines,red,1
grp-costumes-e004,monday-aw-showcase-nov14-e004,Costumes,orange,2
grp-music-e004,monday-aw-showcase-nov14-e004,Music Tracks,yellow,3
grp-rehearsals-e004,monday-aw-showcase-nov14-e004,Rehearsal Slots,green,4
grp-ticket-release-e004,monday-aw-showcase-nov14-e004,Ticket Release,blue,5
grp-venue-e004,monday-aw-showcase-nov14-e004,Venue Coordination,purple,6
grp-routines-e005,monday-aw-showcase-nov14-e005,Routines,red,1
grp-costumes-e005,monday-aw-showcase-nov14-e005,Costumes,orange,2
grp-music-e005,monday-aw-showcase-nov14-e005,Music Tracks,yellow,3
grp-rehearsals-e005,monday-aw-showcase-nov14-e005,Rehearsal Slots,green,4
grp-ticket-release-e005,monday-aw-showcase-nov14-e005,Ticket Release,blue,5
grp-venue-e005,monday-aw-showcase-nov14-e005,Venue Coordination,purple,6
grp-routines-e006,monday-aw-showcase-nov14-e006,Routines,red,1
grp-costumes-e006,monday-aw-showcase-nov14-e006,Costumes,orange,2
grp-music-e006,monday-aw-showcase-nov14-e006,Music Tracks,yellow,3
grp-rehearsals-e006,monday-aw-showcase-nov14-e006,Rehearsal Slots,green,4
grp-ticket-release-e006,monday-aw-showcase-nov14-e006,Ticket Release,blue,5
grp-venue-e006,monday-aw-showcase-nov14-e006,Venue Coordination,purple,6
grp-routines-e007,monday-aw-showcase-nov14-e007,Routines,red,1
grp-costumes-e007,monday-aw-showcase-nov14-e007,Costumes,orange,2
grp-music-e007,monday-aw-showcase-nov14-e007,Music Tracks,yellow,3
grp-rehearsals-e007,monday-aw-showcase-nov14-e007,Rehearsal Slots,green,4
grp-ticket-release-e007,monday-aw-showcase-nov14-e007,Ticket Release,blue,5
grp-venue-e007,monday-aw-showcase-nov14-e007,Venue Coordination,purple,6
grp-routines-e008,monday-aw-showcase-nov14-e008,Routines,red,1
grp-costumes-e008,monday-aw-showcase-nov14-e008,Costumes,orange,2
