Date	Vendor_Payee	Category	Amount_USD
2026-01-02	Montgomery County Property Tax ACH	Housing - Property Tax	480.00
2026-01-03	Nationwide Insurance Premium ACH	Housing - Homeowner's Insurance	145.00
2026-01-04	State Farm Auto Insurance ACH	Vehicle - Auto Insurance	109.85
2026-01-04	AARP UnitedHealthcare Medicare Premium	Health - Insurance Premium	209.78
2026-01-06	Dominion Energy	Utilities - Electric and Gas	198.40
2026-01-07	Washington Suburban Sanitary Commission	Utilities - Water and Sewer	54.80
2026-01-08	Comcast Internet Services	Utilities - Internet and Streaming	84.99
2026-01-08	AT&T Phone Service	Utilities - Phone	94.95
2026-01-10	Chess.com Premium Subscription	Subscriptions	8.00
2026-01-12	Whole Foods Market	Groceries and Household	118.40
2026-01-14	Costco Wholesale	Groceries and Household	174.80
2026-01-14	Exxon Mobil	Vehicle - Gas	34.80
2026-01-17	Safeway Grocery	Groceries and Household	92.60
2026-01-17	Whole Foods Market	Groceries and Household	85.20
2026-01-18	Grace Community Church Tithe	Church and Charity	300.00
2026-01-19	MACCF Operating Fund Transfer	Federation Expenses	95.00
2026-01-21	Exxon Mobil	Vehicle - Gas	34.10
2026-01-22	Giant Food	Groceries and Household	66.40
2026-01-24	Marchetti's Restaurant	Dining Out	79.40
2026-01-25	Target	Household Supplies	38.20
2026-01-26	Amazon.com	Household Supplies	42.80
2026-01-27	Foreign Affairs Magazine	Subscriptions	22.00
2026-01-28	Whole Foods Market	Groceries and Household	94.80
2026-01-30	Family Gift - Eric	Gifts and Family	80.00
2026-01-31	Miscellaneous	Miscellaneous	35.50
