account_id,code,name,type,tax_type,status,description,enable_payments_to_account
acc_00001,2000,CSA Member Dues — Ledger 1,BANK,,ARCHIVED,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00002,2001,Farmer Payouts — Ledger 1,REVENUE,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00003,2002,Freight — Ledger 1,EXPENSE,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00004,2003,Warehouse Lease — Ledger 1,CURRLIAB,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00005,2004,Payroll — Ledger 1,FIXED,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00006,2005,Insurance — Ledger 1,EQUITY,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00007,2006,Depreciation — Ledger 1,OTHERASSET,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00008,2007,Bank Fees — Ledger 1,DIRECTCOSTS,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00009,2008,Booth Fees — Ledger 1,OVERHEADS,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00010,2009,Software — Ledger 1,CURRENT,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00011,2010,CSA Member Dues — Ledger 2,BANK,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00012,2011,Farmer Payouts — Ledger 2,REVENUE,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00013,2012,Freight — Ledger 2,EXPENSE,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00014,2013,Warehouse Lease — Ledger 2,CURRLIAB,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00015,2014,Payroll — Ledger 2,FIXED,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00016,2015,Insurance — Ledger 2,EQUITY,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00017,2016,Depreciation — Ledger 2,OTHERASSET,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00018,2017,Bank Fees — Ledger 2,DIRECTCOSTS,,ARCHIVED,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00019,2018,Booth Fees — Ledger 2,OVERHEADS,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00020,2019,Software — Ledger 2,CURRENT,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00021,2020,CSA Member Dues — Ledger 3,BANK,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00022,2021,Farmer Payouts — Ledger 3,REVENUE,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00023,2022,Freight — Ledger 3,EXPENSE,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00024,2023,Warehouse Lease — Ledger 3,CURRLIAB,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00025,2024,Payroll — Ledger 3,FIXED,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00026,2025,Insurance — Ledger 3,EQUITY,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00027,2026,Depreciation — Ledger 3,OTHERASSET,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00028,2027,Bank Fees — Ledger 3,DIRECTCOSTS,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00029,2028,Booth Fees — Ledger 3,OVERHEADS,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00030,2029,Software — Ledger 3,CURRENT,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00031,2030,CSA Member Dues — Ledger 4,BANK,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00032,2031,Farmer Payouts — Ledger 4,REVENUE,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00033,2032,Freight — Ledger 4,EXPENSE,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00034,2033,Warehouse Lease — Ledger 4,CURRLIAB,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00035,2034,Payroll — Ledger 4,FIXED,,ARCHIVED,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00036,2035,Insurance — Ledger 4,EQUITY,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00037,2036,Depreciation — Ledger 4,OTHERASSET,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00038,2037,Bank Fees — Ledger 4,DIRECTCOSTS,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00039,2038,Booth Fees — Ledger 4,OVERHEADS,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00040,2039,Software — Ledger 4,CURRENT,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00041,2040,CSA Member Dues — Ledger 5,BANK,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00042,2041,Farmer Payouts — Ledger 5,REVENUE,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00043,2042,Freight — Ledger 5,EXPENSE,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00044,2043,Warehouse Lease — Ledger 5,CURRLIAB,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00045,2044,Payroll — Ledger 5,FIXED,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
acc_00046,2045,Insurance — Ledger 5,EQUITY,,ACTIVE,Cottonwood Basin Organic Co-op chart of accounts,false
