Date	Host	Location	Cuisine	Main_Dish	Side_Dish	Notes
2022-11-10	Sasha	Sasha's apartment - Pine St	Thai	Pad see ew with tofu	Cucumber salad	First cooking night; Sasha's suggestion; worked well
2022-11-24	Frank	Frank's apartment - Eddy Ave	Mexican	Chicken mole verde	Black beans and rice	Frank forgot to bloom the spices first; still very good
2022-12-08	Sasha	Sasha's apartment	Italian	Handmade pasta with sage brown butter	Roasted fennel	Sasha's pasta skills are legitimately impressive
2022-12-22	Frank	Frank's apartment	Indian	Chicken tikka masala	Naan from scratch	Naan turned out well; tikka needed more yogurt in the marinade
2023-01-05	Sasha	Sasha's apartment	Japanese	Miso-glazed salmon	Soba noodle salad	Clean and fast; probably making this again
2023-01-19	Frank	Frank's apartment	French	Braised chicken thighs with olives and tomatoes	Crusty bread	Frank's grandmother's loose interpretation of a Provencal braise
2023-02-02	Sasha	Sasha's apartment	Ethiopian	Misir wat (red lentil stew)	Injera flatbread (store-bought)	Found injera at the co-op; will try to make it from scratch sometime
2023-02-16	Frank	Frank's apartment	Korean	Bibimbap with roasted vegetables	Quick-pickled cucumbers	Rowan stopped by briefly; this was before they started dating
2023-03-02	Sasha	Sasha's apartment	Greek	Spanakopita	Horiatiki salad	Phyllo was harder than expected; outcome excellent
2023-03-16	Frank	Frank's apartment	Moroccan	Lamb tagine with preserved lemon	Couscous	Eight-hour braise; Frank started it the night before; worth it
2023-03-30	Sasha	Sasha's apartment	Vietnamese	Pho with beef broth	Spring rolls	Four-hour bone broth; Sasha gets points for ambition
2023-04-13	Frank	Frank's apartment	Spanish	Paella with chicken and chorizo	Pan con tomate	No paella pan; used the cast iron; worked better than expected
2023-04-27	Sasha	Sasha's apartment	Peruvian	Lomo saltado	Rice	Good sear on the beef; lomo saltado is faster than it looks
2023-05-11	Frank	Frank's apartment	Taiwanese	Three-cup chicken	Scallion rice	From a Hetty McKinnon recipe; first time; nailed the basil finish
2023-05-25	Sasha	Sasha's apartment	Turkish	Stuffed eggplant (Imam Bayildi)	Yogurt with herbs	Slow cooked; deeply savory; Sasha found a great recipe from a food magazine
2023-06-08	Frank	Frank's apartment	Brazilian	Feijoada (black bean and pork stew)	Collard greens; farofa	Took most of Saturday; worth the effort; will repeat in winter
2023-06-22	Sasha	Sasha's apartment	Lebanese	Kibbeh nayyeh and falafel	Hummus; tabbouleh	Ambitious spread; everything worked; good summer meal
2023-07-06	Frank	Frank's apartment	Mexican	Pozole rojo	Radish and lime garnish	Pork shoulder braised six hours; this one is in the rotation now
2023-07-20	Sasha	Sasha's apartment	Indian	Chettinad chicken curry	Dosa (from mix)	Sasha got the spice blend right; very aromatic
2023-08-03	Frank	Frank's apartment	Italian	Pasta alla Norma	Arugula salad with lemon	Simple and excellent; August eggplant was perfect
2023-08-17	Sasha	Sasha's apartment	Chinese	Dan dan noodles	Smashed cucumber salad	Sichuan peppercorns from the co-op; properly numbing
2023-08-31	Frank	Frank's apartment	Georgian (country)	Chicken in walnut sauce (Satsivi)	Mchadi cornbread	Frank found the recipe in a travel memoir; unusual and very good
2023-09-14	Sasha	Sasha's apartment	Japanese	Tonkotsu ramen (from scratch)	Chashu pork	Twelve-hour broth; this took real commitment; memorable
2023-09-28	Frank	Frank's apartment	Taiwanese	Beef noodle soup	Bok choy stir-fry	Second Hetty McKinnon recipe from the cookbook; excellent again
2023-10-12	Sasha	Sasha's apartment	Iranian	Ghormeh sabzi	Saffron rice	Fenugreek and dried limes make this dish; Frank bought the right ingredients
2023-10-26	Frank	Frank's apartment	French	Duck confit	Lentils du Puy with mustard	Made the confit over two days; best result so far this year
2023-11-09	Sasha	Sasha's apartment	Filipino	Adobo chicken	Garlic fried rice	Classic preparation; vinegar balance was perfect
2023-11-23	Frank	Frank's apartment	American	Thanksgiving dry run (turkey breast)	Mashed potatoes; green bean gratin	Practiced before Thanksgiving; found that 325F for three hours works well
