id,event_id,name,quantity_total,quantity_sold,cost,fee,free,sales_start,sales_end
tc-0,ev-0,VIP,83,19,102.00,2.50,False,2026-01-01,2026-12-01
tc-1,ev-1,General,59,150,32.00,2.50,False,2026-01-01,2026-12-01
tc-2,ev-2,Early Bird,160,174,112.00,2.50,False,2026-01-01,2026-12-01
tc-3,ev-3,VIP,165,191,126.00,2.50,False,2026-01-01,2026-12-01
tc-4,ev-4,VIP,68,53,50.00,2.50,False,2026-01-01,2026-12-01
tc-5,ev-5,VIP,95,2,147.00,2.50,False,2026-01-01,2026-12-01
tc-6,ev-6,Early Bird,241,3,98.00,2.50,False,2026-01-01,2026-12-01
tc-7,ev-7,General,480,36,149.00,2.50,False,2026-01-01,2026-12-01
tc-8,ev-8,General,444,77,141.00,2.50,False,2026-01-01,2026-12-01
tc-9,ev-9,VIP,145,113,70.00,2.50,False,2026-01-01,2026-12-01
tc-10,ev-10,VIP,203,197,124.00,2.50,False,2026-01-01,2026-12-01
tc-11,ev-11,General,340,52,147.00,2.50,False,2026-01-01,2026-12-01
