Player	Number	Position	Games	AtBats	Hits	Runs	RBI	BattingAvg	OnBasePct
Darnell Robinson	7	First Base	18	52	21	14	19	.404	.468
Raymond Okafor	12	Catcher	18	49	18	11	15	.367	.421
Pete Lawson	3	Shortstop	17	48	17	16	9	.354	.440
Carlos Mendez	21	Center Field	18	51	18	15	12	.353	.410
Andre Whitfield	9	Third Base	16	44	15	10	14	.341	.388
Marcus Dawson	24	Left Field	11	31	11	8	7	.355	.429
Tommy Bishop	5	Second Base	18	50	16	12	8	.320	.377
Greg Sanders	18	Right Field	15	41	12	9	10	.293	.356
Will Carter	33	Pitcher	18	45	13	7	11	.289	.340
Eddie Brooks	2	Utility	14	33	9	6	5	.273	.351
Team Totals			18	444	150	108	120	.338	.402
