iata_code,name,city_name,city_code,country_name,country_code,latitude,longitude,timezone
DEN,Denver International Airport,Denver,DEN,United States,US,39.8561,-104.6737,America/Denver
SAT,San Antonio International Airport,San Antonio,SAT,United States,US,29.5337,-98.4698,America/Chicago
SFO,San Francisco International Airport,San Francisco,SFO,United States,US,37.6213,-122.379,America/Los_Angeles
GDL,Guadalajara International Airport,Guadalajara,GDL,Mexico,MX,20.5218,-103.3111,America/Mexico_City
IAH,George Bush Intercontinental Airport,Houston,HOU,United States,US,29.9902,-95.3368,America/Chicago
MEX,Mexico City International Airport,Mexico City,MEX,Mexico,MX,19.4361,-99.0719,America/Mexico_City
LAX,Los Angeles International Airport,Los Angeles,LAX,United States,US,33.9416,-118.4085,America/Los_Angeles
ORD,O'Hare International Airport,Chicago,CHI,United States,US,41.9742,-87.9073,America/Chicago
PHX,Phoenix Sky Harbor International,Phoenix,PHX,United States,US,33.4342,-112.0116,America/Phoenix
LAS,Harry Reid International Airport,Las Vegas,LAS,United States,US,36.084,-115.1537,America/Los_Angeles
DFW,Dallas Fort Worth International,Dallas,DFW,United States,US,32.8998,-97.0403,America/Chicago
ATL,Hartsfield-Jackson Atlanta Intl,Atlanta,ATL,United States,US,33.6407,-84.4277,America/New_York
JFK,John F Kennedy International,New York,NYC,United States,US,40.6413,-73.7781,America/New_York
SEA,Seattle-Tacoma International,Seattle,SEA,United States,US,47.4502,-122.3088,America/Los_Angeles
AUS,Austin-Bergstrom International,Austin,AUS,United States,US,30.1975,-97.6664,America/Chicago
ELP,El Paso International Airport,El Paso,ELP,United States,US,31.8072,-106.3781,America/Denver
PHL,Philadelphia International Airport,Philadelphia,PHL,United States,US,39.8744,-75.2424,America/New_York
MTY,Monterrey International Airport,Monterrey,MTY,Mexico,MX,25.7785,-100.1069,America/Monterrey
PVR,Puerto Vallarta International,Puerto Vallarta,PVR,Mexico,MX,20.6801,-105.2544,America/Mexico_City
BOS,Logan International Airport,Boston,BOS,United States,US,42.3656,-71.0096,America/New_York
DCA,Ronald Reagan Washington National,Washington,WAS,United States,US,38.8512,-77.0402,America/New_York
MIA,Miami International Airport,Miami,MIA,United States,US,25.7959,-80.287,America/New_York
SLC,Salt Lake City International,Salt Lake City,SLC,United States,US,40.7899,-111.9791,America/Denver
MSP,Minneapolis-Saint Paul Intl,Minneapolis,MSP,United States,US,44.8848,-93.2223,America/Chicago
PDX,Portland International Airport,Portland,PDX,United States,US,45.5898,-122.5951,America/Los_Angeles
SAN,San Diego International Airport,San Diego,SAN,United States,US,32.7338,-117.1933,America/Los_Angeles
TIJ,Tijuana International Airport,Tijuana,TIJ,Mexico,MX,32.5411,-116.9702,America/Tijuana
CUN,Cancun International Airport,Cancun,CUN,Mexico,MX,21.0365,-86.8771,America/Cancun
BJX,Del Bajio International Airport,Leon,BJX,Mexico,MX,20.9935,-101.4808,America/Mexico_City
HSC,Albuquerque Regional Airport,Albuquerque,HSC,United States,US,34.4479,-105.8143,America/Los_Angeles
AQC,Grand Junction Regional Airport,Grand Junction,AQC,United States,US,23.4767,-109.0908,America/Los_Angeles
AFG,Grand Junction Regional Airport,Grand Junction,AFG,United States,US,21.2221,-113.4554,America/Chicago
XAY,Mazatlan Regional Airport,Mazatlan,XAY,Mexico,MX,31.3107,-100.7008,America/Mexico_City
