message_id,chat_id,from_id,text,date,reply_to_message_id
1,-1001,8501847,"Buenas, tengo un lote de turquesa Number 8, 30 piezas, $210 total.",1782980377,
2,-1001,8501848,"Y coral rojo, 12 piezas grandes, $95.",1782980149,
3,-1001,8501847,Los recibiste bien?,1782980429,
4,-1001,8501848,Fotos van a WhatsApp manana. Nueva remesa el proximo mes.,1782980191,
5,-1001,8501848,"Rodrigo, gracias por el lote pasado, la calidad estaba muy bien.",1782980530,
6,-1001,8501848,"Necesito otro lote para el invierno, turquesa y coral juntos.",1782980207,
7,-1001,8501848,Puedo mandar $250 esta semana pero primero fotos?,1782980145,
8,-1001,8501847,"El precio del coral rojo subio un poco, avisame si sigues interesado.",1782980491,
9,-1001,8501848,"Perfecto, cuando lo mandas?",1782980274,
10,-1001,8501847,"Tarda unos 10 dias por aduana, todo bien.",1782980235,
11,-1001,8501847,"[DRAFT PLACEHOLDER - Mexico winter lot 2026] Approximately 24 turquoise blanks + 10 coral pieces, total under $300, held for Sam sign-off, NOT SENT.",1796009400,
12,-1002,8501847,"Sam, saw the Kingman ridgeline cuff, clean lines.",1782980430,
13,-1002,8501849,Angela at Turquoise Trail is coming to the group meetup.,1782980339,
14,-1002,8501849,Have you tried the Otteson patina fix on older clasps?,1782980427,
15,-1002,8501849,F-150 progress? Saw the timing chain in the shop.,1782980260,
16,-1002,8501847,"Winter meetup is Dec 15 at my studio, bring one bench story.",1782980272,
17,-1002,8501847,Rio Grande corrected the Q3 invoice apparently.,1782980529,
18,-1003,8501853,Rio Grande corrected invoice went out this week.,1782980542,
19,-1003,8501857,Cerrillos coming back in stock next month.,1782980516,
20,-1003,8501848,Restone tutorial night Friday.,1782980318,
21,-1003,8501849,Anyone need Number 8 turquoise?,1782980278,
22,-1003,8501849,Angela's winter window is filling in.,1782980321,
23,-1003,8501855,New Otteson lot dropped.,1782980483,
24,-1003,8501849,Angela's winter window is filling in.,1782980404,
25,-1003,8501855,Fresh spiny oyster from Ensenada.,1782980536,
26,-1003,8501862,Restone tutorial night Friday.,1782980516,
27,-1003,8501848,Cerrillos coming back in stock next month.,1782980476,
28,-1003,8501862,Cerrillos coming back in stock next month.,1782980428,
29,-1003,8501858,Cerrillos coming back in stock next month.,1782980449,
30,-1003,8501854,Cerrillos coming back in stock next month.,1782980280,
31,-1003,8501854,Cerrillos coming back in stock next month.,1782980329,
32,-1003,8501854,Rio Grande corrected invoice went out this week.,1782980564,
33,-1003,8501848,Cerrillos coming back in stock next month.,1782980251,
34,-1003,8501862,Cerrillos coming back in stock next month.,1782980346,
35,-1003,8501859,Rio Grande corrected invoice went out this week.,1782980246,
36,-1003,8501853,Angela's winter window is filling in.,1782980268,
37,-1003,8501852,New Otteson lot dropped.,1782980218,
38,-1003,8501862,Cerrillos coming back in stock next month.,1782980293,
39,-1003,8501862,Angela's winter window is filling in.,1782980281,
40,-1003,8501857,Anyone need Number 8 turquoise?,1782980258,
41,-1003,8501855,Fresh spiny oyster from Ensenada.,1782980543,
42,-1003,8501862,Rio Grande corrected invoice went out this week.,1782980262,
43,-1003,8501848,Anyone need Number 8 turquoise?,1782980307,
44,-1003,8501859,Angela's winter window is filling in.,1782980333,
45,-1003,8501848,Restone tutorial night Friday.,1782980568,
46,-1003,8501861,Restone tutorial night Friday.,1782980421,
47,-1003,8501862,Restone tutorial night Friday.,1782980280,
48,-1003,8501847,Anyone need Number 8 turquoise?,1782980485,
49,-1003,8501853,Fresh spiny oyster from Ensenada.,1782980414,
50,-1003,8501853,"Fair season tallies, anyone above $6K?",1782980304,
51,-1003,8501858,Anyone need Number 8 turquoise?,1782980350,
52,-1003,8501861,"Fair season tallies, anyone above $6K?",1782980448,
53,-1003,8501851,Fresh spiny oyster from Ensenada.,1782980344,
54,-1003,8501862,Fresh spiny oyster from Ensenada.,1782980425,
55,-1003,8501853,Rio Grande corrected invoice went out this week.,1782980269,
56,-1003,8501856,Anyone need Number 8 turquoise?,1782980254,
57,-1003,8501852,Cerrillos coming back in stock next month.,1782980522,
