id,user_id,name,description,duration,width,height,privacy,status,plays,likes,created_time,modified_time,link
vid-001,u-cornerstone,"Exhibition trailer, spring 2026",Spring season trailer,92,1920,1080,anybody,available,2840,156,2026-03-12T09:00:00Z,2026-03-15T09:00:00Z,https://vimeo.com/cornerstone-museum/vid-001
vid-002,u-cornerstone,"Curator introduction, Jennifer Clark",Short curator intro,215,1920,1080,anybody,available,1850,102,2025-11-04T09:00:00Z,2025-11-04T09:00:00Z,https://vimeo.com/cornerstone-museum/vid-002
vid-003,u-cornerstone,"Oral history excerpt, Rosalind",Short clip from oral history,188,1920,1080,password,available,240,18,2026-06-22T09:00:00Z,2026-06-22T09:00:00Z,https://vimeo.com/cornerstone-museum/vid-003
vid-004,u-cornerstone,Museum facility tour,Walkthrough of museum facility,720,1920,1080,anybody,available,3120,198,2025-09-12T09:00:00Z,2025-09-12T09:00:00Z,https://vimeo.com/cornerstone-museum/vid-004
vid-005,u-cornerstone,Summer education program highlights,Education program highlights,318,1920,1080,anybody,available,980,67,2026-07-22T09:00:00Z,2026-07-22T09:00:00Z,https://vimeo.com/cornerstone-museum/vid-005
vid-006,u-cornerstone,"Volunteer profile, summer 2026",Profile of museum volunteer,154,1920,1080,anybody,available,540,42,2026-08-15T09:00:00Z,2026-08-15T09:00:00Z,https://vimeo.com/cornerstone-museum/vid-006
vid-007,u-cornerstone,"Bridges Across the Estuary, trailer",Spring exhibition trailer,105,1920,1080,anybody,available,1840,122,2026-01-18T09:00:00Z,2026-01-18T09:00:00Z,https://vimeo.com/cornerstone-museum/vid-007
vid-008,u-cornerstone,Board chair message,Annual board chair message,245,1920,1080,password,available,180,12,2026-02-15T09:00:00Z,2026-02-15T09:00:00Z,https://vimeo.com/cornerstone-museum/vid-008
vid-009,u-cornerstone,Community storytelling night recap,Recap of community event,412,1920,1080,anybody,available,720,55,2026-05-22T09:00:00Z,2026-05-22T09:00:00Z,https://vimeo.com/cornerstone-museum/vid-009
vid-010,u-cornerstone,"Conservation in the lab, behind the scenes",Behind the scenes in conservation lab,612,1920,1080,anybody,available,1240,88,2026-04-12T09:00:00Z,2026-04-12T09:00:00Z,https://vimeo.com/cornerstone-museum/vid-010
