Id,DisplayName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,Balance,Active,AcctNum,Vendor1099
1,Motown Catering Co,Motown Catering Co,events@motowncatering.example.com,313-555-0140,2210 Woodward Ave,Detroit,MI,48201,0.00,true,MC-1180,false
2,Grand River Hall,Grand River Community Center,rentals@grandriverhall.example.com,313-555-0166,4900 Grand River Ave,Detroit,MI,48208,0.00,true,GRH-330,false
3,AutoZone Pro,AutoZone Commercial,pro@autozone.example.com,313-555-0122,3400 Michigan Ave,Detroit,MI,48216,1840.00,true,AZ-9021,false
4,NAPA Detroit,NAPA Auto Parts,commercial@napadetroit.example.com,313-555-0133,5100 Gratiot Ave,Detroit,MI,48213,2210.00,true,NP-4412,false
5,Print Motor City,Print Motor City LLC,hello@printmotorcity.example.com,313-555-0155,1450 Cass Ave,Detroit,MI,48226,0.00,true,PMC-208,false
6,Wexford Realty Holdings,Wexford Realty Holdings,closings@wexfordrealty.example.com,313-555-0177,600 Renaissance Center,Detroit,MI,48243,0.00,true,WRH-001,false
7,Johnson Parts Supply,Johnson Parts Supply LLC,orders@johnsonparts.example.com,248-555-2000,500 Industrial Row,Detroit,MI,48300,0.00,true,V7000,false
8,Wilson Parts Supply,Wilson Parts Supply LLC,orders@wilsonparts.example.com,248-555-2001,501 Industrial Row,Dearborn,MI,48301,0.00,true,V7001,false
9,Clark Parts Supply,Clark Parts Supply LLC,orders@clarkparts.example.com,248-555-2002,502 Industrial Row,Southfield,MI,48302,0.00,true,V7002,false
10,King Parts Supply,King Parts Supply LLC,orders@kingparts.example.com,248-555-2003,503 Industrial Row,Royal Oak,MI,48303,0.00,true,V7003,false
11,Johnson Parts Supply,Johnson Parts Supply LLC,orders@johnsonparts.example.com,248-555-2004,504 Industrial Row,Ferndale,MI,48304,0.00,true,V7004,false
12,Wilson Parts Supply,Wilson Parts Supply LLC,orders@wilsonparts.example.com,248-555-2005,505 Industrial Row,Warren,MI,48305,0.00,true,V7005,false
13,Clark Parts Supply,Clark Parts Supply LLC,orders@clarkparts.example.com,248-555-2006,506 Industrial Row,Livonia,MI,48306,0.00,true,V7006,false
14,King Parts Supply,King Parts Supply LLC,orders@kingparts.example.com,248-555-2007,507 Industrial Row,Troy,MI,48307,0.00,true,V7007,false
15,Johnson Parts Supply,Johnson Parts Supply LLC,orders@johnsonparts.example.com,248-555-2008,508 Industrial Row,Novi,MI,48308,0.00,true,V7008,false
16,Wilson Parts Supply,Wilson Parts Supply LLC,orders@wilsonparts.example.com,248-555-2009,509 Industrial Row,Redford,MI,48309,0.00,true,V7009,false
17,Clark Parts Supply,Clark Parts Supply LLC,orders@clarkparts.example.com,248-555-2010,510 Industrial Row,Detroit,MI,48310,0.00,true,V7010,false
18,King Parts Supply,King Parts Supply LLC,orders@kingparts.example.com,248-555-2011,511 Industrial Row,Dearborn,MI,48311,0.00,true,V7011,false
19,Johnson Parts Supply,Johnson Parts Supply LLC,orders@johnsonparts.example.com,248-555-2012,512 Industrial Row,Southfield,MI,48312,0.00,true,V7012,false
20,Wilson Parts Supply,Wilson Parts Supply LLC,orders@wilsonparts.example.com,248-555-2013,513 Industrial Row,Royal Oak,MI,48313,0.00,true,V7013,false
21,Clark Parts Supply,Clark Parts Supply LLC,orders@clarkparts.example.com,248-555-2014,514 Industrial Row,Ferndale,MI,48314,0.00,true,V7014,false
22,King Parts Supply,King Parts Supply LLC,orders@kingparts.example.com,248-555-2015,515 Industrial Row,Warren,MI,48315,0.00,true,V7015,false
23,Johnson Parts Supply,Johnson Parts Supply LLC,orders@johnsonparts.example.com,248-555-2016,516 Industrial Row,Livonia,MI,48316,0.00,true,V7016,false
24,Wilson Parts Supply,Wilson Parts Supply LLC,orders@wilsonparts.example.com,248-555-2017,517 Industrial Row,Troy,MI,48317,0.00,true,V7017,false
25,Clark Parts Supply,Clark Parts Supply LLC,orders@clarkparts.example.com,248-555-2018,518 Industrial Row,Novi,MI,48318,0.00,true,V7018,false
26,King Parts Supply,King Parts Supply LLC,orders@kingparts.example.com,248-555-2019,519 Industrial Row,Redford,MI,48319,0.00,true,V7019,false
27,Johnson Parts Supply,Johnson Parts Supply LLC,orders@johnsonparts.example.com,248-555-2020,520 Industrial Row,Detroit,MI,48320,0.00,true,V7020,false
28,Wilson Parts Supply,Wilson Parts Supply LLC,orders@wilsonparts.example.com,248-555-2021,521 Industrial Row,Dearborn,MI,48321,0.00,true,V7021,false
29,Clark Parts Supply,Clark Parts Supply LLC,orders@clarkparts.example.com,248-555-2022,522 Industrial Row,Southfield,MI,48322,0.00,true,V7022,false
30,King Parts Supply,King Parts Supply LLC,orders@kingparts.example.com,248-555-2023,523 Industrial Row,Royal Oak,MI,48323,0.00,true,V7023,false
31,Johnson Parts Supply,Johnson Parts Supply LLC,orders@johnsonparts.example.com,248-555-2024,524 Industrial Row,Ferndale,MI,48324,0.00,true,V7024,false
32,Wilson Parts Supply,Wilson Parts Supply LLC,orders@wilsonparts.example.com,248-555-2025,525 Industrial Row,Warren,MI,48325,0.00,true,V7025,false
