Id,Name,Description,Type,UnitPrice,IncomeAccountRef_value,IncomeAccountRef_name,Active,Taxable
1,Diagnostic Labor,Full diagnostic scan,Service,120.00,4,Service Revenue,,
2,Brake Service Labor,Brake pad and rotor service,Service,320.00,4,Service Revenue,,
3,Oil Change,Full synthetic oil change,Service,85.00,4,Service Revenue,,
4,Engine Repair Labor,Engine repair hourly,Service,145.00,4,Service Revenue,,
5,Brake Pads Part,Ceramic brake pad set,Inventory,95.00,5,Parts Revenue,,
6,Alternator Part,Replacement alternator,Inventory,240.00,5,Parts Revenue,,
7,Service Item 7,Auto service line 7,Service,50.00,4,Service Revenue,true,false
8,Service Item 8,Auto service line 8,Service,53.00,4,Service Revenue,true,false
9,Service Item 9,Auto service line 9,Service,56.00,4,Service Revenue,true,false
10,Service Item 10,Auto service line 10,Service,59.00,4,Service Revenue,true,false
11,Service Item 11,Auto service line 11,Service,62.00,4,Service Revenue,true,false
12,Service Item 12,Auto service line 12,Service,65.00,4,Service Revenue,true,false
13,Service Item 13,Auto service line 13,Service,68.00,4,Service Revenue,true,false
14,Service Item 14,Auto service line 14,Service,71.00,4,Service Revenue,true,false
15,Service Item 15,Auto service line 15,Service,74.00,4,Service Revenue,true,false
16,Service Item 16,Auto service line 16,Service,77.00,4,Service Revenue,true,false
17,Service Item 17,Auto service line 17,Service,80.00,4,Service Revenue,true,false
18,Service Item 18,Auto service line 18,Service,83.00,4,Service Revenue,true,false
19,Service Item 19,Auto service line 19,Service,86.00,4,Service Revenue,true,false
20,Service Item 20,Auto service line 20,Service,89.00,4,Service Revenue,true,false
21,Service Item 21,Auto service line 21,Service,92.00,4,Service Revenue,true,false
22,Service Item 22,Auto service line 22,Service,95.00,4,Service Revenue,true,false
23,Service Item 23,Auto service line 23,Service,98.00,4,Service Revenue,true,false
24,Service Item 24,Auto service line 24,Service,101.00,4,Service Revenue,true,false
25,Service Item 25,Auto service line 25,Service,104.00,4,Service Revenue,true,false
26,Service Item 26,Auto service line 26,Service,107.00,4,Service Revenue,true,false
27,Service Item 27,Auto service line 27,Service,110.00,4,Service Revenue,true,false
28,Service Item 28,Auto service line 28,Service,113.00,4,Service Revenue,true,false
29,Service Item 29,Auto service line 29,Service,116.00,4,Service Revenue,true,false
30,Service Item 30,Auto service line 30,Service,119.00,4,Service Revenue,true,false
31,Service Item 31,Auto service line 31,Service,122.00,4,Service Revenue,true,false
32,Service Item 32,Auto service line 32,Service,125.00,4,Service Revenue,true,false
33,Service Item 33,Auto service line 33,Service,128.00,4,Service Revenue,true,false
34,Service Item 34,Auto service line 34,Service,131.00,4,Service Revenue,true,false
35,Service Item 35,Auto service line 35,Service,134.00,4,Service Revenue,true,false
36,Service Item 36,Auto service line 36,Service,137.00,4,Service Revenue,true,false
37,Service Item 37,Auto service line 37,Service,140.00,4,Service Revenue,true,false
38,Service Item 38,Auto service line 38,Service,143.00,4,Service Revenue,true,false
39,Service Item 39,Auto service line 39,Service,146.00,4,Service Revenue,true,false
40,Service Item 40,Auto service line 40,Service,149.00,4,Service Revenue,true,false
41,Service Item 41,Auto service line 41,Service,152.00,4,Service Revenue,true,false
42,Service Item 42,Auto service line 42,Service,155.00,4,Service Revenue,true,false
43,Service Item 43,Auto service line 43,Service,158.00,4,Service Revenue,true,false
44,Service Item 44,Auto service line 44,Service,161.00,4,Service Revenue,true,false
45,Service Item 45,Auto service line 45,Service,164.00,4,Service Revenue,true,false
46,Service Item 46,Auto service line 46,Service,167.00,4,Service Revenue,true,false
47,Service Item 47,Auto service line 47,Service,170.00,4,Service Revenue,true,false
48,Service Item 48,Auto service line 48,Service,173.00,4,Service Revenue,true,false
49,Service Item 49,Auto service line 49,Service,176.00,4,Service Revenue,true,false
50,Service Item 50,Auto service line 50,Service,179.00,4,Service Revenue,true,false
51,Service Item 51,Auto service line 51,Service,182.00,4,Service Revenue,true,false
52,Service Item 52,Auto service line 52,Service,185.00,4,Service Revenue,true,false
53,Service Item 53,Auto service line 53,Service,188.00,4,Service Revenue,true,false
