id,channel_id,author_id,author_username,content,timestamp,pinned
msg_001,ch_jvbb_001,user_coach_turner,CoachTurner,Practice moved to 4 PM tomorrow due to gym floor refinishing. Reminder: team photos Friday before practice.,2026-10-28T15:30:00Z,false
msg_002,ch_jvbb_001,user_parent_harris,SharonHarris,Can someone confirm the bus departure time for the Munford game on Dec 4? My son said 4:15 but that seems early.,2026-10-29T08:15:00Z,false
msg_003,ch_jvbb_001,user_coach_turner,CoachTurner,Bus departs 4:15 PM sharp from the main gym entrance. Players need to be there by 4:00.,2026-10-29T09:00:00Z,false
msg_004,ch_jvbb_001,user_parent_km,KristenMoore,Got it. Jaylen will be there by 4. Thanks coach.,2026-10-29T12:30:00Z,false
msg_005,ch_jvbb_001,user_parent_jones,DavidJones,Anyone else doing the snack sign-up for the opener on Nov 9? I can bring drinks.,2026-10-30T07:45:00Z,false
msg_006,ch_jvbb_001,user_parent_williams,TamaraWilliams,I signed up for fruit trays. The spreadsheet link is pinned in the channel.,2026-10-30T08:20:00Z,false
msg_007,ch_announce_001,user_admin_001,WestgroveAdmin,Quarter 1 grades are posted on the parent portal. Please review by Nov 5 and contact teachers with any concerns.,2026-10-31T14:00:00Z,true
msg_008,ch_announce_001,user_admin_001,WestgroveAdmin,Reminder: No school November 11 for Veterans Day. November 25-29 is Thanksgiving break.,2026-10-31T14:05:00Z,false
msg_009,ch_jvbb_001,user_parent_brown,MichaelBrown,Does anyone know if the away game at Collierville on Dec 9 has a parents section? Last time we had trouble finding seats.,2026-10-31T16:00:00Z,false
msg_010,ch_jvbb_001,user_coach_turner,CoachTurner,Collierville visitor section is to the left of the main entrance. Game time 5:30 PM.,2026-10-31T16:30:00Z,false
msg_011,ch_jvbb_001,user_parent_km,KristenMoore,That Dec 9 game is going to be tight for me. Mama has an appointment that afternoon. Might be late.,2026-11-01T10:00:00Z,false
msg_012,ch_jvbb_001,user_parent_harris,SharonHarris,I can give Jaylen a ride home from Collierville if you need Kristen. Just let me know.,2026-11-01T10:15:00Z,false
