Month	Sponsor	Contracted_Rate	Amount_Billed	Invoice_Date	Payment_Received_Date	Payment_Method	Stripe_Transaction_ID	Notes
Jan 2025	Covenant Insurance Group	175.00	175.00	Jan 1 2025	Jan 14 2025	ACH	txn_CI_202501_001	On time
Jan 2025	Mitchell's Flowers	125.00	125.00	Jan 1 2025	Jan 17 2025	ACH	txn_MF_202501_001	On time
Jan 2025	Bluff City Auto Care	100.00	100.00	Jan 1 2025	Jan 20 2025	ACH	txn_BA_202501_001	On time
Feb 2025	Covenant Insurance Group	175.00	175.00	Feb 1 2025	Feb 13 2025	ACH	txn_CI_202502_001	On time
Feb 2025	Mitchell's Flowers	125.00	125.00	Feb 1 2025	Feb 15 2025	ACH	txn_MF_202502_001	On time
Feb 2025	Bluff City Auto Care	100.00	100.00	Feb 1 2025	Feb 19 2025	ACH	txn_BA_202502_001	On time
Mar 2025	Covenant Insurance Group	175.00	175.00	Mar 1 2025	Mar 14 2025	ACH	txn_CI_202503_001	On time
Mar 2025	Mitchell's Flowers	125.00	125.00	Mar 1 2025	Mar 16 2025	ACH	txn_MF_202503_001	On time
Mar 2025	Bluff City Auto Care	100.00	100.00	Mar 1 2025	Mar 18 2025	ACH	txn_BA_202503_001	On time
Apr 2025	Covenant Insurance Group	175.00	175.00	Apr 1 2025	Apr 15 2025	ACH	txn_CI_202504_001	On time
Apr 2025	Mitchell's Flowers	125.00	125.00	Apr 1 2025	Apr 14 2025	ACH	txn_MF_202504_001	On time
Apr 2025	Bluff City Auto Care	100.00	100.00	Apr 1 2025	Apr 22 2025	ACH	txn_BA_202504_001	3 days late
May 2025	Covenant Insurance Group	175.00	175.00	May 1 2025	May 13 2025	ACH	txn_CI_202505_001	On time
May 2025	Mitchell's Flowers	125.00	125.00	May 1 2025	May 15 2025	ACH	txn_MF_202505_001	On time
May 2025	Bluff City Auto Care	100.00	100.00	May 1 2025	May 16 2025	ACH	txn_BA_202505_001	On time
Jun 2025	Covenant Insurance Group	175.00	350.00	Jun 1 2025	Jun 12 2025	ACH	txn_CI_202506_001	Included Q2 promotional bonus per contract amendment Apr 2025
Jun 2025	Mitchell's Flowers	125.00	125.00	Jun 1 2025	Jun 14 2025	ACH	txn_MF_202506_001	On time
Jun 2025	Bluff City Auto Care	100.00	100.00	Jun 1 2025	Jun 17 2025	ACH	txn_BA_202506_001	On time
Jul 2025	Covenant Insurance Group	175.00	175.00	Jul 1 2025	Jul 14 2025	ACH	txn_CI_202507_001	On time
Jul 2025	Mitchell's Flowers	125.00	125.00	Jul 1 2025	Jul 16 2025	ACH	txn_MF_202507_001	On time
Jul 2025	Bluff City Auto Care	100.00	100.00	Jul 1 2025	Jul 15 2025	ACH	txn_BA_202507_001	On time
Aug 2025	Covenant Insurance Group	175.00	175.00	Aug 1 2025	Aug 13 2025	ACH	txn_CI_202508_001	On time
Aug 2025	Mitchell's Flowers	125.00	125.00	Aug 1 2025	Aug 18 2025	ACH	txn_MF_202508_001	On time
Aug 2025	Bluff City Auto Care	100.00	100.00	Aug 1 2025	Aug 14 2025	ACH	txn_BA_202508_001	On time
Sep 2025	Covenant Insurance Group	175.00	175.00	Sep 1 2025	Sep 12 2025	ACH	txn_CI_202509_001	On time
Sep 2025	Mitchell's Flowers	125.00	125.00	Sep 1 2025	Sep 15 2025	ACH	txn_MF_202509_001	On time
Sep 2025	Bluff City Auto Care	100.00	100.00	Sep 1 2025	Sep 16 2025	ACH	txn_BA_202509_001	On time
Oct 2025	Covenant Insurance Group	175.00	175.00	Oct 1 2025	Oct 14 2025	ACH	txn_CI_202510_001	On time
Oct 2025	Mitchell's Flowers	125.00	125.00	Oct 1 2025	Oct 16 2025	ACH	txn_MF_202510_001	On time
Oct 2025	Bluff City Auto Care	100.00	100.00	Oct 1 2025	Oct 15 2025	ACH	txn_BA_202510_001	On time
Nov 2025	Covenant Insurance Group	175.00	175.00	Nov 1 2025	Nov 13 2025	ACH	txn_CI_202511_001	On time
Nov 2025	Mitchell's Flowers	125.00	125.00	Nov 1 2025	Nov 14 2025	ACH	txn_MF_202511_001	On time
Nov 2025	Bluff City Auto Care	100.00	100.00	Nov 1 2025	Nov 19 2025	ACH	txn_BA_202511_001	On time
Dec 2025	Covenant Insurance Group	175.00	175.00	Dec 1 2025	Dec 12 2025	ACH	txn_CI_202512_001	On time
Dec 2025	Mitchell's Flowers	125.00	125.00	Dec 1 2025	Dec 14 2025	ACH	txn_MF_202512_001	On time
Dec 2025	Bluff City Auto Care	100.00	100.00	Dec 1 2025	Dec 13 2025	ACH	txn_BA_202512_001	On time
Jan 2026	Covenant Insurance Group	175.00	175.00	Jan 1 2026	Jan 14 2026	ACH	txn_CI_202601_001	On time
Jan 2026	Mitchell's Flowers	125.00	125.00	Jan 1 2026	Jan 15 2026	ACH	txn_MF_202601_001	On time
Jan 2026	Bluff City Auto Care	100.00	100.00	Jan 1 2026	Jan 17 2026	ACH	txn_BA_202601_001	On time
Feb 2026	Covenant Insurance Group	175.00	175.00	Feb 1 2026	Feb 13 2026	ACH	txn_CI_202602_001	On time
Feb 2026	Mitchell's Flowers	125.00	125.00	Feb 1 2026	Feb 14 2026	ACH	txn_MF_202602_001	On time
Feb 2026	Bluff City Auto Care	100.00	100.00	Feb 1 2026	Feb 17 2026	ACH	txn_BA_202602_001	On time
