Date	Store_Location	Shop_Type	Approx_Items	Key_Items	Total_Spend	Payment_Method	Notes
Jan 6 2025	Kroger 2225 Central Ave Memphis	Full Weekly	42	Chicken thighs, collard greens, brown rice, apples, Greek yogurt, coffee, cream	$87.43	Discover 3827	First shop of year
Jan 13 2025	Kroger 2225 Central Ave Memphis	Full Weekly	38	Salmon, spinach, sweet potatoes, oatmeal, bananas, herbal tea, eggs	$79.18	Discover 3827	
Jan 15 2025	Kroger 2225 Central Ave Memphis	Mid-Week Top-Up	12	Milk, bread, oranges, chamomile tea, yogurt	$28.54	Discover 3827	Dorothy pickup items included
Jan 20 2025	Kroger 2225 Central Ave Memphis	Full Weekly	40	Pot roast, potatoes, carrots, onions, cornbread mix, peach preserves, sparkling water	$91.22	Discover 3827	Sunday dinner prep
Jan 27 2025	Kroger 2225 Central Ave Memphis	Full Weekly	35	Tilapia, broccoli, quinoa, mixed greens, blueberries, black beans, coffee	$76.80	Discover 3827	
Feb 3 2025	Kroger 2225 Central Ave Memphis	Full Weekly	41	Chicken breast, asparagus, jasmine rice, strawberries, low-fat cheese, whole wheat bread	$84.15	Discover 3827	
Feb 10 2025	Kroger 2225 Central Ave Memphis	Full Weekly	39	Ground turkey, cabbage, sweet corn, avocado, lemon, peppermint tea, eggs	$80.92	Discover 3827	
Feb 17 2025	Kroger 2225 Central Ave Memphis	Full Weekly	44	Pork roast, mac and cheese ingredients, peach cobbler ingredients, sparkling water, coffee	$97.30	Discover 3827	Sunday dinner for Naomi visit
Feb 24 2025	Kroger 2225 Central Ave Memphis	Full Weekly	37	Salmon, kale, brown rice, blackberries, Greek yogurt, oatmeal, herbal tea	$81.44	Discover 3827	
Mar 3 2025	Kroger 2225 Central Ave Memphis	Full Weekly	40	Chicken thighs, green beans, potatoes, apples, whole grain pasta, tomatoes, coffee	$85.60	Discover 3827	
Mar 10 2025	Kroger 2225 Central Ave Memphis	Full Weekly	38	Cod fillets, cauliflower, brown rice, pears, low-sodium broth, spinach	$78.23	Discover 3827	
Mar 12 2025	Kroger 2225 Central Ave Memphis	Mid-Week Top-Up	14	Cream, bananas, yogurt, eggs, sparkling water, bread	$31.07	Discover 3827	
Mar 17 2025	Kroger 2225 Central Ave Memphis	Full Weekly	36	Pork chops, collard greens, sweet potatoes, blueberries, almond milk, chamomile tea	$77.91	Discover 3827	
Mar 24 2025	Kroger 2225 Central Ave Memphis	Full Weekly	42	Fried chicken ingredients, cornbread mix, mac and cheese, sweet potato pie ingredients	$94.15	Discover 3827	Sunday dinner for Dorothy and Naomi
Mar 31 2025	Kroger 2225 Central Ave Memphis	Full Weekly	39	Tilapia, asparagus, quinoa, mixed berries, Greek yogurt, green tea, coffee	$82.40	Discover 3827	
Apr 7 2025	Kroger 2225 Central Ave Memphis	Full Weekly	41	Lamb (Easter), potatoes, green beans, deviled egg ingredients, lemon cake mix	$99.88	Discover 3827	Easter Sunday prep
Apr 14 2025	Kroger 2225 Central Ave Memphis	Full Weekly	37	Chicken breast, broccoli, jasmine rice, mangoes, low-fat cottage cheese, sparkling water	$79.55	Discover 3827	
Apr 21 2025	Kroger 2225 Central Ave Memphis	Full Weekly	38	Salmon, spinach, brown rice, oranges, almond butter, whole wheat crackers, coffee	$80.10	Discover 3827	
Apr 28 2025	Kroger 2225 Central Ave Memphis	Full Weekly	40	Pot roast, carrots, potatoes, onions, cornbread, peach preserves, herbal tea	$86.72	Discover 3827	Sunday dinner
May 5 2025	Kroger 2225 Central Ave Memphis	Full Weekly	36	Ground turkey, zucchini, brown rice, strawberries, Greek yogurt, eggs	$77.34	Discover 3827	
May 12 2025	Kroger 2225 Central Ave Memphis	Full Weekly	39	Chicken thighs, sweet corn, quinoa, watermelon, chamomile tea, sparkling water	$84.50	Discover 3827	Mother's Day prep
May 19 2025	Kroger 2225 Central Ave Memphis	Full Weekly	38	Tilapia, kale, jasmine rice, blueberries, low-sodium broth, avocado, coffee	$81.65	Discover 3827	
May 26 2025	Kroger 2225 Central Ave Memphis	Full Weekly	43	Ribs, corn on cob, potato salad ingredients, coleslaw, sparkling water, lemonade	$98.30	Discover 3827	Memorial Day cookout prep
