id,name,type,messages_total,messages_unread,threads_total,threads_unread
INBOX,INBOX,system,16,9,13,9
SENT,SENT,system,12,0,12,0
DRAFTS,DRAFT,system,21,0,21,0
TRASH,TRASH,system,0,0,0,0
SPAM,SPAM,system,0,0,0,0
IMPORTANT,IMPORTANT,system,9,9,8,9
STARRED,STARRED,system,3,0,3,0
UNREAD,UNREAD,system,9,9,9,9
CHAT,CHAT,system,0,0,0,0
CATEGORY_PERSONAL,CATEGORY_PERSONAL,system,6,2,5,2
CATEGORY_SOCIAL,CATEGORY_SOCIAL,system,0,0,0,0
CATEGORY_PROMOTIONS,CATEGORY_PROMOTIONS,system,3,1,3,1
CATEGORY_UPDATES,CATEGORY_UPDATES,system,7,2,7,2
CATEGORY_FORUMS,CATEGORY_FORUMS,system,1,0,1,0
Label_kellyelectric,Kelly Electric LLC,user,14,3,9,2
Label_invoices,Invoices,user,6,1,6,1
Label_clients,Clients,user,8,2,7,2
Label_suppliers,Suppliers,user,4,0,3,0
Label_chessclub,Chess Club,user,5,1,3,1
Label_beekeeping,Beekeeping Guild,user,4,1,3,1
Label_honeysales,Honey Sales,user,5,0,4,0
Label_insurance,Insurance & Permits,user,4,1,4,1
Label_taxes,Taxes,user,3,0,2,0
Label_family,Family,user,4,1,3,1
Label_followup,Follow up,user,3,1,3,1
