id,name,type,query,message,overall_state,priority,tags,created,modified
mon-1,URISN Ingestion Feed Health,metric alert,avg(last_15m):avg:urisn.ingestion.rows{*} < 1,Feed health monitor,OK,P3,"service:urisn-ingestion,team:data-eng",2026-06-01T00:00:00Z,2026-09-30T23:59:00Z
mon-2,URISN Ingestion Latency,metric alert,avg(last_5m):avg:urisn.ingestion.latency_ms{*} > 5000,Latency monitor,OK,P3,service:urisn-ingestion,2026-06-01T00:00:00Z,2026-09-30T23:59:00Z
mon-3,Infra monitor 3,metric alert,avg(last_5m):avg:cpu{*}>90,CPU,OK,P4,team:platform,2026-06-01T00:00:00Z,2026-09-30T00:00:00Z
mon-4,Infra monitor 4,metric alert,avg(last_5m):avg:cpu{*}>90,CPU,OK,P4,team:platform,2026-06-01T00:00:00Z,2026-09-30T00:00:00Z
mon-5,Infra monitor 5,metric alert,avg(last_5m):avg:cpu{*}>90,CPU,OK,P4,team:platform,2026-06-01T00:00:00Z,2026-09-30T00:00:00Z
mon-6,Infra monitor 6,metric alert,avg(last_5m):avg:cpu{*}>90,CPU,OK,P4,team:platform,2026-06-01T00:00:00Z,2026-09-30T00:00:00Z
mon-7,Infra monitor 7,metric alert,avg(last_5m):avg:cpu{*}>90,CPU,OK,P4,team:platform,2026-06-01T00:00:00Z,2026-09-30T00:00:00Z
mon-8,Infra monitor 8,metric alert,avg(last_5m):avg:cpu{*}>90,CPU,OK,P4,team:platform,2026-06-01T00:00:00Z,2026-09-30T00:00:00Z
mon-9,Infra monitor 9,metric alert,avg(last_5m):avg:cpu{*}>90,CPU,OK,P4,team:platform,2026-06-01T00:00:00Z,2026-09-30T00:00:00Z
mon-10,Infra monitor 10,metric alert,avg(last_5m):avg:cpu{*}>90,CPU,OK,P4,team:platform,2026-06-01T00:00:00Z,2026-09-30T00:00:00Z
mon-11,Infra monitor 11,metric alert,avg(last_5m):avg:cpu{*}>90,CPU,OK,P4,team:platform,2026-06-01T00:00:00Z,2026-09-30T00:00:00Z
mon-12,Infra monitor 12,metric alert,avg(last_5m):avg:cpu{*}>90,CPU,OK,P4,team:platform,2026-06-01T00:00:00Z,2026-09-30T00:00:00Z
