id,name,permissionLevel
appCedarRidge,Cedar Ridge Fall Tournament 2026,create
appCedarRidge001,Cedar Ridge Base 1,tournament
appCedarRidge002,Cedar Ridge Base 2,merch_pipeline
appCedarRidge003,Cedar Ridge Base 3,merch_pipeline
appCedarRidge004,Cedar Ridge Base 4,tournament
appCedarRidge005,Cedar Ridge Base 5,operations
appCedarRidge006,Cedar Ridge Base 6,operations
appCedarRidge007,Cedar Ridge Base 7,operations
appCedarRidge008,Cedar Ridge Base 8,operations
appCedarRidge009,Cedar Ridge Base 9,student_tracker
appCedarRidge010,Cedar Ridge Base 10,tournament
appCedarRidge011,Cedar Ridge Base 11,student_tracker
appCedarRidge012,Cedar Ridge Base 12,tournament
appCedarRidge013,Cedar Ridge Base 13,operations
appCedarRidge014,Cedar Ridge Base 14,merch_pipeline
appCedarRidge015,Cedar Ridge Base 15,student_tracker
appCedarRidge016,Cedar Ridge Base 16,operations
appCedarRidge017,Cedar Ridge Base 17,tournament
appCedarRidge018,Cedar Ridge Base 18,instructor_notes
appCedarRidge019,Cedar Ridge Base 19,merch_pipeline
appCedarRidge020,Cedar Ridge Base 20,operations
appCedarRidge021,Cedar Ridge Base 21,student_tracker
appCedarRidge022,Cedar Ridge Base 22,student_tracker
appCedarRidge023,Cedar Ridge Base 23,instructor_notes
appCedarRidge024,Cedar Ridge Base 24,tournament
appCedarRidge025,Cedar Ridge Base 25,student_tracker
appCedarRidge026,Cedar Ridge Base 26,merch_pipeline
appCedarRidge027,Cedar Ridge Base 27,operations
appCedarRidge028,Cedar Ridge Base 28,merch_pipeline
appCedarRidge029,Cedar Ridge Base 29,merch_pipeline
appCedarRidge030,Cedar Ridge Base 30,student_tracker
appCedarRidge031,Cedar Ridge Base 31,student_tracker
appCedarRidge032,Cedar Ridge Base 32,operations
appCedarRidge033,Cedar Ridge Base 33,tournament
appCedarRidge034,Cedar Ridge Base 34,instructor_notes
appCedarRidge035,Cedar Ridge Base 35,merch_pipeline
appCedarRidge036,Cedar Ridge Base 36,instructor_notes
appCedarRidge037,Cedar Ridge Base 37,tournament
appCedarRidge038,Cedar Ridge Base 38,operations
appCedarRidge039,Cedar Ridge Base 39,student_tracker
appCedarRidge040,Cedar Ridge Base 40,merch_pipeline
appCedarRidge041,Cedar Ridge Base 41,merch_pipeline
appCedarRidge042,Cedar Ridge Base 42,operations
appCedarRidge043,Cedar Ridge Base 43,instructor_notes
appCedarRidge044,Cedar Ridge Base 44,merch_pipeline
appCedarRidge045,Cedar Ridge Base 45,student_tracker
appCedarRidge046,Cedar Ridge Base 46,merch_pipeline
appCedarRidge047,Cedar Ridge Base 47,operations
appCedarRidge048,Cedar Ridge Base 48,student_tracker
appCedarRidge049,Cedar Ridge Base 49,student_tracker
appCedarRidge050,Cedar Ridge Base 50,instructor_notes
appCedarRidge051,Cedar Ridge Base 51,student_tracker
appCedarRidge052,Cedar Ridge Base 52,instructor_notes
appCedarRidge053,Cedar Ridge Base 53,tournament
appCedarRidge054,Cedar Ridge Base 54,tournament
appCedarRidge055,Cedar Ridge Base 55,merch_pipeline
appCedarRidge056,Cedar Ridge Base 56,operations
appCedarRidge057,Cedar Ridge Base 57,instructor_notes
appCedarRidge058,Cedar Ridge Base 58,merch_pipeline
appCedarRidge059,Cedar Ridge Base 59,operations
appCedarRidge060,Cedar Ridge Base 60,operations
appCedarRidge061,Cedar Ridge Base 61,instructor_notes
appCedarRidge062,Cedar Ridge Base 62,tournament
appCedarRidge063,Cedar Ridge Base 63,instructor_notes
appCedarRidge064,Cedar Ridge Base 64,merch_pipeline
appCedarRidge065,Cedar Ridge Base 65,operations
appCedarRidge066,Cedar Ridge Base 66,tournament
appCedarRidge067,Cedar Ridge Base 67,merch_pipeline
appCedarRidge068,Cedar Ridge Base 68,merch_pipeline
appCedarRidge069,Cedar Ridge Base 69,tournament
appCedarRidge070,Cedar Ridge Base 70,student_tracker
appCedarRidge071,Cedar Ridge Base 71,instructor_notes
appCedarRidge072,Cedar Ridge Base 72,operations
appCedarRidge073,Cedar Ridge Base 73,instructor_notes
appCedarRidge074,Cedar Ridge Base 74,operations
appCedarRidge075,Cedar Ridge Base 75,instructor_notes
appCedarRidge076,Cedar Ridge Base 76,tournament
appCedarRidge077,Cedar Ridge Base 77,instructor_notes
appCedarRidge078,Cedar Ridge Base 78,instructor_notes
appCedarRidge079,Cedar Ridge Base 79,instructor_notes
appCedarRidge080,Cedar Ridge Base 80,merch_pipeline
appCedarRidge081,Cedar Ridge Base 81,tournament
appCedarRidge082,Cedar Ridge Base 82,merch_pipeline
appCedarRidge083,Cedar Ridge Base 83,instructor_notes
appCedarRidge084,Cedar Ridge Base 84,instructor_notes
appCedarRidge085,Cedar Ridge Base 85,operations
appCedarRidge086,Cedar Ridge Base 86,merch_pipeline
appCedarRidge087,Cedar Ridge Base 87,tournament
appCedarRidge088,Cedar Ridge Base 88,student_tracker
appCedarRidge089,Cedar Ridge Base 89,merch_pipeline
appCedarRidge090,Cedar Ridge Base 90,tournament
appCedarRidge091,Cedar Ridge Base 91,merch_pipeline
appCedarRidge092,Cedar Ridge Base 92,student_tracker
appCedarRidge093,Cedar Ridge Base 93,instructor_notes
appCedarRidge094,Cedar Ridge Base 94,merch_pipeline
appCedarRidge095,Cedar Ridge Base 95,merch_pipeline
appCedarRidge096,Cedar Ridge Base 96,instructor_notes
appCedarRidge097,Cedar Ridge Base 97,operations
appCedarRidge098,Cedar Ridge Base 98,instructor_notes
appCedarRidge099,Cedar Ridge Base 99,operations
appCedarRidge100,Cedar Ridge Base 100,student_tracker
appCedarRidge101,Cedar Ridge Base 101,instructor_notes
appCedarRidge102,Cedar Ridge Base 102,operations
appCedarRidge103,Cedar Ridge Base 103,student_tracker
appCedarRidge104,Cedar Ridge Base 104,tournament
