iata_code,icao_code,business_name,common_name,country_code
KE,KAL,Korean Air Lines Co Ltd,Korean Air,KR
OZ,AAR,Asiana Airlines Inc,Asiana,KR
DL,DAL,Delta Air Lines Inc,Delta,US
UA,UAL,United Airlines Inc,United,US
SQ,SQ0X,Airline ed5g,Air lbl,US
KL,KL1X,Airline 62jp,Air 4di,US
JL,JL4X,Airline xj25,Air prj,US
NH,NH7X,Airline b05i,Air u59,US
F9,F98X,Airline id60,Air trx,US
WN,WN9X,Airline g5lb,Air l7g,US
TK,TK1X,Airline 56gf,Air 5k3,US
EK,EK1X,Airline muhc,Air 25m,US
BA,BA1X,Airline 6lgn,Air mbm,US
QF,QF1X,Airline nuce,Air qbq,US
HA,HA2X,Airline mh3w,Air 5l8,US
NK,NK2X,Airline fb6z,Air i15,US
AS,AS2X,Airline kw28,Air 2v3,US
B6,B63X,Airline 28v8,Air xbd,US
IB,IB4X,Airline hyy4,Air dpq,US
AF,AF4X,Airline idr3,Air ipd,US
AA,AA4X,Airline f0a7,Air hbr,US
CX,CX7X,Airline hpnq,Air mt1,US
LH,LH8X,Airline vlgg,Air z4t,US
