store_id,name,cuisine,rating,review_count,price_range,delivery_fee,eta_minutes,latitude,longitude,address,is_open
store-0001,Pho 79,American,4.1,1593,$,1.37,31,39.7183,-104.9380,650 Colfax St Denver,true
store-0002,El Taco de Mexico,American,4.1,1899,$$,2.91,24,39.7106,-104.9643,622 Larimer St Denver,true
store-0003,Pizzeria Locale,Vietnamese,4.2,1958,$$$,4.23,23,39.7711,-104.9619,1177 Larimer St Denver,true
store-0004,Work and Class,Italian,4.4,2388,$$,1.09,40,39.7471,-104.9847,1997 Larimer St Denver,false
store-0005,Tacos Tequila Whiskey,Japanese,4.8,613,$$,3.63,32,39.7627,-105.0182,1108 Colfax St Denver,true
store-0006,Illegal Pete's,Mexican,4.5,1991,$$$,1.76,32,39.7629,-104.9584,426 Federal St Denver,true
store-0007,Sushi Den,American,4.3,640,$$$,1.62,39,39.7588,-104.9981,2781 Pearl St Denver,false
store-0008,City O' City,Latin,4.7,606,$,2.78,21,39.7246,-104.9572,2842 Larimer St Denver,true
store-0009,Sabor Latino,Latin,4.3,1978,$,2.89,33,39.7303,-104.9753,501 Pearl St Denver,false
store-0010,Denver Biscuit Co,Cafe,4.3,2244,$$,2.92,32,39.7559,-104.9893,204 Pearl St Denver,true
store-0011,Los Chingones,Mexican,4.0,2029,$,4.05,43,39.7247,-104.9472,686 Pearl St Denver,false
store-0012,Ku Cha House of Tea,Vietnamese,4.4,1257,$,2.00,41,39.7099,-104.9757,1801 Colfax St Denver,true
store-0013,Bistro Denver 12,Vietnamese,4.5,2373,$,1.93,35,39.7380,-105.0109,119 Larimer St Denver,true
store-0014,Cafe Denver 13,Cafe,4.1,1241,$$$,1.72,43,39.7367,-104.9825,1688 Larimer St Denver,false
store-0015,Cafe Denver 14,Italian,4.8,651,$$$,1.10,18,39.7263,-105.0162,377 Pearl St Denver,true
store-0016,Cafe Denver 15,Japanese,4.1,1827,$$$,3.77,40,39.7049,-104.9872,2137 Broadway St Denver,false
store-0017,Cafe Denver 16,Cafe,4.8,1279,$$,1.15,30,39.7314,-104.9394,2374 Federal St Denver,true
store-0018,Grill Denver 17,Vietnamese,4.8,244,$,4.58,43,39.7657,-104.9324,1625 Federal St Denver,true
store-0019,Bistro Denver 18,Cafe,4.1,1998,$,4.02,24,39.7323,-105.0163,933 Colfax St Denver,false
store-0020,Grill Denver 19,Latin,4.8,822,$$,2.05,38,39.7564,-105.0138,1431 Colfax St Denver,true
store-0021,Cafe Denver 20,Vietnamese,4.7,1114,$$$,1.58,32,39.7621,-104.9498,2394 Broadway St Denver,true
