Product Description	HTS Chapter	HTS Heading	Full HTS Code	MFN Duty Rate	Client	Notes
Automotive position sensor assembly, 12V DC, hall-effect	8543	8543.70	8543.70.9650	Free	Meridian Automotive Parts LLC	USMCA preference applies
Wiring harness sub-assembly, automotive, copper conductor	8544	8544.30	8544.30.0000	Free	Meridian Automotive Parts LLC	Preference: CA/MX origin
Throttle position sensor, electronic, programmable	8543	8543.70	8543.70.4000	Free	Meridian Automotive Parts LLC	Verified origin Feb 2026
Stamped steel automotive bracket, unfinished	7326	7326.90	7326.90.8688	2.9%	Central Ohio Stamping Corp.	No FTA available; MFN rate applies
Automotive rubber seal, engine compartment	4016	4016.93	4016.93.5020	2.5%	Tri-State Auto Components	USMCA preferred
Nylon fiber, bulk, for weaving, not carded	5501	5501.40	5501.40.0000	4.4%	Lakeside Textiles Inc.	Origin: Vietnam; MFN
Woven cotton fabric, plain, bleached, 100g	5208	5208.21	5208.21.6090	11.4%	Lakeside Textiles Inc.	Specific rate by weight class
Polyester yarn, twisted, for industrial use	5402	5402.33	5402.33.3000	8%	Buckeye Apparel Group	Origin: China
Corn gluten meal, dry, not for animal feed	2302	2302.10	2302.10.0020	Free	Hartfield Grain Exports LLC	Export item; USDA cert required
Refined soybean oil, for edible use	1507	1507.90	1507.90.4040	19.1 cents/kg	Hartfield Grain Exports LLC	Subject to TRQ above 1.1 MT
Soybean meal, dehulled, for feed use	2304	2304.00	2304.00.0010	Free	Prairie Seeds Export LLC	USDA phytosanitary cert required
Bulk wheat, hard red winter	1001	1001.19	1001.19.0020	2.8 cents/kg	Great Oaks Lumber Export	TRQ: in-quota rate 2.8c/kg
Polypropylene resin pellets, injection grade	3902	3902.10	3902.10.0000	6.5%	Northgate Plastics LLC	Origin: Korea; KORUS FTA Free
Polyethylene film, non-cellular, for packaging	3920	3920.10	3920.10.0000	3.7%	Northgate Plastics LLC	MFN; no FTA benefit
PVC pipe fittings, schedule 40, not threaded	3917	3917.32	3917.32.3020	Free	Stonebridge Plastics	USMCA preferred
Flat-rolled steel, coated, width > 600mm	7210	7210.70	7210.70.6090	Free	Paramount Steel Ohio	Section 232 tariff may apply
Steel wire rod, iron/alloy, coiled	7213	7213.91	7213.91.4590	Free	Allied Wire Products Inc.	Section 232 assessed separately
Carbon steel pipe, seamless, for machinery	7304	7304.31	7304.31.6050	Free	Columbus Die Cast LLC	Section 232 exclusion on file
Industrial cleaning solvent, organic, non-halogenated	2909	2909.19	2909.19.1400	3.7%	Riverview Chemical LLC	Export classification
Anhydrous ammonia, for agriculture	2814	2814.10	2814.10.0000	Free	Ohio Farm Bureau Export	USMCA preferred; CAS 7664-41-7
Fiberglass insulation roll, building use	7019	7019.90	7019.90.1000	4.9%	Midwest Glass Mfg.	Origin: Mexico; USMCA Free
Hardwood lumber, oak, rough-sawn	4403	4403.91	4403.91.0101	Free	Great Oaks Lumber Export	CITES documentation not required for domestic oak
Canned corn, retail pack, not frozen	2005	2005.80	2005.80.8000	Free	Buckeye Corn Processors	Domestic production for export
Poultry, frozen, whole chickens	0207	0207.12	0207.12.0600	8.8 cents/kg	Blue Ribbon Poultry Export	USDA FSIS cert required
Cheese, cheddar, retail block, >1kg	0406	0406.10	0406.10.1100	4 cents/kg + 16.1%	Lakeview Dairy Export LLC	TRQ; in-quota rate shown
NOTE	Classification codes used in p1.pdf and p3.pdf trade filings.					
