id,product,unit_amount,currency,recurring_interval,active,nickname
price_0000,prod_0019,1651,usd,month,true,Price 0
price_0001,prod_0003,3009,usd,month,true,Price 1
price_0002,prod_0020,1029,usd,month,true,Price 2
price_0003,prod_0018,2823,usd,year,true,Price 3
price_0004,prod_0002,4266,usd,year,true,Price 4
price_0005,prod_0016,829,usd,month,true,Price 5
price_0006,prod_0001,2471,usd,year,true,Price 6
price_0007,prod_0016,3371,usd,,true,Price 7
price_0008,prod_0016,3443,usd,year,true,Price 8
price_0009,prod_0013,1738,usd,,true,Price 9
price_0010,prod_0017,2926,usd,year,true,Price 10
price_0011,prod_0001,2701,usd,month,true,Price 11
price_0012,prod_0008,2830,usd,year,true,Price 12
price_0013,prod_0003,3269,usd,month,true,Price 13
price_0014,prod_0004,631,usd,year,true,Price 14
price_0015,prod_0014,4684,usd,month,true,Price 15
price_0016,prod_0010,3277,usd,year,true,Price 16
price_0017,prod_0008,2701,usd,month,true,Price 17
price_0018,prod_0011,4632,usd,,true,Price 18
price_0019,prod_0014,4742,usd,month,true,Price 19
price_0020,prod_0019,1889,usd,year,true,Price 20
price_0021,prod_0004,1946,usd,,true,Price 21
price_0022,prod_0004,3176,usd,month,true,Price 22
price_0023,prod_0019,4065,usd,year,true,Price 23
price_0024,prod_0011,4376,usd,,true,Price 24
price_0025,prod_0020,2251,usd,year,true,Price 25
price_0026,prod_0010,3975,usd,,true,Price 26
price_0027,prod_0005,1210,usd,year,true,Price 27
price_0028,prod_0018,2068,usd,year,true,Price 28
price_0029,prod_0001,2795,usd,,true,Price 29
price_0030,prod_0004,4188,usd,year,true,Price 30
price_0031,prod_0007,1192,usd,month,true,Price 31
price_0032,prod_0016,3841,usd,month,true,Price 32
price_0033,prod_0010,1203,usd,,true,Price 33
price_0034,prod_0005,4383,usd,year,true,Price 34
price_0035,prod_0006,4382,usd,,true,Price 35
price_0036,prod_0017,4793,usd,year,true,Price 36
price_0037,prod_0004,2917,usd,,true,Price 37
price_0038,prod_0019,3801,usd,,true,Price 38
price_0039,prod_0016,3572,usd,month,true,Price 39
price_0040,prod_0001,2406,usd,month,true,Price 40
price_0041,prod_0018,4327,usd,year,true,Price 41
price_0042,prod_0003,2318,usd,year,true,Price 42
price_0043,prod_0020,986,usd,month,true,Price 43
price_0044,prod_0005,987,usd,month,true,Price 44
price_0045,prod_0013,4687,usd,,true,Price 45
price_0046,prod_0003,3453,usd,,true,Price 46
price_0047,prod_0009,695,usd,year,true,Price 47
price_0048,prod_0019,1239,usd,month,true,Price 48
price_0049,prod_0009,2196,usd,year,true,Price 49
price_0050,prod_0015,1423,usd,,true,Price 50
price_0051,prod_0019,3488,usd,month,true,Price 51
price_0052,prod_0010,813,usd,month,true,Price 52
price_0053,prod_0013,1753,usd,,true,Price 53
price_0054,prod_0018,1977,usd,year,true,Price 54
price_0055,prod_0015,2316,usd,,true,Price 55
price_0056,prod_0018,4879,usd,,true,Price 56
price_0057,prod_0014,1044,usd,,true,Price 57
price_0058,prod_0019,2401,usd,month,true,Price 58
price_0059,prod_0003,4303,usd,year,true,Price 59
price_0060,prod_0018,4299,usd,year,true,Price 60
price_0061,prod_0003,3329,usd,month,true,Price 61
price_0062,prod_0001,3015,usd,,true,Price 62
price_0063,prod_0018,3420,usd,,true,Price 63
price_0064,prod_0005,754,usd,,true,Price 64
price_0065,prod_0015,4847,usd,,true,Price 65
price_0066,prod_0014,4663,usd,year,true,Price 66
price_0067,prod_0003,3388,usd,,true,Price 67
price_0068,prod_0002,1213,usd,month,true,Price 68
price_0069,prod_0007,2277,usd,year,true,Price 69
price_0070,prod_0004,3781,usd,month,true,Price 70
price_0071,prod_0016,1961,usd,,true,Price 71
price_0072,prod_0014,1524,usd,year,true,Price 72
price_0073,prod_0001,1715,usd,,true,Price 73
price_0074,prod_0016,1197,usd,month,true,Price 74
price_0075,prod_0010,1180,usd,year,true,Price 75
price_0076,prod_0014,903,usd,year,true,Price 76
price_0077,prod_0004,2624,usd,month,true,Price 77
price_0078,prod_0003,4767,usd,year,true,Price 78
price_0079,prod_0004,2773,usd,,true,Price 79
price_0080,prod_0013,4593,usd,year,true,Price 80
price_0081,prod_0006,4925,usd,,true,Price 81
price_0082,prod_0003,955,usd,month,true,Price 82
price_0083,prod_0003,1480,usd,,true,Price 83
price_0084,prod_0008,4577,usd,month,true,Price 84
price_0085,prod_0011,4928,usd,,true,Price 85
price_0086,prod_0001,4146,usd,month,true,Price 86
price_0087,prod_0018,3745,usd,month,true,Price 87
price_0088,prod_0018,3899,usd,year,true,Price 88
price_0089,prod_0006,3757,usd,,true,Price 89
price_0090,prod_0014,1603,usd,year,true,Price 90
price_0091,prod_0001,4898,usd,month,true,Price 91
price_0092,prod_0002,4779,usd,month,true,Price 92
price_0093,prod_0014,2858,usd,,true,Price 93
