id,board_id,name,state,start_date,end_date,goal
101,1,TAVR Study Q3 Sprint 1,active,2026-09-15T09:00:00Z,2026-09-29T17:00:00Z,Complete IRB renewal package
102,1,TAVR Study Q3 Sprint 2,closed,2026-09-01T09:00:00Z,2026-09-15T17:00:00Z,Enrollment reconciliation
103,1,TAVR Study Q3 Sprint 3,closed,2026-02-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 000 goal
104,2,IRB Renewal Sprint,future,2026-01-01T09:00:00Z,2026-04-15T17:00:00Z,Sprint 001 goal
105,3,Manuscript Prep Sprint,active,2026-07-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 002 goal
106,2,Site Onboarding Sprint,closed,2026-08-01T09:00:00Z,2026-08-15T17:00:00Z,Sprint 003 goal
107,1,Data Lock Sprint,active,2026-02-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 004 goal
108,2,Analysis Pipeline Sprint,active,2026-06-01T09:00:00Z,2026-03-15T17:00:00Z,Sprint 005 goal
109,3,Conference Prep Sprint,closed,2026-01-01T09:00:00Z,2026-02-15T17:00:00Z,Sprint 006 goal
110,3,Coordinator Training Sprint,future,2026-01-01T09:00:00Z,2026-03-15T17:00:00Z,Sprint 007 goal
111,3,TAVR Study Q3 Sprint 1,active,2026-01-01T09:00:00Z,2026-08-15T17:00:00Z,Sprint 008 goal
112,3,TAVR Study Q3 Sprint 2,active,2026-01-01T09:00:00Z,2026-02-15T17:00:00Z,Sprint 009 goal
113,2,TAVR Study Q3 Sprint 3,closed,2026-06-01T09:00:00Z,2026-07-15T17:00:00Z,Sprint 010 goal
114,1,IRB Renewal Sprint,future,2026-01-01T09:00:00Z,2026-05-15T17:00:00Z,Sprint 011 goal
115,1,Manuscript Prep Sprint,future,2026-05-01T09:00:00Z,2026-03-15T17:00:00Z,Sprint 012 goal
116,2,Site Onboarding Sprint,closed,2026-03-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 013 goal
117,3,Data Lock Sprint,active,2026-09-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 014 goal
118,3,Analysis Pipeline Sprint,active,2026-09-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 015 goal
119,3,Conference Prep Sprint,active,2026-01-01T09:00:00Z,2026-08-15T17:00:00Z,Sprint 016 goal
120,2,Coordinator Training Sprint,future,2026-01-01T09:00:00Z,2026-08-15T17:00:00Z,Sprint 017 goal
121,1,TAVR Study Q3 Sprint 1,active,2026-06-01T09:00:00Z,2026-07-15T17:00:00Z,Sprint 018 goal
