id,name,slug,sku,type,status,price,regular_price,sale_price,on_sale,stock_quantity,stock_status,manage_stock,categories,description,date_created
47,Zuni Turquoise heavy cuff (OMW-C-047),omw-c-047,OMW-C-047,simple,publish,720,720,,False,1,instock,True,cuffs,"Heavy sterling cuff with Number 8 turquoise cluster (4 stones), Zuni sunset stone pattern",2026-10-30T09:00:00Z
46,Royston twin-stone cuff (OMW-C-046),omw-c-046,OMW-C-046,simple,publish,580,580,,False,1,instock,True,cuffs,"Royston twin-stone cuff, allocation-eligible for Turquoise Trail Dec 4 substitution",2026-10-25T09:00:00Z
1,Sterling cuff #1,omw-c-001,OMW-C-001,simple,publish,557,610,,False,1,instock,True,cuffs,Handmade sterling cuff,2025-10-19T09:00:00Z
2,Sterling bolo #2,omw-b-002,OMW-B-002,simple,private,613,308,,False,2,instock,True,bolo-ties,Handmade sterling bolo,2024-08-23T09:00:00Z
3,Sterling buckle #3,omw-b-003,OMW-B-003,simple,publish,819,719,,False,1,instock,True,belt-buckles,Handmade sterling buckle,2025-01-04T09:00:00Z
4,Sterling cuff #4,omw-c-004,OMW-C-004,simple,publish,948,948,,False,0,instock,True,cuffs,Handmade sterling cuff,2025-09-20T09:00:00Z
5,Sterling bolo #5,omw-b-005,OMW-B-005,simple,private,583,945,,False,1,outofstock,True,bolo-ties,Handmade sterling bolo,2024-09-06T09:00:00Z
6,Sterling buckle #6,omw-b-006,OMW-B-006,simple,publish,357,492,,False,2,instock,True,belt-buckles,Handmade sterling buckle,2025-03-22T09:00:00Z
7,Sterling buckle #7,omw-b-007,OMW-B-007,simple,private,681,640,,False,2,instock,True,belt-buckles,Handmade sterling buckle,2025-12-14T09:00:00Z
8,Sterling bolo #8,omw-b-008,OMW-B-008,simple,private,745,842,,False,0,instock,True,bolo-ties,Handmade sterling bolo,2024-10-23T09:00:00Z
9,Sterling buckle #9,omw-b-009,OMW-B-009,simple,publish,661,506,,False,0,outofstock,True,belt-buckles,Handmade sterling buckle,2025-06-23T09:00:00Z
10,Sterling bolo #10,omw-b-010,OMW-B-010,simple,private,748,461,,False,1,outofstock,True,bolo-ties,Handmade sterling bolo,2025-03-24T09:00:00Z
11,Sterling buckle #11,omw-b-011,OMW-B-011,simple,publish,416,461,,False,0,instock,True,belt-buckles,Handmade sterling buckle,2026-04-26T09:00:00Z
12,Sterling buckle #12,omw-b-012,OMW-B-012,simple,publish,850,434,,False,2,instock,True,belt-buckles,Handmade sterling buckle,2025-10-04T09:00:00Z
13,Sterling buckle #13,omw-b-013,OMW-B-013,simple,publish,349,772,,False,1,outofstock,True,belt-buckles,Handmade sterling buckle,2025-07-03T09:00:00Z
14,Sterling buckle #14,omw-b-014,OMW-B-014,simple,publish,366,464,,False,0,instock,True,belt-buckles,Handmade sterling buckle,2025-04-28T09:00:00Z
15,Sterling buckle #15,omw-b-015,OMW-B-015,simple,publish,813,486,,False,1,instock,True,belt-buckles,Handmade sterling buckle,2024-08-22T09:00:00Z
16,Sterling buckle #16,omw-b-016,OMW-B-016,simple,publish,596,618,,False,1,instock,True,belt-buckles,Handmade sterling buckle,2025-05-22T09:00:00Z
17,Sterling cuff #17,omw-c-017,OMW-C-017,simple,publish,810,523,,False,0,instock,True,cuffs,Handmade sterling cuff,2025-12-14T09:00:00Z
18,Sterling cuff #18,omw-c-018,OMW-C-018,simple,publish,446,511,,False,1,instock,True,cuffs,Handmade sterling cuff,2026-03-16T09:00:00Z
19,Sterling buckle #19,omw-b-019,OMW-B-019,simple,publish,413,748,,False,1,instock,True,belt-buckles,Handmade sterling buckle,2026-01-12T09:00:00Z
20,Sterling bolo #20,omw-b-020,OMW-B-020,simple,private,615,786,,False,0,instock,True,bolo-ties,Handmade sterling bolo,2026-01-12T09:00:00Z
21,Sterling bolo #21,omw-b-021,OMW-B-021,simple,publish,393,897,,False,0,outofstock,True,bolo-ties,Handmade sterling bolo,2026-04-29T09:00:00Z
22,Sterling bolo #22,omw-b-022,OMW-B-022,simple,publish,396,547,,False,2,instock,True,bolo-ties,Handmade sterling bolo,2025-02-14T09:00:00Z
23,Sterling buckle #23,omw-b-023,OMW-B-023,simple,publish,597,364,,False,0,instock,True,belt-buckles,Handmade sterling buckle,2025-03-16T09:00:00Z
24,Sterling buckle #24,omw-b-024,OMW-B-024,simple,publish,620,904,,False,2,instock,True,belt-buckles,Handmade sterling buckle,2024-07-13T09:00:00Z
25,Sterling buckle #25,omw-b-025,OMW-B-025,simple,publish,803,289,,False,2,instock,True,belt-buckles,Handmade sterling buckle,2025-03-15T09:00:00Z
26,Sterling buckle #26,omw-b-026,OMW-B-026,simple,publish,472,605,,False,1,instock,True,belt-buckles,Handmade sterling buckle,2024-09-11T09:00:00Z
27,Sterling buckle #27,omw-b-027,OMW-B-027,simple,publish,584,582,,False,1,instock,True,belt-buckles,Handmade sterling buckle,2025-12-07T09:00:00Z
28,Sterling bolo #28,omw-b-028,OMW-B-028,simple,publish,744,534,,False,2,outofstock,True,bolo-ties,Handmade sterling bolo,2025-08-07T09:00:00Z
29,Sterling buckle #29,omw-b-029,OMW-B-029,simple,publish,739,930,,False,2,instock,True,belt-buckles,Handmade sterling buckle,2026-06-06T09:00:00Z
30,Sterling bolo #30,omw-b-030,OMW-B-030,simple,private,342,838,,False,1,instock,True,bolo-ties,Handmade sterling bolo,2024-08-16T09:00:00Z
31,Sterling cuff #31,omw-c-031,OMW-C-031,simple,publish,584,332,,False,2,instock,True,cuffs,Handmade sterling cuff,2026-03-18T09:00:00Z
32,Sterling bolo #32,omw-b-032,OMW-B-032,simple,publish,858,286,,False,1,instock,True,bolo-ties,Handmade sterling bolo,2026-06-25T09:00:00Z
33,Sterling buckle #33,omw-b-033,OMW-B-033,simple,private,607,288,,False,2,outofstock,True,belt-buckles,Handmade sterling buckle,2025-09-04T09:00:00Z
34,Sterling buckle #34,omw-b-034,OMW-B-034,simple,publish,345,345,,False,1,outofstock,True,belt-buckles,Handmade sterling buckle,2025-10-23T09:00:00Z
35,Sterling cuff #35,omw-c-035,OMW-C-035,simple,publish,684,495,,False,1,instock,True,cuffs,Handmade sterling cuff,2024-12-20T09:00:00Z
36,Sterling bolo #36,omw-b-036,OMW-B-036,simple,publish,514,557,,False,2,instock,True,bolo-ties,Handmade sterling bolo,2024-11-17T09:00:00Z
37,Sterling buckle #37,omw-b-037,OMW-B-037,simple,private,453,388,,False,1,outofstock,True,belt-buckles,Handmade sterling buckle,2025-05-22T09:00:00Z
38,Sterling buckle #38,omw-b-038,OMW-B-038,simple,publish,364,440,,False,0,instock,True,belt-buckles,Handmade sterling buckle,2024-10-07T09:00:00Z
39,Sterling cuff #39,omw-c-039,OMW-C-039,simple,publish,307,904,,False,1,instock,True,cuffs,Handmade sterling cuff,2025-05-06T09:00:00Z
40,Sterling buckle #40,omw-b-040,OMW-B-040,simple,private,809,298,,False,1,instock,True,belt-buckles,Handmade sterling buckle,2025-03-12T09:00:00Z
41,Sterling buckle #41,omw-b-041,OMW-B-041,simple,private,569,689,,False,2,instock,True,belt-buckles,Handmade sterling buckle,2026-05-11T09:00:00Z
42,Sterling cuff #42,omw-c-042,OMW-C-042,simple,publish,879,361,,False,0,instock,True,cuffs,Handmade sterling cuff,2024-08-11T09:00:00Z
43,Sterling buckle #43,omw-b-043,OMW-B-043,simple,publish,427,360,,False,1,instock,True,belt-buckles,Handmade sterling buckle,2025-10-12T09:00:00Z
44,Sterling cuff #44,omw-c-044,OMW-C-044,simple,private,506,611,,False,2,instock,True,cuffs,Handmade sterling cuff,2026-04-30T09:00:00Z
45,Sterling bolo #45,omw-b-045,OMW-B-045,simple,publish,438,731,,False,0,instock,True,bolo-ties,Handmade sterling bolo,2024-12-06T09:00:00Z
1000,Cerrillos storm cuff (OMW-C-045),omw-c-045,OMW-C-045,simple,publish,520,520,,False,0,outofstock,True,cuffs,Cerrillos storm cuff,2026-08-15T09:00:00Z
148,Retired piece #48,retired-48,OMW-R-048,simple,private,629,438,,False,0,outofstock,True,retired,Sold retired piece,2026-06-18T09:00:00Z
149,Retired piece #49,retired-49,OMW-R-049,simple,private,322,386,,False,0,outofstock,True,retired,Sold retired piece,2025-03-18T09:00:00Z
150,Retired piece #50,retired-50,OMW-R-050,simple,private,485,280,,False,0,outofstock,True,retired,Sold retired piece,2023-12-24T09:00:00Z
151,Retired piece #51,retired-51,OMW-R-051,simple,private,290,471,,False,0,outofstock,True,retired,Sold retired piece,2025-03-19T09:00:00Z
152,Retired piece #52,retired-52,OMW-R-052,simple,private,317,497,,False,0,outofstock,True,retired,Sold retired piece,2025-11-13T09:00:00Z
153,Retired piece #53,retired-53,OMW-R-053,simple,private,600,513,,False,0,outofstock,True,retired,Sold retired piece,2024-06-08T09:00:00Z
154,Retired piece #54,retired-54,OMW-R-054,simple,private,326,690,,False,0,outofstock,True,retired,Sold retired piece,2026-06-28T09:00:00Z
155,Retired piece #55,retired-55,OMW-R-055,simple,private,515,412,,False,0,outofstock,True,retired,Sold retired piece,2026-02-21T09:00:00Z
156,Retired piece #56,retired-56,OMW-R-056,simple,private,384,559,,False,0,outofstock,True,retired,Sold retired piece,2024-10-17T09:00:00Z
157,Retired piece #57,retired-57,OMW-R-057,simple,private,594,569,,False,0,outofstock,True,retired,Sold retired piece,2025-04-25T09:00:00Z
158,Retired piece #58,retired-58,OMW-R-058,simple,private,773,690,,False,0,outofstock,True,retired,Sold retired piece,2025-04-07T09:00:00Z
159,Retired piece #59,retired-59,OMW-R-059,simple,private,435,751,,False,0,outofstock,True,retired,Sold retired piece,2025-08-11T09:00:00Z
160,Retired piece #60,retired-60,OMW-R-060,simple,private,311,779,,False,0,outofstock,True,retired,Sold retired piece,2024-01-24T09:00:00Z
161,Retired piece #61,retired-61,OMW-R-061,simple,private,615,748,,False,0,outofstock,True,retired,Sold retired piece,2025-05-25T09:00:00Z
162,Retired piece #62,retired-62,OMW-R-062,simple,private,627,332,,False,0,outofstock,True,retired,Sold retired piece,2025-09-10T09:00:00Z
163,Retired piece #63,retired-63,OMW-R-063,simple,private,652,699,,False,0,outofstock,True,retired,Sold retired piece,2026-04-12T09:00:00Z
164,Retired piece #64,retired-64,OMW-R-064,simple,private,528,576,,False,0,outofstock,True,retired,Sold retired piece,2025-12-15T09:00:00Z
165,Retired piece #65,retired-65,OMW-R-065,simple,private,375,319,,False,0,outofstock,True,retired,Sold retired piece,2026-04-09T09:00:00Z
