id,name,type,messages_total,messages_unread,threads_total,threads_unread
INBOX,INBOX,system,4,3,4,3
SENT,SENT,system,0,0,0,0
DRAFT,DRAFT,system,0,0,0,0
Label_nf7,NF-7,user,3,3,3,3
id-00005,Delta pine 5,active,669,1004,506,1004
id-00006,Orbit alpha 6,pending,600,1005,67,1005
id-00007,Delta quartz 7,standard,852,1006,202,1006
id-00008,Iris orbit 8,open,344,1007,396,1007
id-00009,Quartz zephyr 9,pending,164,1008,402,1008
id-00010,Violet delta 10,standard,169,1009,176,1009
id-00011,Summit willow 11,general,784,1010,165,1010
id-00012,Coral pine 12,standard,441,1011,329,1011
id-00013,Coral tidal 13,general,458,1012,432,1012
id-00014,Coral summit 14,open,102,1013,285,1013
id-00015,Jade frost 15,closed,430,1014,69,1014
id-00016,Willow meadow 16,standard,718,1015,28,1015
id-00017,Harbor tidal 17,open,233,1016,801,1016
id-00018,Willow tidal 18,general,547,1017,548,1017
id-00019,Alpha frost 19,open,863,1018,112,1018
id-00020,Bravo orbit 20,closed,544,1019,523,1019
id-00021,Kelp kelp 21,general,742,1020,25,1020
id-00022,Kelp orbit 22,standard,650,1021,888,1021
id-00023,Violet jade 23,general,763,1022,474,1022
id-00024,Iris ember 24,open,745,1023,809,1023
id-00025,Ember alpha 25,active,745,1024,202,1024
id-00026,Ember kelp 26,closed,724,1025,779,1025
id-00027,Ember violet 27,standard,68,1026,318,1026
id-00028,Violet haze 28,active,827,1027,471,1027
id-00029,Violet pine 29,closed,228,1028,69,1028
id-00030,Iris summit 30,pending,456,1029,898,1029
id-00031,Alpha alpha 31,pending,179,1030,436,1030
id-00032,Jade tidal 32,active,833,1031,742,1031
id-00033,Coral summit 33,active,276,1032,274,1032
id-00034,Jade kelp 34,standard,607,1033,52,1033
id-00035,Ember bravo 35,standard,260,1034,465,1034
id-00036,Willow delta 36,standard,68,1035,327,1035
id-00037,Willow ember 37,active,547,1036,580,1036
id-00038,Zephyr iris 38,closed,709,1037,159,1037
id-00039,Bravo alpha 39,open,859,1038,376,1038
id-00040,Alpha orbit 40,standard,720,1039,870,1039
id-00041,Summit tidal 41,active,299,1040,708,1040
id-00042,Jade delta 42,closed,175,1041,87,1041
id-00043,Coral river 43,closed,339,1042,140,1042
id-00044,Violet tidal 44,standard,841,1043,310,1043
id-00045,Alpha delta 45,standard,203,1044,448,1044
id-00046,Grove kelp 46,general,299,1045,736,1045
id-00047,Iris coral 47,open,277,1046,359,1046
id-00048,Kelp cedar 48,active,296,1047,738,1047
id-00049,Harbor summit 49,pending,767,1048,687,1048
id-00050,Violet tidal 50,general,261,1049,790,1049
id-00051,Zephyr haze 51,open,355,1050,776,1050
id-00052,Willow summit 52,pending,520,1051,303,1051
id-00053,Iris orbit 53,open,280,1052,802,1052
id-00054,Bravo jade 54,closed,365,1053,309,1053
id-00055,Ember zephyr 55,closed,142,1054,440,1054
id-00056,Zephyr bravo 56,pending,817,1055,356,1055
id-00057,Harbor ember 57,open,308,1056,557,1056
id-00058,Ember umber 58,pending,423,1057,58,1057
id-00059,Cedar bravo 59,closed,622,1058,573,1058
id-00060,Coral iris 60,active,31,1059,438,1059
id-00061,Violet willow 61,active,175,1060,213,1060
id-00062,Willow zephyr 62,active,126,1061,762,1061
id-00063,Violet delta 63,standard,73,1062,310,1062
id-00064,Grove haze 64,active,323,1063,202,1063
id-00065,Orbit bravo 65,general,570,1064,671,1064
id-00066,Ember kelp 66,open,775,1065,521,1065
id-00067,Ember harbor 67,pending,829,1066,274,1066
id-00068,Willow jade 68,open,24,1067,642,1067
id-00069,Haze quartz 69,active,225,1068,481,1068
id-00070,Willow haze 70,pending,629,1069,466,1069
id-00071,Orbit iris 71,general,583,1070,446,1070
id-00072,Kelp bravo 72,standard,290,1071,1,1071
id-00073,Umber cedar 73,active,579,1072,869,1072
id-00074,Violet coral 74,open,306,1073,745,1073
id-00075,Kelp jade 75,closed,176,1074,317,1074
id-00076,Ember quartz 76,active,417,1075,484,1075
id-00077,Quartz grove 77,pending,58,1076,563,1076
id-00078,Frost grove 78,general,629,1077,145,1077
id-00079,Ember umber 79,open,328,1078,582,1078
id-00080,Meadow willow 80,open,697,1079,225,1079
id-00081,Alpha quartz 81,open,735,1080,298,1080
id-00082,Zephyr bravo 82,open,851,1081,513,1081
id-00083,Iris kelp 83,pending,759,1082,220,1082
id-00084,Ember ember 84,general,288,1083,704,1083
id-00085,Bravo quartz 85,general,491,1084,725,1084
id-00086,Harbor violet 86,pending,220,1085,454,1085
id-00087,Umber jade 87,pending,47,1086,791,1086
id-00088,Pine pine 88,closed,583,1087,89,1087
id-00089,Meadow umber 89,standard,808,1088,614,1088
id-00090,Violet cedar 90,standard,730,1089,742,1089
id-00091,Coral bravo 91,standard,477,1090,888,1090
id-00092,Meadow coral 92,pending,401,1091,779,1091
id-00093,Pine umber 93,active,437,1092,648,1092
id-00094,Tidal jade 94,active,365,1093,793,1093
id-00095,Umber quartz 95,pending,807,1094,8,1094
id-00096,Meadow willow 96,general,586,1095,133,1095
id-00097,Zephyr violet 97,standard,142,1096,272,1096
id-00098,Pine summit 98,active,26,1097,800,1097
id-00099,Ember bravo 99,standard,521,1098,656,1098
id-00100,Pine pine 100,closed,559,1099,760,1099
