"pair","altname","ask","bid","last","volume","high","low","open"
"XXBTZUSD","xxbtzusd","85626.69","85455.61","85541.15","4440.0148","87251.98","83830.33","85541.16"
"XXBTZEUR","xxbtzeur","79632.82","79473.72","79553.27","3115.5061","81144.34","77962.21","79553.27"
"XETHZUSD","xethzusd","6121.39","6109.16","6115.27","752.5624","6237.58","5992.97","6115.28"
"XETHZEUR","xethzeur","5692.89","5681.52","5687.20","4440.0319","5800.95","5573.46","5687.2"
"SOLUSD","solusd","188.02","187.65","187.84","5219.6679","191.59","184.08","187.84"
"SOLEUR","soleur","174.86","174.51","174.69","5469.9531","178.18","171.19","174.68"
"XXBTZGBP","xxbtzgbp","67645.09","67509.93","67577.51","1125.2298","68929.06","66225.96","67577.51"
"ADAUSD","adausd","1.00","1.00","1.00","3475.0996","1.02","0.98","1"
"DOTUSD","dotusd","1.00","1.00","1.00","205.3390","1.02","0.98","1"
"LINKUSD","linkusd","1.00","1.00","1.00","4140.5243","1.02","0.98","1"
"XLTCZUSD","xltczusd","1.00","1.00","1.00","3256.0928","1.02","0.98","1"
"MATICUSD","maticusd","1.00","1.00","1.00","5814.7062","1.02","0.98","1"
"XRPUSD","xrpusd","1.00","1.00","1.00","4001.6168","1.02","0.98","1"
"AVAXUSD","avaxusd","1.00","1.00","1.00","2782.1549","1.02","0.98","1"
"ATOMUSD","atomusd","1.00","1.00","1.00","4460.1173","1.02","0.98","1"
"XXBTZSEK","xxbtzsek","909355.49","907538.59","908447.04","4703.2966","926615.98","890278.10","908447.04"
"XETHZSEK","xethzsek","65009.15","64879.27","64944.21","263.1478","66243.09","63645.33","64944.21"
"SOLSEK","solsek","1996.81","1992.82","1994.82","5093.0617","2034.71","1954.92","1994.82"
"USDTZUSD","usdtzusd","1.00","1.00","1.00","4408.4454","1.02","0.98","1"
"USDCUSD","usdcusd","1.00","1.00","1.00","3531.1880","1.02","0.98","1"
