"pair","altname","wsname","base","quote","pair_decimals","lot_decimals","ordermin","status"
"XXBTZUSD","xxbtzusd","XBT/USD","XBT","USD","1","8","0.0001","online"
"XXBTZEUR","xxbtzeur","XBT/EUR","XBT","EUR","1","8","0.0001","online"
"XETHZUSD","xethzusd","ETH/USD","ETH","USD","1","8","0.001","online"
"XETHZEUR","xethzeur","ETH/EUR","ETH","EUR","1","8","0.001","online"
"SOLUSD","solusd","SOL/USD","SOL","USD","1","8","0.1","online"
"SOLEUR","soleur","SOL/EUR","SOL","EUR","1","8","0.1","online"
"XXBTZGBP","xxbtzgbp","XBT/GBP","XBT","GBP","1","8","0.0001","online"
"ADAUSD","adausd","ADA/USD","ADA","USD","1","8","5","online"
"DOTUSD","dotusd","DOT/USD","DOT","USD","1","8","0.5","online"
"LINKUSD","linkusd","LINK/USD","LINK","USD","1","8","0.4","online"
"XLTCZUSD","xltczusd","LTC/USD","LTC","USD","1","8","0.05","online"
"MATICUSD","maticusd","MATIC/USD","MATIC","USD","1","8","5","online"
"XRPUSD","xrpusd","XRP/USD","XRP","USD","1","8","2","online"
"AVAXUSD","avaxusd","AVAX/USD","AVAX","USD","1","8","0.1","online"
"ATOMUSD","atomusd","ATOM/USD","ATOM","USD","1","8","0.2","online"
"XXBTZSEK","xxbtzsek","XBT/SEK","XBT","SEK","1","8","0.0001","online"
"XETHZSEK","xethzsek","ETH/SEK","ETH","SEK","1","8","0.001","online"
"SOLSEK","solsek","SOL/SEK","SOL","SEK","1","8","0.1","online"
"USDTZUSD","usdtzusd","USDT/USD","USDT","USD","1","8","2","online"
"USDCUSD","usdcusd","USDC/USD","USDC","USD","1","8","2","online"
