check_date	compartment	item	quantity	condition	checked_by
2026-01-08	Cab	Self contained breathing apparatus, 30 minute	4	Pass	Capt Walker
2026-01-08	Cab	Spare air cylinders	4	Pass	Capt Walker
2026-01-08	Pump panel	Inline gauges	2	Pass	FF Santos
2026-01-08	Officer side	Forcible entry irons set	1	Pass	FF Kovacs
2026-01-08	Rear	Attack line, one and three quarter inch	3	Pass	Lt Rourke
2026-01-08	Rear	Supply line, four inch	1	Pass	Lt Rourke
2026-01-08	Compartment three	Thermal imaging camera	1	Replace battery	Capt Walker
2026-01-08	Compartment four	Medical bag, basic life support	1	Restock gauze	FF Santos
2026-01-08	Roof	Pike poles, assorted	4	Pass	FF Kovacs
2026-01-08	Roof	Ground ladders	3	Pass	Lt Rourke
