account_id,code,name,type,tax_type,status,description,enable_payments_to_account
8b41b5e8-d9fb-1399-eae4-96f459236ebb,090,Beaverton CU Checking - Garden Club,BANK,NONE,ACTIVE,Operating checking account for Cedar Hills Garden Club,true
9ef6306b-ecb9-9172-3dfb-29e6bc195a7e,091,Beaverton CU Savings - Garden Club,BANK,NONE,ACTIVE,Reserve savings account,true
0dd1c33f-cc78-8a52-b747-948c08a68062,200,Membership Dues Revenue,REVENUE,OUTPUT,ACTIVE,Annual and monthly member dues,false
4e93bf55-edef-9f2e-ed6c-d1758698cad1,201,Plant Sale Revenue,REVENUE,OUTPUT,ACTIVE,Spring / fall plant sale proceeds,false
b38d77ab-267e-26d1-cb38-99259dbe00fb,202,Donations Revenue,REVENUE,NONE,ACTIVE,Individual and corporate donations,false
d00725f7-9a3f-bf8f-9478-6a9051a6762a,400,Plants & Seeds Expense,EXPENSE,INPUT,ACTIVE,"Plants, seeds, and gardening supplies",false
7990eb7c-083a-389d-82a1-5677ec64fe75,401,Community Center Room Rental,EXPENSE,INPUT,ACTIVE,Monthly meeting room rental at Cedar Hills Community Center,false
cf806259-ca34-172c-571e-b4d2cb22b595,402,Refreshments Expense,EXPENSE,INPUT,ACTIVE,"Coffee, tea, snacks for meetings",false
5690c958-c75b-a602-07ad-623bb03eb89c,403,Newsletter & Printing,EXPENSE,INPUT,ACTIVE,Newsletter printing and postage,false
8c901ea2-9dde-c280-4e45-a38f3401f9ef,404,Insurance Expense,EXPENSE,INPUT,ACTIVE,Club liability insurance,false
1233b928-7743-bf01-b82a-02b9d664a79c,405,Speaker Honoraria,EXPENSE,INPUT,ACTIVE,Guest speaker payments,false
443966d3-5a5f-d974-a9d0-771d2be65063,406,Bank Service Fees,EXPENSE,NONE,ACTIVE,Beaverton CU account fees,false
67ed90e0-bcd2-e95b-f99e-17027eec61c5,260,Prepaid Expenses,CURRENT,NONE,ACTIVE,Prepaid vendor deposits,false
c1852e1a-9b55-61aa-6d3b-d98688a46535,477,Community Grant Fund,CURRLIAB,NONE,ACTIVE,Restricted grant funds,false
5ffa441a-cf58-5389-664c-2cf4dbcde547,610,Undeposited Funds,CURRENT,NONE,ACTIVE,Cash awaiting bank deposit,false
