pin_id,date,impressions,saves,pin_clicks,outbound_clicks
pin_3001,2026-04-01,165,14,9,6
pin_3001,2026-04-02,148,12,8,5
pin_3001,2026-04-03,182,16,11,7
pin_3001,2026-04-04,155,13,8,5
pin_3001,2026-04-05,172,15,10,6
pin_3003,2026-04-01,105,8,5,3
pin_3003,2026-04-02,118,10,6,4
pin_3003,2026-04-03,95,7,4,2
pin_3003,2026-07-28,103,13,7,5
pin_3003,2024-12-14,142,12,5,2
pin_3003,2024-09-04,168,9,10,5
pin_3003,2025-02-13,116,7,5,3
pin_3001,2025-06-20,117,13,9,4
pin_3001,2025-08-27,158,10,6,7
pin_3001,2026-05-02,155,8,5,6
pin_3001,2026-08-05,99,14,8,6
pin_3001,2025-11-26,157,16,8,5
pin_3001,2025-03-28,169,11,4,4
pin_3003,2026-04-11,125,8,7,2
pin_3001,2025-04-08,179,11,7,6
pin_3003,2025-06-15,120,16,8,7
pin_3001,2025-07-04,106,9,6,2
pin_3003,2026-01-14,109,16,8,5
pin_3003,2024-08-30,182,12,9,5
pin_3001,2026-03-08,149,10,11,4
pin_3003,2025-07-01,169,11,9,4
pin_3001,2026-02-02,139,15,11,5
pin_3001,2026-06-08,136,14,9,3
pin_3001,2026-03-31,102,13,5,3
pin_3003,2026-10-08,169,11,5,4
pin_3003,2024-06-28,172,14,10,5
pin_3001,2024-10-07,151,15,8,5
pin_3003,2025-07-09,144,12,10,5
pin_3003,2026-07-12,100,12,10,7
pin_3001,2026-06-11,173,7,7,2
pin_3001,2025-10-14,140,10,5,4
pin_3003,2026-04-06,176,13,7,4
pin_3003,2024-09-25,182,10,4,3
pin_3001,2026-01-20,139,14,10,3
pin_3003,2025-02-21,157,7,7,5
pin_3003,2024-12-20,114,15,4,5
pin_3001,2026-08-07,143,8,10,5
pin_3003,2026-04-13,124,14,5,4
pin_3003,2024-09-14,123,15,5,7
pin_3003,2026-06-22,174,7,10,6
pin_3001,2024-08-14,161,8,7,6
pin_3003,2024-06-12,125,16,9,3
pin_3003,2025-11-14,164,13,8,4
pin_3001,2024-06-19,107,7,5,5
pin_3003,2025-04-03,148,10,6,4
pin_3003,2025-06-24,180,14,7,3
pin_3001,2024-10-06,174,8,4,5
pin_3001,2024-10-09,133,11,6,7
pin_3001,2025-12-21,112,9,8,3
pin_3003,2024-10-01,165,11,9,2
pin_3001,2026-04-14,99,12,4,4
pin_3001,2024-07-14,175,10,9,5
pin_3001,2025-08-27,131,11,9,3
pin_3001,2026-02-04,111,10,4,6
pin_3003,2026-05-11,142,13,5,6
pin_3003,2025-09-19,157,11,8,5
pin_3003,2025-10-02,130,15,4,5
pin_3001,2024-10-17,131,15,4,7
pin_3001,2026-10-08,134,14,11,6
pin_3003,2026-03-03,155,9,11,4
pin_3003,2026-09-03,114,13,9,7
pin_3001,2025-09-14,149,15,9,3
pin_3003,2026-03-21,115,7,6,6
