section_id,board_id,name,pin_count
section_2001,board_1002,Phalaenopsis,7
section_2002,board_1002,Cattleya,6
section_2003,board_1002,Paphiopedilum,5
section_2004,board_1003,Flavors & Recipes,8
section_2005,board_1003,Techniques,5
section_2006,board_1004,Layout & Benches,4
section_2007,board_1004,Climate Systems,3
section_2008,board_1005,Weeknight Meals,5
section_2009,board_1004,Phalaenopsis,4
section_2010,board_1004,Techniques,7
section_2011,board_1002,Phalaenopsis,8
section_2012,board_1002,Paphiopedilum,8
section_2013,board_1005,Phalaenopsis,8
section_2014,board_1005,Cattleya,4
section_2015,board_1002,Techniques,3
section_2016,board_1003,Phalaenopsis,7
section_2017,board_1002,Paphiopedilum,7
section_2018,board_1002,Paphiopedilum,4
section_2019,board_1005,Weeknight Meals,4
section_2020,board_1004,Climate Systems,7
section_2021,board_1005,Paphiopedilum,5
section_2022,board_1004,Layout & Benches,6
section_2023,board_1002,Flavors & Recipes,3
section_2024,board_1002,Phalaenopsis,5
section_2025,board_1003,Flavors & Recipes,6
section_2026,board_1002,Climate Systems,4
section_2027,board_1004,Weeknight Meals,3
section_2028,board_1004,Weeknight Meals,5
section_2029,board_1004,Phalaenopsis,7
section_2030,board_1003,Cattleya,7
section_2031,board_1002,Cattleya,6
section_2032,board_1004,Techniques,4
section_2033,board_1002,Paphiopedilum,3
section_2034,board_1004,Climate Systems,7
section_2035,board_1005,Cattleya,6
section_2036,board_1002,Weeknight Meals,7
section_2037,board_1002,Flavors & Recipes,6
section_2038,board_1003,Phalaenopsis,6
section_2039,board_1002,Climate Systems,7
section_2040,board_1004,Climate Systems,5
section_2041,board_1002,Layout & Benches,5
section_2042,board_1003,Cattleya,4
section_2043,board_1003,Techniques,5
section_2044,board_1002,Climate Systems,3
section_2045,board_1005,Phalaenopsis,5
section_2046,board_1004,Cattleya,3
section_2047,board_1004,Phalaenopsis,5
section_2048,board_1002,Layout & Benches,5
section_2049,board_1003,Phalaenopsis,8
section_2050,board_1004,Techniques,7
section_2051,board_1003,Flavors & Recipes,6
section_2052,board_1003,Paphiopedilum,4
section_2053,board_1005,Paphiopedilum,3
section_2054,board_1005,Phalaenopsis,7
section_2055,board_1002,Climate Systems,6
section_2056,board_1003,Flavors & Recipes,6
section_2057,board_1003,Phalaenopsis,5
section_2058,board_1004,Weeknight Meals,7
section_2059,board_1002,Paphiopedilum,5
section_2060,board_1002,Layout & Benches,7
