date,impressions,saves,pin_clicks,outbound_clicks,profile_visits,follows
2026-03-27,520,38,26,17,10,1
2026-03-28,580,42,30,20,12,2
2026-03-29,465,33,23,15,8,0
2026-03-30,540,39,27,18,10,1
2026-03-31,645,47,33,22,14,2
2026-04-01,610,45,31,21,13,1
2026-04-02,660,48,34,23,15,2
2026-04-03,530,38,26,17,10,1
2026-03-32,632,46,27,19,9,1
2026-03-33,489,34,25,19,9,1
2026-03-34,541,47,25,17,9,0
2026-03-35,619,44,31,21,12,1
2026-03-36,546,37,30,21,14,2
2026-03-37,471,38,29,20,9,2
2026-03-38,596,43,27,16,14,1
2026-03-39,627,34,24,17,11,1
2026-03-40,635,47,32,20,13,0
2026-03-41,558,47,30,18,12,0
2026-03-42,588,38,25,21,11,0
2026-03-43,571,38,29,18,9,2
2026-03-44,468,42,33,18,14,1
2026-03-45,472,40,25,20,10,0
2026-03-46,589,43,28,19,15,1
2026-03-47,646,35,30,20,13,2
2026-03-48,595,45,30,19,11,1
2026-03-49,491,47,32,20,11,2
2026-03-50,611,44,27,16,15,1
2026-03-51,568,38,31,20,11,0
2026-03-52,500,46,27,19,14,1
2026-03-53,659,36,26,16,11,2
2026-03-54,567,36,26,23,8,1
2026-03-55,528,46,32,20,10,1
2026-03-56,523,47,27,17,13,0
2026-03-57,547,42,30,15,12,1
2026-03-58,601,46,30,15,10,1
2026-03-59,556,43,27,22,9,1
2026-03-60,590,39,27,20,9,2
2026-03-61,483,47,27,16,10,1
2026-03-62,479,40,25,17,11,1
2026-03-63,508,37,28,16,13,2
2026-03-64,530,36,34,19,12,1
2026-03-65,524,34,24,17,15,1
2026-03-66,532,43,31,19,10,1
2026-03-67,538,40,26,21,15,2
2026-03-68,478,44,31,15,15,2
2026-03-69,548,43,33,16,15,2
2026-03-70,608,48,31,19,9,1
2026-03-71,624,42,34,21,10,0
2026-03-72,479,38,33,23,11,2
2026-03-73,605,36,29,20,14,0
2026-03-74,651,35,23,20,12,0
2026-03-75,531,47,31,18,11,2
2026-03-76,534,37,27,22,14,2
2026-03-77,515,39,31,18,10,1
2026-03-78,480,35,29,21,11,1
2026-03-79,608,48,33,19,13,1
2026-03-80,490,47,24,17,11,1
2026-03-81,640,45,26,22,12,1
2026-03-82,619,42,26,21,13,0
2026-03-83,579,46,25,15,13,0
2026-03-84,492,40,28,22,12,1
2026-03-85,552,45,30,21,9,2
2026-03-86,590,48,26,18,14,1
2026-03-87,492,35,28,21,15,1
2026-03-88,626,39,24,23,15,2
2026-03-89,644,39,29,22,15,1
2026-03-90,623,38,32,17,10,2
2026-03-91,468,45,34,20,11,0
2026-03-92,566,47,31,18,12,1
2026-03-93,543,38,24,19,15,1
2026-03-94,481,39,26,17,13,2
2026-03-95,649,44,25,18,11,1
2026-03-96,635,39,28,22,15,1
2026-03-97,582,39,31,17,15,0
2026-03-98,578,36,29,19,11,1
2026-03-99,614,40,32,21,10,2
2026-03-100,547,43,25,21,13,1
2026-03-101,631,43,27,19,10,1
2026-03-102,472,38,27,19,13,1
2026-03-103,617,44,29,16,14,1
2026-03-104,635,46,33,20,13,1
2026-03-105,601,36,25,23,11,1
2026-03-106,634,44,31,18,11,2
2026-03-107,511,46,27,19,15,0
2026-03-108,637,34,29,18,11,1
2026-03-109,631,45,27,21,12,2
2026-03-110,611,40,27,17,13,1
2026-03-111,589,35,34,15,14,1
2026-03-112,604,34,29,17,9,1
2026-03-113,480,40,25,16,10,1
2026-03-114,504,44,24,22,12,1
2026-03-115,490,41,33,16,15,1
2026-03-116,558,46,25,23,11,0
2026-03-117,498,47,28,17,14,0
2026-03-118,637,33,32,17,11,1
2026-03-119,587,47,26,17,12,1
2026-03-120,584,37,29,21,11,1
2026-03-121,626,41,32,19,11,2
2026-03-122,555,43,30,15,8,1
2026-03-123,643,46,28,15,13,2
2026-03-124,646,34,24,15,13,2
2026-03-125,562,46,33,15,13,1
2026-03-126,471,46,31,19,12,1
2026-03-127,567,37,25,20,10,0
2026-03-128,510,35,32,23,11,2
2026-03-129,520,46,32,22,10,2
2026-03-130,491,40,32,17,12,2
2026-03-131,468,35,28,23,12,0
2026-03-132,583,45,30,16,8,1
2026-03-133,486,37,29,21,9,1
2026-03-134,561,41,30,16,13,1
2026-03-135,473,36,29,20,14,1
2026-03-136,560,36,33,20,11,0
2026-03-137,636,42,33,15,14,1
2026-03-138,647,35,28,19,10,0
2026-03-139,586,40,28,22,15,1
2026-03-140,493,38,32,23,14,2
2026-03-141,660,39,33,20,9,1
2026-03-142,502,34,30,15,10,1
2026-03-143,618,44,29,20,8,1
2026-03-144,486,41,29,17,8,1
2026-03-145,507,46,31,18,14,2
2026-03-146,490,47,24,23,12,1
2026-03-147,612,40,26,22,13,1
2026-03-148,579,42,31,20,13,0
2026-03-149,621,40,34,15,9,2
2026-03-150,516,47,30,21,11,1
2026-03-151,631,39,25,21,14,1
2026-03-152,561,44,32,17,13,2
2026-03-153,470,34,30,16,11,1
2026-03-154,578,39,28,20,14,2
2026-03-155,631,40,26,16,13,0
2026-03-156,595,47,24,17,10,0
2026-03-157,475,37,30,17,14,2
2026-03-158,512,45,23,21,9,1
2026-03-159,470,45,25,17,11,0
2026-03-160,573,45,25,16,9,0
2026-03-161,524,36,28,22,11,0
2026-03-162,491,45,24,18,10,2
2026-03-163,608,38,30,20,10,1
2026-03-164,634,35,33,17,11,0
2026-03-165,590,42,24,17,12,2
2026-03-166,521,47,34,18,12,1
2026-03-167,489,40,34,22,15,1
2026-03-168,490,41,28,22,11,2
2026-03-169,582,47,30,20,9,2
2026-03-170,587,45,31,21,10,1
2026-03-171,656,36,25,19,11,1
2026-03-172,573,41,33,19,12,1
2026-03-173,629,45,33,16,12,0
2026-03-174,547,46,26,22,14,1
2026-03-175,644,45,32,17,11,1
2026-03-176,635,39,26,15,14,2
2026-03-177,520,33,28,18,9,0
2026-03-178,466,42,31,19,10,2
2026-03-179,659,43,25,22,10,1
2026-03-180,559,44,28,22,10,2
2026-03-181,642,39,32,17,10,2
2026-03-182,550,42,33,20,12,2
2026-03-183,640,33,27,18,9,2
2026-03-184,510,36,25,21,14,1
2026-03-185,467,46,34,18,13,1
2026-03-186,521,38,34,20,12,1
2026-03-187,540,44,34,18,9,0
2026-03-188,521,44,26,19,14,1
2026-03-189,543,39,27,22,14,1
2026-03-190,473,40,27,17,13,2
2026-03-191,599,36,25,15,11,0
2026-03-192,554,47,27,20,14,2
2026-03-193,536,45,25,20,14,1
2026-03-194,565,43,23,17,12,2
2026-03-195,616,39,33,17,11,2
2026-03-196,645,45,33,21,9,2
2026-03-197,624,34,28,15,9,0
2026-03-198,639,44,29,22,14,1
2026-03-199,511,45,30,18,13,1
2026-03-200,658,47,32,16,13,1
2026-03-201,537,47,29,16,11,0
2026-03-202,563,35,34,17,13,1
2026-03-203,513,43,25,16,15,1
2026-03-204,631,39,27,15,14,0
2026-03-205,561,39,31,16,9,1
2026-03-206,553,34,30,21,11,1
2026-03-207,507,33,33,17,14,0
2026-03-208,584,41,31,17,13,2
2026-03-209,594,46,27,16,15,1
2026-03-210,623,38,33,17,14,2
2026-03-211,654,44,29,18,11,1
2026-03-212,471,36,30,19,15,1
2026-03-213,586,39,32,20,10,1
2026-03-214,512,38,25,23,13,1
2026-03-215,571,42,32,21,15,1
2026-03-216,504,35,27,20,10,0
2026-03-217,615,45,33,21,13,2
2026-03-218,614,43,24,19,8,0
2026-03-219,651,43,30,21,12,2
2026-03-220,596,37,26,21,8,1
2026-03-221,510,40,28,19,15,1
2026-03-222,659,47,28,17,9,1
2026-03-223,636,45,28,20,8,1
2026-03-224,527,47,33,21,9,0
2026-03-225,566,33,29,19,11,1
2026-03-226,625,42,27,19,12,1
2026-03-227,537,37,27,17,9,0
2026-03-228,651,33,31,20,15,2
