iata_code,icao_code,business_name,common_name,country_code
iata_code_0,icao_code_0,Acme Corp,common_name_0,Oregon (Cedar Hills neighborhood)
iata_code_1,icao_code_1,Pinnacle Solutions,common_name_1,Oregon (Cedar Hills neighborhood)
iata_code_2,icao_code_2,Vertex Industries,common_name_2,Oregon (Cedar Hills neighborhood)
iata_code_3,icao_code_3,Summit Group,common_name_3,Oregon (Cedar Hills neighborhood)
iata_code_4,icao_code_4,Horizon Partners,common_name_4,Oregon (Cedar Hills neighborhood)
iata_code_5,icao_code_5,Cascade Systems,common_name_5,Oregon (Cedar Hills neighborhood)
iata_code_6,icao_code_6,Stellar Tech,common_name_6,Oregon (Cedar Hills neighborhood)
iata_code_7,icao_code_7,Meridian Labs,common_name_7,Oregon (Cedar Hills neighborhood)
iata_code_8,icao_code_8,Atlas Ventures,common_name_8,Oregon (Cedar Hills neighborhood)
iata_code_9,icao_code_9,Apex Digital,common_name_9,Oregon (Cedar Hills neighborhood)
iata_code_10,icao_code_10,Vanguard Co,common_name_10,Oregon (Cedar Hills neighborhood)
iata_code_11,icao_code_11,Nexus Enterprises,common_name_11,Oregon (Cedar Hills neighborhood)
