iata_code,name,city_name,city_code,country_name,country_code,latitude,longitude,timezone
iata_code_0,Carlos Whitfield,Beaverton,city_code_0,US,Oregon (Cedar Hills neighborhood),30.0000,-120.0000,America/Los_Angeles (Pacific Time)
iata_code_1,June (68),New York,city_code_1,US,Oregon (Cedar Hills neighborhood),47.0031,-107.0037,America/Los_Angeles (Pacific Time)
iata_code_2,Karen (1983),Los Angeles,city_code_2,US,Oregon (Cedar Hills neighborhood),44.0062,-94.0074,America/Los_Angeles (Pacific Time)
iata_code_3,David (1981),Chicago,city_code_3,US,Oregon (Cedar Hills neighborhood),41.0093,-81.0111,America/Los_Angeles (Pacific Time)
iata_code_4,Ethan (2014),Houston,city_code_4,US,Oregon (Cedar Hills neighborhood),38.0124,-68.0148,America/Los_Angeles (Pacific Time)
iata_code_5,Maya (2016),Phoenix,city_code_5,US,Oregon (Cedar Hills neighborhood),35.0155,-115.0185,America/Los_Angeles (Pacific Time)
iata_code_6,Kevin (1986),Philadelphia,city_code_6,US,Oregon (Cedar Hills neighborhood),32.0186,-102.0222,America/Los_Angeles (Pacific Time)
iata_code_7,Robert (1998),San Antonio,city_code_7,US,Oregon (Cedar Hills neighborhood),49.0217,-89.0259,America/Los_Angeles (Pacific Time)
iata_code_8,Helen (2007),San Diego,city_code_8,US,Oregon (Cedar Hills neighborhood),46.0248,-76.0296,America/Los_Angeles (Pacific Time)
iata_code_9,Linda (1957),Dallas,city_code_9,US,Oregon (Cedar Hills neighborhood),43.0279,-63.0333,America/Los_Angeles (Pacific Time)
iata_code_10,Frank (1958),San Jose,city_code_10,US,Oregon (Cedar Hills neighborhood),40.0310,-110.0370,America/Los_Angeles (Pacific Time)
iata_code_11,Connie (1960),Austin,city_code_11,US,Oregon (Cedar Hills neighborhood),37.0341,-97.0407,America/Los_Angeles (Pacific Time)
iata_code_12,Doug (1954),Jacksonville,city_code_12,US,Oregon (Cedar Hills neighborhood),34.0372,-84.0444,America/Los_Angeles (Pacific Time)
iata_code_13,Elena (1960),Fort Worth,city_code_13,US,Oregon (Cedar Hills neighborhood),31.0403,-71.0481,America/Los_Angeles (Pacific Time)
iata_code_14,The family),Columbus,city_code_14,US,Oregon (Cedar Hills neighborhood),48.0434,-118.0518,America/Los_Angeles (Pacific Time)
iata_code_15,Dr. (52),Charlotte,city_code_15,US,Oregon (Cedar Hills neighborhood),45.0465,-105.0555,America/Los_Angeles (Pacific Time)
iata_code_16,Dr. (59),Indianapolis,city_code_16,US,Oregon (Cedar Hills neighborhood),42.0496,-92.0592,America/Los_Angeles (Pacific Time)
iata_code_17,Dr. (48),San Francisco,city_code_17,US,Oregon (Cedar Hills neighborhood),39.0527,-79.0629,America/Los_Angeles (Pacific Time)
iata_code_18,William Davis,Seattle,city_code_18,US,Oregon (Cedar Hills neighborhood),36.0558,-66.0666,America/Los_Angeles (Pacific Time)
iata_code_19,Dorothy Lee,Denver,city_code_19,US,Oregon (Cedar Hills neighborhood),33.0589,-113.0703,America/Los_Angeles (Pacific Time)
