symbol,price,priceChange,priceChangePercent,highPrice,lowPrice,volume
BTCUSDT,67250.45,1320.55,2.004,68110.00,65500.20,18452.331
ETHUSDT,3520.18,-45.32,-1.271,3601.40,3480.05,92344.118
BNBUSDT,592.74,8.16,1.396,601.20,580.33,145220.402
SOLUSDT,168.92,5.47,3.347,172.10,160.85,884512.770
XRPUSDT,0.5234,-0.0081,-1.524,0.5390,0.5180,1245332.900
ADAUSDT,0.4612,0.0123,2.741,0.4705,0.4480,2210456.330
DOGEUSDT,0.1582,0.0044,2.861,0.1620,0.1530,3320112.450
MATICUSDT,0.7245,-0.0162,-2.187,0.7480,0.7180,1875440.120
DOTUSDT,7.214,0.182,2.588,7.350,6.980,442318.660
LTCUSDT,84.55,-1.22,-1.423,86.40,83.70,121884.990
