symbol,interval,open_time,open,high,low,close,volume,close_time
BTCUSDT,1h,1779004800000,66100.00,66480.00,66020.50,66410.20,812.441,1779008399999
BTCUSDT,1h,1779008400000,66410.20,66900.00,66380.00,66850.75,945.118,1779011999999
BTCUSDT,1h,1779012000000,66850.75,67200.00,66800.10,67120.40,1023.667,1779015599999
BTCUSDT,1h,1779015600000,67120.40,67350.00,67000.00,67050.90,889.302,1779019199999
BTCUSDT,1h,1779019200000,67050.90,67400.00,66950.00,67250.45,1102.554,1779022799999
ETHUSDT,1h,1779004800000,3480.10,3505.00,3475.20,3498.60,4120.331,1779008399999
ETHUSDT,1h,1779008400000,3498.60,3540.00,3492.00,3525.40,5230.118,1779011999999
ETHUSDT,1h,1779012000000,3525.40,3560.00,3518.00,3548.90,4880.902,1779015599999
ETHUSDT,1h,1779015600000,3548.90,3555.00,3510.00,3520.18,5012.447,1779019199999
BTCUSDT,1d,1778889600000,64900.00,67400.00,64200.00,67250.45,21044.882,1778975999999
ETHUSDT,1d,1778889600000,3450.00,3560.00,3410.00,3520.18,98442.117,1778975999999
