listing_id,sku,title,quantity,listing_status
ETS-1001,CMP-023,Chrome pigment silver 2g mini,20,active
ETS-1002,CMP-024,Chrome pigment rose gold 2g mini,18,active
ETS-1003,CMP-025,Holo foil transfer sheet pack,32,active
ETS-1004,CMP-026,Handmade 3D floral petal set,12,active
ETS-1005,CMP-027,Rhinestone assortment 720 mixed,26,active
ETS-1006,CMP-028,Micro holographic glitter 5g,40,active
ETS-1007,CMP-034,Showcase edition canvas tote,22,active
ETS-1008,CMP-039,Vitamin nail oil 10ml single,28,active
ETS-1009,CMP-040,Showcase edition nail oil 10ml,20,active
ETS-1010,CMP-012,Fine liner brush 00 handmade,18,active
ETS-1011,CMP-013,Detail liner brush 000 handmade,16,active
ETS-1012,CMP-015,Silicone shaper set 4pc,14,active
