txn_id,created_iso,amount_usd,currency,status,description,order_ref
STR-40001,2026-11-15T10:22:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3001
STR-40002,2026-11-15T14:03:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3002
STR-40003,2026-11-16T09:18:00-05:00,65.00,USD,cleared,Kit purchase KIT-STARTER,ORD-BC-3003
STR-40004,2026-11-17T11:41:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3004
STR-40005,2026-11-17T13:12:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3005
STR-40006,2026-11-18T08:29:00-05:00,158.00,USD,cleared,Two KIT-SHOW-A,ORD-BC-3006
STR-40007,2026-11-18T15:50:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3007
STR-40008,2026-11-19T10:07:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3008
STR-40009,2026-11-19T12:44:00-05:00,65.00,USD,cleared,Kit purchase KIT-STARTER,ORD-BC-3009
STR-40010,2026-11-20T09:03:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3010
STR-40011,2026-11-20T14:17:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3011
STR-40012,2026-11-21T09:26:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-WC-4001
STR-40013,2026-11-21T15:33:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-WC-4002
STR-40014,2026-11-22T10:11:00-05:00,65.00,USD,cleared,Kit purchase KIT-STARTER,ORD-WC-4003
STR-40015,2026-11-22T14:48:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-WC-4004
STR-40016,2026-11-23T09:19:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-WC-4005
STR-40017,2026-11-23T13:28:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-WC-4006
STR-40018,2026-11-24T10:42:00-05:00,65.00,USD,cleared,Kit purchase KIT-STARTER,ORD-WC-4007
STR-40019,2026-11-24T15:10:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-WC-4008
STR-40020,2026-11-25T08:37:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3012
STR-40021,2026-11-25T14:03:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3013
STR-40022,2026-11-26T09:55:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3014
STR-40023,2026-11-26T12:14:00-05:00,79.00,USD,refunded,Refund KIT-SHOW-A allergy,ORD-BC-3006A
STR-40024,2026-11-27T09:11:00-05:00,65.00,USD,cleared,Kit purchase KIT-STARTER,ORD-BC-3015
STR-40025,2026-11-27T14:39:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3016
STR-40026,2026-11-28T09:04:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-WC-4009
STR-40027,2026-11-28T13:47:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-WC-4010
STR-40028,2026-11-29T10:22:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3017
STR-40029,2026-11-29T15:14:00-05:00,65.00,USD,cleared,Kit purchase KIT-STARTER,ORD-BC-3018
STR-40030,2026-11-30T09:36:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3019
STR-40031,2026-11-30T14:11:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-WC-4011
STR-40032,2026-12-01T09:47:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3020
STR-40033,2026-12-01T13:25:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3021
STR-40034,2026-12-01T15:52:00-05:00,65.00,USD,cleared,Kit purchase KIT-STARTER,ORD-WC-4012
STR-40035,2026-12-02T10:03:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3022
STR-40036,2026-12-02T14:18:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3023
STR-40037,2026-12-02T15:44:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-WC-4013
STR-40038,2026-12-03T09:28:00-05:00,65.00,USD,cleared,Kit purchase KIT-STARTER,ORD-BC-3024
STR-40039,2026-12-03T13:11:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3025
STR-40040,2026-12-03T15:37:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3026
STR-40041,2026-12-04T09:19:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-WC-4014
STR-40042,2026-12-04T12:47:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3027
STR-40043,2026-12-04T14:56:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3028
STR-40044,2026-12-04T16:02:00-05:00,65.00,USD,cleared,Kit purchase KIT-STARTER,ORD-BC-3029
STR-40045,2026-12-05T09:12:00-05:00,109.00,USD,pending,Kit purchase KIT-SHOW-B,ORD-BC-3030
STR-40046,2026-12-05T10:44:00-05:00,79.00,USD,pending,Kit purchase KIT-SHOW-A,ORD-WC-4015
STR-40047,2026-12-05T12:18:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3031
STR-40048,2026-12-05T13:52:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3032
STR-40049,2026-12-05T15:11:00-05:00,65.00,USD,cleared,Kit purchase KIT-STARTER,ORD-WC-4016
STR-40050,2026-12-05T16:39:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3033
STR-40051,2026-12-06T09:21:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3034
STR-40052,2026-12-06T11:44:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3035
STR-40053,2026-12-06T14:18:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-WC-4017
STR-40054,2026-12-06T15:47:00-05:00,65.00,USD,cleared,Kit purchase KIT-STARTER,ORD-BC-3036
STR-40055,2026-12-07T09:29:00-05:00,109.00,USD,cleared,Kit purchase KIT-SHOW-B,ORD-BC-3037
STR-40056,2026-12-07T13:16:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3038
STR-40057,2026-12-07T15:34:00-05:00,109.00,USD,pending,Kit purchase KIT-SHOW-B,ORD-WC-4018
STR-40058,2026-12-07T16:47:00-05:00,79.00,USD,cleared,Kit purchase KIT-SHOW-A,ORD-BC-3039
