sku,description,category,retail_price_usd,wholesale_cost_usd_last_set,last_set_date
CMP-001,Gel base coat 15ml studio,gel_base,12.00,4.80,2026-06-15
CMP-002,Gel top coat glossy 15ml,gel_top,12.00,4.60,2026-06-15
CMP-003,Gel top coat matte 15ml,gel_top,13.00,5.10,2026-06-15
CMP-004,Gel color rose quartz 8ml,gel_color,9.50,3.20,2026-06-15
CMP-005,Gel color midnight plum 8ml,gel_color,9.50,3.20,2026-06-15
CMP-006,Gel color sunflower ochre 8ml,gel_color,9.50,3.20,2026-06-15
CMP-007,Gel color cream porcelain 8ml,gel_color,9.50,3.20,2026-06-15
CMP-008,Gel color forest teal 8ml,gel_color,9.50,3.20,2026-06-15
CMP-009,Gel color cocoa 8ml,gel_color,9.50,3.20,2026-06-15
CMP-010,Sculpt gel clear builder 30ml,gel_builder,22.00,8.40,2026-06-15
CMP-011,Sculpt gel nude builder 30ml,gel_builder,22.00,8.40,2026-06-15
CMP-012,Fine liner brush 00,brush,7.50,2.10,2026-05-01
CMP-013,Detail liner brush 000,brush,8.50,2.40,2026-05-01
CMP-014,Oval gel brush 6,brush,9.00,2.70,2026-05-01
CMP-015,Silicone shaper set 4pc,tool,14.00,4.20,2026-05-01
CMP-016,Nail form roll 300ct,form,18.00,6.50,2026-07-10
CMP-017,Extension tip clear 500ct box,tip,26.00,9.90,2026-07-10
CMP-018,Extension tip natural 500ct box,tip,26.00,9.90,2026-07-10
CMP-019,Prep dehydrator 60ml,prep,8.00,2.60,2026-06-15
CMP-020,Prep primer acid free 15ml,prep,10.00,3.10,2026-06-15
CMP-021,Gel cleanser 100ml,cleanser,7.50,2.40,2026-06-15
CMP-022,Lint free wipes 300ct,cleanser,9.00,2.90,2026-06-15
CMP-023,Chrome pigment silver 2g,decor,11.00,3.60,2026-05-20
CMP-024,Chrome pigment rose gold 2g,decor,11.00,3.60,2026-05-20
CMP-025,Foil transfer holo sheet pack,decor,8.50,2.40,2026-05-20
CMP-026,3D floral pre-made petal set,decor,14.00,4.80,2026-05-20
CMP-027,Rhinestone assortment 720pc,decor,16.00,5.20,2026-05-20
CMP-028,Micro glitter fine holographic 5g,decor,6.50,1.90,2026-05-20
CMP-029,Cuticle nipper stainless,tool,22.00,7.40,2026-04-12
CMP-030,Cuticle pusher stainless,tool,9.00,2.80,2026-04-12
CMP-031,Nail file 180 240 pack 10,tool,10.00,3.10,2026-04-12
CMP-032,Buffer block 4 way pack 6,tool,8.00,2.40,2026-04-12
CMP-033,Kit tote canvas branded,packaging,9.50,3.20,2026-06-01
CMP-034,Kit tote canvas showcase edition,packaging,11.00,3.80,2026-06-01
CMP-035,Insert tray molded foam small,packaging,4.50,1.40,2026-06-01
CMP-036,Insert tray molded foam large,packaging,6.00,1.80,2026-06-01
CMP-037,Instruction card printed A5,packaging,1.20,0.35,2026-06-01
CMP-038,Registration wristband silicone,packaging,1.50,0.45,2026-06-01
CMP-039,Bottle nail oil vitamin 10ml,finish,6.50,2.10,2026-05-01
CMP-040,Bottle nail oil showcase 10ml,finish,7.50,2.40,2026-05-01
