bill_id,vendor_name,bill_date_iso,sku,description,qty_billed,unit_cost_usd,total_usd,memo
QB-BL-2091,Prisma Gel Supply Co,2026-09-08,CMP-001,Gel base coat 15ml studio,48,4.80,230.40,September restock
QB-BL-2092,Prisma Gel Supply Co,2026-09-08,CMP-002,Gel top coat glossy 15ml,48,4.60,220.80,September restock
QB-BL-2093,Prisma Gel Supply Co,2026-09-08,CMP-003,Gel top coat matte 15ml,24,5.10,122.40,September restock
QB-BL-2094,Prisma Gel Supply Co,2026-09-08,CMP-004,Gel color rose quartz 8ml,36,3.20,115.20,September restock
QB-BL-2095,Prisma Gel Supply Co,2026-09-08,CMP-005,Gel color midnight plum 8ml,36,3.20,115.20,September restock
QB-BL-2110,Kohlberg Sculpt Systems,2026-09-22,CMP-010,Sculpt gel clear builder 30ml,20,8.40,168.00,September restock at old rate
QB-BL-2111,Kohlberg Sculpt Systems,2026-09-22,CMP-011,Sculpt gel nude builder 30ml,20,8.40,168.00,September restock at old rate
QB-BL-2124,Cardwell and Rime Nail Wholesale,2026-10-05,CMP-016,Nail form roll 300ct,10,6.50,65.00,October restock
QB-BL-2125,Cardwell and Rime Nail Wholesale,2026-10-05,CMP-017,Extension tip clear 500ct box,6,9.90,59.40,October restock
QB-BL-2126,Cardwell and Rime Nail Wholesale,2026-10-05,CMP-018,Extension tip natural 500ct box,6,9.90,59.40,October restock
QB-BL-2131,Prisma Gel Supply Co,2026-10-12,CMP-006,Gel color sunflower ochre 8ml,24,3.20,76.80,October colors
QB-BL-2132,Prisma Gel Supply Co,2026-10-12,CMP-007,Gel color cream porcelain 8ml,36,3.20,115.20,October colors
QB-BL-2133,Prisma Gel Supply Co,2026-10-12,CMP-008,Gel color forest teal 8ml,24,3.20,76.80,October colors
QB-BL-2140,Alba Decor House,2026-10-18,CMP-023,Chrome pigment silver 2g,30,3.60,108.00,October decor
QB-BL-2141,Alba Decor House,2026-10-18,CMP-024,Chrome pigment rose gold 2g,30,3.60,108.00,October decor
QB-BL-2142,Alba Decor House,2026-10-18,CMP-025,Foil transfer holo sheet pack,40,2.40,96.00,October decor
QB-BL-2160,Kohlberg Sculpt Systems,2026-11-02,CMP-010,Sculpt gel clear builder 30ml,24,10.50,252.00,Wholesale increase notice effective November 1 2026
QB-BL-2161,Kohlberg Sculpt Systems,2026-11-02,CMP-011,Sculpt gel nude builder 30ml,24,10.50,252.00,Wholesale increase notice effective November 1 2026
QB-BL-2172,Alba Decor House,2026-11-09,CMP-026,3D floral pre-made petal set,20,6.20,124.00,Handmade petal cost step-up per supplier letter
QB-BL-2173,Alba Decor House,2026-11-09,CMP-027,Rhinestone assortment 720pc,24,5.20,124.80,November decor
QB-BL-2174,Alba Decor House,2026-11-09,CMP-028,Micro glitter fine holographic 5g,40,1.90,76.00,November decor
QB-BL-2185,Prisma Gel Supply Co,2026-11-14,CMP-009,Gel color cocoa 8ml,24,3.20,76.80,Late fall color add
QB-BL-2190,Waldrup Canvas Goods,2026-11-16,CMP-033,Kit tote canvas branded,40,3.20,128.00,November tote restock
QB-BL-2191,Waldrup Canvas Goods,2026-11-16,CMP-034,Kit tote canvas showcase edition,36,4.80,172.80,Showcase edition tote raised to reflect embroidery upgrade
QB-BL-2200,Prisma Gel Supply Co,2026-11-20,CMP-019,Prep dehydrator 60ml,24,2.60,62.40,Prep restock
QB-BL-2201,Prisma Gel Supply Co,2026-11-20,CMP-020,Prep primer acid free 15ml,24,3.10,74.40,Prep restock
QB-BL-2202,Prisma Gel Supply Co,2026-11-20,CMP-021,Gel cleanser 100ml,24,2.40,57.60,Prep restock
QB-BL-2210,Nightingale Print House,2026-11-23,CMP-037,Instruction card printed A5,300,0.35,105.00,Showcase kit inserts
