sku,name,quantity_available,quantity_reserved,report_date_iso
CMP-001,Gel base coat 15ml studio,80,6,2026-12-01
CMP-002,Gel top coat glossy 15ml,70,4,2026-12-01
CMP-003,Gel top coat matte 15ml,48,4,2026-12-01
CMP-004,Gel color rose quartz 8ml,38,4,2026-12-01
CMP-005,Gel color midnight plum 8ml,37,3,2026-12-01
CMP-006,Gel color sunflower ochre 8ml,36,2,2026-12-01
CMP-007,Gel color cream porcelain 8ml,40,3,2026-12-01
CMP-008,Gel color forest teal 8ml,28,3,2026-12-01
CMP-009,Gel color cocoa 8ml,27,2,2026-12-01
CMP-010,Sculpt gel clear builder 30ml,14,3,2026-12-01
CMP-011,Sculpt gel nude builder 30ml,17,2,2026-12-01
CMP-012,Fine liner brush 00,60,4,2026-12-01
CMP-013,Detail liner brush 000,44,3,2026-12-01
CMP-014,Oval gel brush 6,33,2,2026-12-01
CMP-015,Silicone shaper set 4pc,26,1,2026-12-01
CMP-016,Nail form roll 300ct,15,2,2026-12-01
CMP-017,Extension tip clear 500ct box,10,1,2026-12-01
CMP-018,Extension tip natural 500ct box,8,1,2026-12-01
CMP-019,Prep dehydrator 60ml,48,3,2026-12-01
CMP-020,Prep primer acid free 15ml,47,2,2026-12-01
CMP-021,Gel cleanser 100ml,54,3,2026-12-01
CMP-022,Lint free wipes 300ct,76,4,2026-12-01
CMP-023,Chrome pigment silver 2g,38,2,2026-12-01
CMP-024,Chrome pigment rose gold 2g,34,2,2026-12-01
CMP-025,Foil transfer holo sheet pack,56,3,2026-12-01
CMP-026,3D floral pre-made petal set,18,2,2026-12-01
CMP-027,Rhinestone assortment 720pc,30,3,2026-12-01
CMP-028,Micro glitter fine holographic 5g,66,3,2026-12-01
CMP-029,Cuticle nipper stainless,18,1,2026-12-01
CMP-030,Cuticle pusher stainless,40,2,2026-12-01
CMP-031,Nail file 180 240 pack 10,62,4,2026-12-01
CMP-032,Buffer block 4 way pack 6,56,3,2026-12-01
CMP-033,Kit tote canvas branded,68,4,2026-12-01
CMP-034,Kit tote canvas showcase edition,50,4,2026-12-01
CMP-035,Insert tray molded foam small,104,6,2026-12-01
CMP-036,Insert tray molded foam large,88,4,2026-12-01
CMP-037,Instruction card printed A5,310,10,2026-12-01
CMP-038,Registration wristband silicone,232,8,2026-12-01
CMP-039,Bottle nail oil vitamin 10ml,52,3,2026-12-01
CMP-040,Bottle nail oil showcase 10ml,42,4,2026-12-01
