sku,name,quantity_available,last_synced_iso
CMP-001,Gel base coat 15ml studio,86,2026-11-28T09:12:00-05:00
CMP-002,Gel top coat glossy 15ml,74,2026-11-28T09:12:00-05:00
CMP-003,Gel top coat matte 15ml,52,2026-11-28T09:12:00-05:00
CMP-004,Gel color rose quartz 8ml,44,2026-11-28T09:12:00-05:00
CMP-005,Gel color midnight plum 8ml,41,2026-11-28T09:12:00-05:00
CMP-006,Gel color sunflower ochre 8ml,38,2026-11-28T09:12:00-05:00
CMP-007,Gel color cream porcelain 8ml,45,2026-11-28T09:12:00-05:00
CMP-008,Gel color forest teal 8ml,32,2026-11-28T09:12:00-05:00
CMP-009,Gel color cocoa 8ml,29,2026-11-28T09:12:00-05:00
CMP-010,Sculpt gel clear builder 30ml,22,2026-11-28T09:12:00-05:00
CMP-011,Sculpt gel nude builder 30ml,19,2026-11-28T09:12:00-05:00
CMP-012,Fine liner brush 00,64,2026-11-28T09:12:00-05:00
CMP-013,Detail liner brush 000,48,2026-11-28T09:12:00-05:00
CMP-014,Oval gel brush 6,36,2026-11-28T09:12:00-05:00
CMP-015,Silicone shaper set 4pc,28,2026-11-28T09:12:00-05:00
CMP-016,Nail form roll 300ct,18,2026-11-28T09:12:00-05:00
CMP-017,Extension tip clear 500ct box,12,2026-11-28T09:12:00-05:00
CMP-018,Extension tip natural 500ct box,10,2026-11-28T09:12:00-05:00
CMP-019,Prep dehydrator 60ml,52,2026-11-28T09:12:00-05:00
CMP-020,Prep primer acid free 15ml,50,2026-11-28T09:12:00-05:00
CMP-021,Gel cleanser 100ml,58,2026-11-28T09:12:00-05:00
CMP-022,Lint free wipes 300ct,80,2026-11-28T09:12:00-05:00
CMP-023,Chrome pigment silver 2g,42,2026-11-28T09:12:00-05:00
CMP-024,Chrome pigment rose gold 2g,38,2026-11-28T09:12:00-05:00
CMP-025,Foil transfer holo sheet pack,60,2026-11-28T09:12:00-05:00
CMP-026,3D floral pre-made petal set,26,2026-11-28T09:12:00-05:00
CMP-027,Rhinestone assortment 720pc,44,2026-11-28T09:12:00-05:00
CMP-028,Micro glitter fine holographic 5g,70,2026-11-28T09:12:00-05:00
CMP-029,Cuticle nipper stainless,20,2026-11-28T09:12:00-05:00
CMP-030,Cuticle pusher stainless,44,2026-11-28T09:12:00-05:00
CMP-031,Nail file 180 240 pack 10,66,2026-11-28T09:12:00-05:00
CMP-032,Buffer block 4 way pack 6,58,2026-11-28T09:12:00-05:00
CMP-033,Kit tote canvas branded,72,2026-11-28T09:12:00-05:00
CMP-034,Kit tote canvas showcase edition,54,2026-11-28T09:12:00-05:00
CMP-035,Insert tray molded foam small,110,2026-11-28T09:12:00-05:00
CMP-036,Insert tray molded foam large,92,2026-11-28T09:12:00-05:00
CMP-037,Instruction card printed A5,320,2026-11-28T09:12:00-05:00
CMP-038,Registration wristband silicone,240,2026-11-28T09:12:00-05:00
CMP-039,Bottle nail oil vitamin 10ml,56,2026-11-28T09:12:00-05:00
CMP-040,Bottle nail oil showcase 10ml,48,2026-11-28T09:12:00-05:00
