"id","broadcaster_id","broadcaster_name","creator_id","creator_name","game_id","title","view_count","duration","created_at","url"
"cl_0001","u_0070","Broadcaster 87","u_0079","Linda Jones","g_0009","alpha bravo tower river","448018","44.7","2024-06-05T23:04:00Z","https://clips.twitch.tv/cl_0001"
"cl_0002","u_0104","Broadcaster 38","u_0023","David Martinez","g_0008","valley bridge india river","248429","31.2","2024-01-15T05:02:00Z","https://clips.twitch.tv/cl_0002"
"cl_0003","u_0055","Broadcaster 31","u_0065","David Rodriguez","g_0013","market juliet delta hotel","77706","10.7","2024-08-13T18:48:00Z","https://clips.twitch.tv/cl_0003"
"cl_0004","u_0115","Broadcaster 46","u_0012","Robert Jones","g_0003","cloud stone delta valley","80947","29.5","2024-11-17T18:42:00Z","https://clips.twitch.tv/cl_0004"
"cl_0005","u_0147","Broadcaster 111","u_0001","James Smith","g_0007","echo ocean forest foxtrot","135679","12.2","2024-10-01T08:04:00Z","https://clips.twitch.tv/cl_0005"
"cl_0006","u_0108","Broadcaster 55","u_0039","Linda Davis","g_0015","river cloud forest alpha","7146","37.2","2024-11-12T23:09:00Z","https://clips.twitch.tv/cl_0006"
"cl_0007","u_0042","Broadcaster 40","u_0028","Jennifer Johnson","g_0003","market india mountain hotel","178970","51.9","2024-09-26T04:18:00Z","https://clips.twitch.tv/cl_0007"
"cl_0008","u_0129","Broadcaster 65","u_0118","James Smith","g_0004","india tower stone india","76374","40.2","2024-09-03T06:35:00Z","https://clips.twitch.tv/cl_0008"
"cl_0009","u_0041","Broadcaster 115","u_0124","David Rodriguez","g_0003","golf stone valley charlie","2492","37.4","2024-08-10T19:18:00Z","https://clips.twitch.tv/cl_0009"
"cl_0010","u_0122","Broadcaster 19","u_0069","Robert Smith","g_0011","echo foxtrot stone river","475774","32.3","2024-09-14T03:33:00Z","https://clips.twitch.tv/cl_0010"
"cl_0011","u_0131","Broadcaster 95","u_0098","James Miller","g_0005","alpha india hotel foxtrot","436592","11.5","2024-02-14T04:19:00Z","https://clips.twitch.tv/cl_0011"
"cl_0012","u_0125","Broadcaster 124","u_0034","Robert Smith","g_0015","ocean ocean hotel cloud","91346","15.7","2024-09-07T00:33:00Z","https://clips.twitch.tv/cl_0012"
"cl_0013","u_0081","Broadcaster 44","u_0110","Elizabeth Smith","g_0013","bridge bridge cloud delta","12736","32.4","2024-01-20T14:06:00Z","https://clips.twitch.tv/cl_0013"
"cl_0014","u_0057","Broadcaster 137","u_0006","James Williams","g_0007","forest mountain alpha echo","38957","53.3","2024-12-28T19:09:00Z","https://clips.twitch.tv/cl_0014"
"cl_0015","u_0031","Broadcaster 116","u_0136","Patricia Williams","g_0003","alpha india stone stone","351370","43.8","2024-12-01T07:19:00Z","https://clips.twitch.tv/cl_0015"
"cl_0016","u_0098","Broadcaster 85","u_0095","Elizabeth Rodriguez","g_0006","hotel india echo echo","230414","20.6","2024-11-03T19:35:00Z","https://clips.twitch.tv/cl_0016"
"cl_0017","u_0101","Broadcaster 129","u_0150","James Davis","g_0003","alpha foxtrot cloud india","408834","59.7","2024-12-17T08:02:00Z","https://clips.twitch.tv/cl_0017"
"cl_0018","u_0114","Broadcaster 129","u_0073","Patricia Garcia","g_0014","echo valley forest river","98299","22.8","2024-04-02T15:57:00Z","https://clips.twitch.tv/cl_0018"
"cl_0019","u_0060","Broadcaster 50","u_0019","Linda Miller","g_0010","juliet river cloud mountain","420630","27.8","2024-12-17T19:57:00Z","https://clips.twitch.tv/cl_0019"
"cl_0020","u_0070","Broadcaster 131","u_0145","Mary Miller","g_0008","river charlie alpha golf","298025","21.8","2024-10-14T20:29:00Z","https://clips.twitch.tv/cl_0020"
"cl_0021","u_0127","Broadcaster 117","u_0092","Mary Rodriguez","g_0010","bridge river hotel bravo","14705","40.8","2024-06-13T14:31:00Z","https://clips.twitch.tv/cl_0021"
"cl_0022","u_0018","Broadcaster 13","u_0050","Elizabeth Garcia","g_0006","india cloud india delta","181618","59.6","2024-06-16T06:20:00Z","https://clips.twitch.tv/cl_0022"
"cl_0023","u_0036","Broadcaster 128","u_0035","John Martinez","g_0004","bridge ocean alpha tower","412870","16.8","2024-05-20T11:17:00Z","https://clips.twitch.tv/cl_0023"
"cl_0024","u_0056","Broadcaster 116","u_0129","David Martinez","g_0007","ocean tower valley market","436246","31.7","2024-08-13T08:44:00Z","https://clips.twitch.tv/cl_0024"
"cl_0025","u_0073","Broadcaster 143","u_0061","David Brown","g_0009","river stone charlie delta","336934","12.0","2024-03-07T20:50:00Z","https://clips.twitch.tv/cl_0025"
"cl_0026","u_0070","Broadcaster 142","u_0141","James Rodriguez","g_0013","stone tower bridge ocean","271743","55.1","2024-03-08T02:07:00Z","https://clips.twitch.tv/cl_0026"
"cl_0027","u_0073","Broadcaster 131","u_0121","James Johnson","g_0006","golf golf mountain alpha","463668","51.5","2024-11-12T07:05:00Z","https://clips.twitch.tv/cl_0027"
