"broadcaster_id","broadcaster_login","broadcaster_name","game_id","game_name","title","broadcaster_language","tags","follower_count"
"u_0078","user1","User 1","g_0011","Overwatch 2","stone delta golf stone stone","fr","creative","284566"
"u_0094","user2","User 2","g_0007","Fortnite","golf river golf mountain river","fr","fps","64752"
"u_0061","user3","User 3","g_0010","GTA V","golf mountain india cloud golf","es","irl","59284"
"u_0055","user4","User 4","g_0010","Overwatch 2","river stone hotel delta india","ja","moba","11152"
"u_0048","user5","User 5","g_0008","Dota 2","ocean bravo foxtrot alpha alpha","es","irl","465626"
"u_0085","user6","User 6","g_0001","Valorant","bravo india echo cloud echo","pt","rpg","493064"
"u_0147","user7","User 7","g_0012","Overwatch 2","mountain mountain delta river stone","ja","gaming","277691"
"u_0120","user8","User 8","g_0007","Dota 2","india cloud charlie golf cloud","es","music","39133"
"u_0142","user9","User 9","g_0012","GTA V","ocean foxtrot river foxtrot hotel","en","rpg","10965"
"u_0121","user10","User 10","g_0012","Call of Duty","ocean forest river juliet bravo","es","creative","149662"
"u_0082","user11","User 11","g_0010","Dota 2","ocean market ocean mountain valley","de","creative","312814"
"u_0034","user12","User 12","g_0015","GTA V","delta market market bravo river","es","creative","311568"
"u_0007","user13","User 13","g_0005","Overwatch 2","bravo bridge mountain india foxtrot","de","esports","193555"
"u_0018","user14","User 14","g_0012","Apex Legends","mountain ocean golf valley juliet","ja","moba","210630"
"u_0011","user15","User 15","g_0008","Overwatch 2","alpha bravo india alpha echo","en","gaming","409144"
"u_0062","user16","User 16","g_0007","Counter-Strike 2","hotel river valley hotel cloud","fr","esports","124642"
"u_0056","user17","User 17","g_0009","Apex Legends","delta delta valley ocean market","ja","music","478152"
"u_0102","user18","User 18","g_0014","GTA V","stone echo bravo tower charlie","ja","esports","241251"
"u_0148","user19","User 19","g_0007","Counter-Strike 2","mountain echo bravo tower ocean","ko","esports","383774"
"u_0038","user20","User 20","g_0011","Overwatch 2","river delta stone alpha forest","en","esports","175681"
"u_0123","user21","User 21","g_0008","Apex Legends","tower foxtrot valley bridge alpha","fr","rpg","10354"
"u_0098","user22","User 22","g_0013","Overwatch 2","delta cloud foxtrot bravo india","de","rpg","117365"
"u_1022","user23","User 23","g_0011","League of Legends","alpha juliet foxtrot delta mountain","ja","creative","37678"
"u_0017","user24","User 24","g_0014","Counter-Strike 2","charlie delta ocean hotel charlie","es","moba","186212"
"u_0028","user25","User 25","g_0010","League of Legends","market charlie stone valley delta","ja","moba","379491"
"u_0079","user26","User 26","g_0007","Overwatch 2","echo india foxtrot echo golf","ko","irl","251321"
"u_0111","user27","User 27","g_0005","Apex Legends","india bravo ocean hotel juliet","ja","gaming","359379"
"u_0070","user28","User 28","g_0015","Dota 2","tower golf tower tower bravo","ja","fps","290252"
"u_0080","user29","User 29","g_0002","Minecraft","echo charlie foxtrot bravo hotel","ja","esports","243212"
"u_0005","user30","User 30","g_0009","Minecraft","market mountain juliet alpha delta","ko","esports","489545"
"u_0149","user31","User 31","g_0001","Dota 2","mountain mountain market echo ocean","en","irl","408814"
"u_1031","user32","User 32","g_0014","Valorant","river charlie echo foxtrot tower","fr","moba","111152"
"u_0089","user33","User 33","g_0002","Valorant","stone tower forest echo juliet","es","fps","164884"
"u_1033","user34","User 34","g_0013","Fortnite","foxtrot juliet river delta bridge","en","creative","25620"
"u_0035","user35","User 35","g_0008","Call of Duty","foxtrot forest golf forest hotel","fr","rpg","211637"
"u_0114","user36","User 36","g_0002","Counter-Strike 2","tower echo market mountain golf","fr","music","295289"
"u_0045","user37","User 37","g_0013","GTA V","foxtrot stone bravo cloud ocean","en","music","433221"
"u_0073","user38","User 38","g_0007","Call of Duty","tower stone bridge juliet charlie","ja","rpg","239536"
