"id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","is_live"
"s_0001","u_0100","user83","Streamer 1","g_0005","Fortnite","live","juliet tower juliet bravo india","37173","2026-06-03T10:37:00Z","en","true"
"s_0002","u_0141","user69","Streamer 2","g_0011","League of Legends","live","forest golf alpha bravo river","8977","2026-06-22T06:44:00Z","ko","false"
"s_0003","u_0058","user63","Streamer 3","g_0006","League of Legends","live","cloud hotel bravo echo hotel","5046","2026-08-10T05:07:00Z","ko","false"
"s_0004","u_0094","user115","Streamer 4","g_0011","Apex Legends","live","bravo alpha tower tower alpha","18740","2026-11-07T21:56:00Z","en","false"
"s_0005","u_0067","user53","Streamer 5","g_0006","Fortnite","live","juliet alpha bridge mountain cloud","189","2026-08-09T20:16:00Z","ja","true"
"s_0006","u_0009","user122","Streamer 6","g_0009","Fortnite","live","mountain juliet market india tower","20155","2026-11-20T19:48:00Z","en","true"
"s_0007","u_0130","user96","Streamer 7","g_0010","Counter-Strike 2","live","tower valley hotel charlie valley","34397","2026-02-21T01:01:00Z","fr","true"
"s_0008","u_0004","user95","Streamer 8","g_0008","Call of Duty","live","juliet juliet river hotel golf","20348","2026-05-30T23:12:00Z","es","false"
"s_0009","u_0009","user30","Streamer 9","g_0015","Fortnite","live","forest valley delta bridge cloud","14528","2026-11-29T02:43:00Z","fr","false"
"s_0010","u_0027","user120","Streamer 10","g_0014","Valorant","live","bridge ocean india bravo bridge","31222","2026-04-01T14:08:00Z","es","true"
"s_0011","u_0078","user106","Streamer 11","g_0010","Counter-Strike 2","live","forest golf delta charlie ocean","3458","2026-04-19T17:28:00Z","es","true"
"s_0012","u_0103","user147","Streamer 12","g_0003","Minecraft","live","alpha golf echo river alpha","45419","2026-10-03T15:55:00Z","ko","true"
"s_0013","u_0148","user91","Streamer 13","g_0002","Apex Legends","live","india echo mountain charlie forest","25566","2026-01-12T06:38:00Z","ja","false"
"s_0014","u_0131","user16","Streamer 14","g_0005","Counter-Strike 2","live","bridge india ocean golf river","46529","2026-08-13T21:23:00Z","en","true"
