Item	Category	Price (USD)	Note
Smoked ribs, half rack	Mains	16.95	Dry rubbed, slow smoked
Fried catfish basket	Mains	14.50	Cornmeal crust, two sides
Herb roasted chicken	Mains	13.75	Quarter or half
Smothered pork chops	Mains	15.50	Onion gravy
Seafood gumbo bowl	Mains	13.25	Shrimp, andouille, okra
Collard greens	Sides	4.50	Smoked turkey
Mac and cheese	Sides	4.75	Sharp cheddar
Candied yams	Sides	4.50	Dorothy's recipe
Cornbread	Sides	3.00	Skillet baked
Fried plantains	Sides	4.25	Seasonal
Peach cobbler	Desserts	5.50	Served warm
Sweet potato pie	Desserts	5.00	House made
Sweet tea	Drinks	2.75	Brewed daily
Fresh lemonade	Drinks	2.95	Squeezed daily
