Date	Platform	Order ID	Items	Qty	Total (USD)
2026-02-20	RichmondEats	RE-88142	Rib plate, mac, greens	2	41.50
2026-02-20	DoorDash	DD-20571	Catfish basket	1	16.95
2026-02-20	DoorDash	DD-20588	Gumbo bowl, cornbread	1	14.25
2026-02-21	RichmondEats	RE-88203	Family meal for four	1	58.00
2026-02-21	DoorDash	DD-20644	Fried chicken, two sides	1	18.75
2026-02-21	DoorDash	DD-20690	Pulled pork sandwich	2	27.90
2026-02-22	RichmondEats	RE-88311	Smothered pork chop plate	1	19.50
2026-02-22	DoorDash	DD-20733	Peach cobbler, sweet tea	3	21.00
2026-02-22	DoorDash	DD-20771	Catfish basket, lemonade	1	19.25
2026-02-22	RichmondEats	RE-88402	Rib tips, greens, yams	1	23.75
